Title,Category,Category id,Chanel name,Comment,Create,Curator,Date,Duration,Id,If the download speed is slow when viewed / in seconds.,Language,License,License code,Mark it [!] if video is good! (Interesting/Quality),NFT,Original License,Original Link,Owner,Size,URL,Update
How to Report or Suggest in Joystream Github,Howto & Style,12,Joystream Tutorials by Songoku,,"September 3, 2022 1:06 AM (GMT+1)",prontera,"September 6, 2022",91,27413,,en,CC0,1002,,0,original video for Joystream,-,songoku,94461931,https://play.joystream.org/video/27413,"September 3, 2022 1:06 AM (GMT+1)"
Добавить сеть в Метамаск,Education,13,PrettyFreak,,"September 4, 2022 7:55 PM (GMT+1)",Songoku,"September 4, 2022",96,27441,,en,CC0,1002,,0,original video for Joystream,-,prettyfreak,6972573,https://play.joystream.org/video/27441,"September 4, 2022 7:55 PM (GMT+1)"
4 Adoption stages,Science & Technology,14,MWG Official,,"September 6, 2022 1:53 PM (GMT+1)",ferdikesh_studio,"September 7, 2022",405,27468,,en,CC0,1002,,0,original video for Joystream,-,MWG,367761517,https://play.joystream.org/video/27468,"September 6, 2022 1:53 PM (GMT+1)"
Manta Network intro,Education,13,Content,,"September 4, 2022 6:09 PM (GMT+1)",Songoku,"September 4, 2022",40,27432,,en,CC0,1002,,0,original video for Joystream,-,igormig,33168512,https://play.joystream.org/video/27432,"September 4, 2022 6:09 PM (GMT+1)"
Golden Protocol intro video,Entertainment,10,PrettyFreak,,"September 4, 2022 8:08 PM (GMT+1)",Songoku,"September 4, 2022",10,27445,,en,CC0,1002,,0,original video for Joystream,-,prettyfreak,4035114,https://play.joystream.org/video/27445,"September 4, 2022 8:08 PM (GMT+1)"
"Answers, vocabulary and grammar | IELTS Speaking Part 1",Education,13,Success with IELTS,,"September 5, 2022 4:53 PM (GMT+1)",,,827,27451,,en,CC0,1002,,0,,,vaaanish,1068036825,https://play.joystream.org/video/27451,"September 5, 2022 4:53 PM (GMT+1)"
Demo-7MB,Travel & Events,6,Atlas dev,Video doesn't open on several browsers.Streamer kindly informed.,"September 6, 2022 1:47 PM (GMT+1)",ferdikesh_studio,"September 7, 2022",13,27467,,en,CC0,1002,,0,-,,klaudiusz,6955284,https://play.joystream.org/video/27467,"September 6, 2022 1:47 PM (GMT+1)"
Joystream and Atlas,Science & Technology,14,MWG Official,,"September 6, 2022 1:11 PM (GMT+1)",ferdikesh_studio,"September 7, 2022",310,27465,,en,CC0,1002,,0,original video for Joystream,-,MWG,96278638,https://play.joystream.org/video/27465,"September 6, 2022 1:11 PM (GMT+1)"
What's new in FM program?,Science & Technology,14,MWG Official,,"September 6, 2022 5:33 PM (GMT+1)",ferdikesh_studio,"September 7, 2022",440,27472,,en,CC0,1002,,0,original video for Joystream,-,MWG,461333734,https://play.joystream.org/video/27472,"September 6, 2022 5:33 PM (GMT+1)"
Joystream intro video,Film & Animation,1,Mayor's Tee,,"August 18, 2022 2:38 AM (GMT+1)",prontera,"September 6, 2022",10,27327,,en,CC0,1002,,0,original video for Joystream,-,Mayor Tee #7185,8988373,https://play.joystream.org/video/27327,"August 18, 2022 2:38 AM (GMT+1)"
Joystream Community Call #16,Science & Technology,14,SwarGo,,"September 4, 2022 12:48 PM (GMT+1)",Songoku,"September 4, 2022",3576,27428,,ru,CC0,1002,,0,original video for Joystream,-,swargo,2873979972,https://play.joystream.org/video/27428,"September 4, 2022 12:48 PM (GMT+1)"
Pexels aadddVideoscccbbb 12711145333,Music,3,123232,The same video with : https://play.joystream.org/video/27456,"September 6, 2022 12:19 PM (GMT+1)",ferdikesh_studio,"September 7, 2022",16,27458,,en,CC0,1002,,0,Stock Video,,member,5598457,https://play.joystream.org/video/27458,"September 6, 2022 12:19 PM (GMT+1)"
Вена Vienna Wien,Travel & Events,6,Helen Studio,,"September 3, 2022 9:05 PM (GMT+1)",prontera,"September 6, 2022",129,27416,,en,CC0,1002,,0,original video for Joystream,-,Helen4749,40340000,https://play.joystream.org/video/27416,"September 3, 2022 9:05 PM (GMT+1)"
Small,Howto & Style,12,123232,,"September 6, 2022 12:29 PM (GMT+1)",ferdikesh_studio,"September 7, 2022",13,27463,,en,CC0,1002,,0,Stock Video,,member,574823,https://play.joystream.org/video/27463,"September 6, 2022 12:29 PM (GMT+1)"
