Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
General WG Score,Storage,GENERAL_WG_SCORE,,,"WG Summary (Council%2016/Council%20Period%2016/WG%20Summary%2005a282fd19214f29bcc1c812b6185d8f.md), WG Period Plan (Council%2016/Council%20Period%2016/WG%20Period%20Plan%208e88ead7376c42a481c69c2917df7c53.md), WG Opportunities (Council%2016/Council%20Period%2016/WG%20Opportunities%2051f20ab90d9748d6a442959110f45dd4.md), Opening Score (Council%2016/Council%20Period%2016/Opening%20Score%207259652010fa4697a539d859323b8c1b.md), Bounty Score (Council%2016/Council%20Period%2016/Bounty%20Score%20f9345867f70748ffbe02c9eb654ba097.md)",Storage Score (Council%2016/Council%20Period%2016/Storage%20Score%201541aca324c7405c9ac67b3d45afa65c.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Marketing,GENERAL_WG_SCORE,,,"WG Summary (Council%2016/Council%20Period%2016/WG%20Summary%207da5a9d795194fd6bf1f45b4b8ab00bd.md), WG Opportunities (Council%2016/Council%20Period%2016/WG%20Opportunities%20cd52affe8089491298d717672f22b0d7.md), Opening Score (Council%2016/Council%20Period%2016/Opening%20Score%2031546412016149fcbfd6a7a251b5befa.md), Bounty Score (Council%2016/Council%20Period%2016/Bounty%20Score%20e7dc70ba2718472f8e2740974d59c778.md), WG Period Plan (Council%2016/Council%20Period%2016/WG%20Period%20Plan%2041748fc1df444b8ca2c5eba917106bff.md), WG Summary (Council%2016/Council%20Period%2016/WG%20Summary%20eb1216eb0be545f69bed9a27246acebf.md), WG Opportunities (Council%2016/Council%20Period%2016/WG%20Opportunities%20d00e03b998f748588e0896d1e1db3660.md), Bounty Score (Council%2016/Council%20Period%2016/Bounty%20Score%205308be09cc854bec85ebcf0ad77b1c3b.md), Opening Score (Council%2016/Council%20Period%2016/Opening%20Score%2008890b3928be42e6a84308634c1d8878.md)",Forum Score (Council%2016/Council%20Period%2016/Forum%20Score%206e496c8d4d5945ef97f91f39cf10e4a2.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Builders,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,"WG Period Plan (Council%2016/Council%20Period%2016/WG%20Period%20Plan%209d3f9b9219f84f79b9d1e3321ab55fa0.md), WG Summary (Council%2016/Council%20Period%2016/WG%20Summary%2033d33a4f799a44518a9a5e3d2e485e4b.md), WG Opportunities (Council%2016/Council%20Period%2016/WG%20Opportunities%2051f20ab90d9748d6a442959110f45dd4.md), Opening Score (Council%2016/Council%20Period%2016/Opening%20Score%207d396f5682c441af9446fb90c43b2ba8.md), Bounty Score (Council%2016/Council%20Period%2016/Bounty%20Score%200c7b7f5ee2444cf384c6f5ee8d5340c6.md)",Builder Score (Council%2016/Council%20Period%2016/Builder%20Score%20ad55922df6124bbdb2a9ea173085576e.md),"Composite Grade, General WG Score, Subscore",Not Completed
General WG Score,Forum,GENERAL_WG_SCORE,,,"WG Period Plan (Council%2016/Council%20Period%2016/WG%20Period%20Plan%207569fa47ae814c46876c740631593902.md), WG Summary (Council%2016/Council%20Period%2016/WG%20Summary%207da5a9d795194fd6bf1f45b4b8ab00bd.md), WG Opportunities (Council%2016/Council%20Period%2016/WG%20Opportunities%20cd52affe8089491298d717672f22b0d7.md), Opening Score (Council%2016/Council%20Period%2016/Opening%20Score%2031546412016149fcbfd6a7a251b5befa.md), Bounty Score (Council%2016/Council%20Period%2016/Bounty%20Score%20e7dc70ba2718472f8e2740974d59c778.md), WG Opportunities (Council%2016/Council%20Period%2016/WG%20Opportunities%20d00e03b998f748588e0896d1e1db3660.md), Bounty Score (Council%2016/Council%20Period%2016/Bounty%20Score%205308be09cc854bec85ebcf0ad77b1c3b.md), Opening Score (Council%2016/Council%20Period%2016/Opening%20Score%2008890b3928be42e6a84308634c1d8878.md)",Forum Score (Council%2016/Council%20Period%2016/Forum%20Score%206e496c8d4d5945ef97f91f39cf10e4a2.md),"Composite Grade, General WG Score",Not Completed
General WG Score,HR,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%2016/Council%20Period%2016/WG%20Period%20Plan%207d16519647d045d5857fe4088263dd80.md), WG Summary (Council%2016/Council%20Period%2016/WG%20Summary%2060ec873e4b6443858448dd30f5896bcc.md), WG Opportunities (Council%2016/Council%20Period%2016/WG%20Opportunities%205cbb1ddfa4a94d028a9e9aa05adc5b49.md), Opening Score (Council%2016/Council%20Period%2016/Opening%20Score%208d91f4f735e8412db7ec96eb015a50d9.md), Bounty Score (Council%2016/Council%20Period%2016/Bounty%20Score%204ff5e447288449d4837f75d7fcc1be3c.md)",HR Score (Council%2016/Council%20Period%2016/HR%20Score%203a0598bd7d8f446d985038f19c9474f3.md),"Composite Grade, General WG Score",Not Completed
WG Period Plan,Marketing,PLAN_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20437d91370adb4d6ca3b117a518d78c6a.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",Completed
WG Period Plan,Builders,PLAN_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%204a71c61c988847dc8540022235694566.md),"Document, Forum Post, General WG Score, Grade, Plan, Proposal, Subscore",Completed
WG Period Plan,Distributors,PLAN_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20709728f03e934b87875b15a001c74c5f.md),"Document, Forum Post, General WG Score, Grade, Proposal",Completed
WG Period Plan,HR,PLAN_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20a2d56bb0de7344cbbe8f0e61278bf390.md),"Document, Forum Post, General WG Score, Plan, Proposal",Completed
Council Period Plan,Council,PLAN_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,,Network Performance Score (Council%2016/Council%20Period%2016/Network%20Performance%20Score%202710eb21d7d84f79bed618a5e2acc10a.md),"Document, Forum Post, Grade, Master Score, Proposal",Completed
