Name,Attributes,Forum Link,Forum Report Source,Grade Name,Group,Handbook Link,JSG Grading Status,Notion Link,Notion Source Link,Parent Score,Proposal Link,Score,Score Notes,Spot Check Completed,Submitted [Block],Subscores
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,WORKER_OPPORTUNITIES_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Not Completed,,,General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20a2d56bb0de7344cbbe8f0e61278bf390.md),,,,No,,
Forum Report,"Document, Forum Post, Grade, Group Specific Scores, Subscore",https://dao.joystream.org/#/forum/thread/527,,REPORT_SCORE,Forum,,Data input - grading req,,,Forum Score (Council%2016/Council%20Period%2016/Forum%20Score%206e496c8d4d5945ef97f91f39cf10e4a2.md),,,On time,No,1762430,
Moderation Score,"Grade, Group Specific Scores, Spot Check",,,MODERATION_SCORE,Forum,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#moderation_score,Not Completed,,,Forum Score (Council%2016/Council%20Period%2016/Forum%20Score%206e496c8d4d5945ef97f91f39cf10e4a2.md),,,,No,,
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,Marketing,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,"General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%201890691a93c244fa9ad479d499f12c16.md), General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20437d91370adb4d6ca3b117a518d78c6a.md)",,,,No,,
Failure to apply moderation rules,"Catastrophic Errors, Grade, Spot Check",,,,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#failure-to-apply-moderation-rules,Not Completed,,,Content Score (Council%2016/Council%20Period%2016/Content%20Score%20fa5ad2b78e4e47399f46f0e689f9f25f.md),,,,No,,
Content Score,"Composite Grade, Master Score",,,CONTENT_SCORE,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,Not Completed,,,Network Performance Score (Council%2016/Council%20Period%2016/Network%20Performance%20Score%202710eb21d7d84f79bed618a5e2acc10a.md),,,,No,,"General WG Score (Council%2016/Council%20Period%2016/General%20WG%20Score%20a9ea3a4ccdfd4673b6c0c5e014e45143.md), Content Report (Council%2016/Council%20Period%2016/Content%20Report%20581be81b303a412b87171844f195ab48.md), Featuring Score (Council%2016/Council%20Period%2016/Featuring%20Score%2098219a7fac6f48c0a24bf3fc4f28b566.md), Moderation Score (Council%2016/Council%20Period%2016/Moderation%20Score%204c020261b37b4319bf4bfeaf690602a5.md), Logging does not occur (Council%2016/Council%20Period%2016/Logging%20does%20not%20occur%20ae807604136c4162956c41d1ff766bda.md), Featured Content Unplayable (Council%2016/Council%20Period%2016/Featured%20Content%20Unplayable%2032287e0b99d94b9bbf8d75046cabe4e1.md), Failure to apply moderation rules (Council%2016/Council%20Period%2016/Failure%20to%20apply%20moderation%20rules%20bb0ef952b2ce4264b213e3982640e838.md), Curation Testing Score (Council%2016/Council%20Period%2016/Curation%20Testing%20Score%2043270426a4a245c58a7136ce37351561.md)"
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,Forum,,Not Completed,,,Forum Score (Council%2016/Council%20Period%2016/Forum%20Score%206e496c8d4d5945ef97f91f39cf10e4a2.md),,,,No,,"WG Period Plan (Council%2016/Council%20Period%2016/WG%20Period%20Plan%207569fa47ae814c46876c740631593902.md), WG Summary (Council%2016/Council%20Period%2016/WG%20Summary%207da5a9d795194fd6bf1f45b4b8ab00bd.md), WG Opportunities (Council%2016/Council%20Period%2016/WG%20Opportunities%20cd52affe8089491298d717672f22b0d7.md), Opening Score (Council%2016/Council%20Period%2016/Opening%20Score%2031546412016149fcbfd6a7a251b5befa.md), Bounty Score (Council%2016/Council%20Period%2016/Bounty%20Score%20e7dc70ba2718472f8e2740974d59c778.md), WG Opportunities (Council%2016/Council%20Period%2016/WG%20Opportunities%20d00e03b998f748588e0896d1e1db3660.md), Bounty Score (Council%2016/Council%20Period%2016/Bounty%20Score%205308be09cc854bec85ebcf0ad77b1c3b.md), Opening Score (Council%2016/Council%20Period%2016/Opening%20Score%2008890b3928be42e6a84308634c1d8878.md)"
Logging,"Grade, Group Specific Scores, Subscore",,,LOGGING_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#system_score,Not Completed,,,Storage Score (Council%2016/Council%20Period%2016/Storage%20Score%201541aca324c7405c9ac67b3d45afa65c.md),,,,No,,
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,HR,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,Not Completed,,,HR Score (Council%2016/Council%20Period%2016/HR%20Score%203a0598bd7d8f446d985038f19c9474f3.md),,,,No,,"WG Period Plan (Council%2016/Council%20Period%2016/WG%20Period%20Plan%207d16519647d045d5857fe4088263dd80.md), WG Summary (Council%2016/Council%20Period%2016/WG%20Summary%2060ec873e4b6443858448dd30f5896bcc.md), WG Opportunities (Council%2016/Council%20Period%2016/WG%20Opportunities%205cbb1ddfa4a94d028a9e9aa05adc5b49.md), Opening Score (Council%2016/Council%20Period%2016/Opening%20Score%208d91f4f735e8412db7ec96eb015a50d9.md), Bounty Score (Council%2016/Council%20Period%2016/Bounty%20Score%204ff5e447288449d4837f75d7fcc1be3c.md)"
Council Period Summary,"Document, Forum Post, Grade, Master Score, Proposal",https://dao.joystream.org/#/forum/thread/465?post=1073,https://dao.joystream.org/#/forum/category/4,SUMMARY_SCORE,Council,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#council-period-summary,Completed,,,Network Performance Score (Council%2016/Council%20Period%2016/Network%20Performance%20Score%202710eb21d7d84f79bed618a5e2acc10a.md),,1,On time,No,1756933,
