Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
WG Opportunities,Content,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%2035a1074b057446808308068488d0b999.md),"General WG Score, Grade, Spot Check, Subscore",Not Completed
WG Opportunities,Builders,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,"General WG Score, Grade, Spot Check, Subscore",Not Completed
WG Opportunities,Marketing,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,"General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20b0a096bdbba349d48427527695e60405.md), General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20cee0cc643d944d34a7d45a3beede7b8e.md)","Document, Forum Post, General WG Score, Grade",Not Completed
WG Opportunities,HR,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20013008c6907b4c58b3b9535d85c996e2.md),"General WG Score, Grade, Spot Check, Subscore",Not Completed
WG Opportunities,Distributors,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%201b76731bdc864035b9d49b07fceb8d53.md),"General WG Score, Grade, Spot Check, Subscore",Not Completed
WG Opportunities,Forum,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,"General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20b0a096bdbba349d48427527695e60405.md), General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20cee0cc643d944d34a7d45a3beede7b8e.md)","Document, Forum Post, General WG Score, Grade",Not Completed
WG Opportunities,Storage,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,"General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%208a927a87b3f849028adecd73009fa7f9.md), General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%200367cf77db8e49cb989f9438f02e0144.md)","General WG Score, Grade, Spot Check, Subscore",Not Completed
Content Report,Content,REPORT_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#report_score,,Content Score (Council%2021/Council%20Period%2017/Content%20Score%207803dc73d4f74f2d8110548f8bd91c86.md),"Forum Post, Group Specific Scores",Not Completed
HR Report,HR,REPORT_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#report_score,,HR Score (Council%2021/Council%20Period%2017/HR%20Score%207bb079bec3cf4e4ca334f51a99cf9951.md),"Group Specific Scores, Subscore",Not Completed
Forum Report,Forum,REPORT_SCORE,,,,Forum Score (Council%2021/Council%20Period%2017/Forum%20Score%205545285c8b1340a1ab98db0a10c7f64a.md),"Document, Forum Post, Grade, Group Specific Scores, Subscore",Not Completed
Storage Report,Storage,REPORT_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#report_score,,Storage Score (Council%2021/Council%20Period%2017/Storage%20Score%20bd78402a34fc4e3aa16f90c56db64574.md),"Document, Forum Post, Grade, Group Specific Scores, Proposal, Report",Not Completed
Distributors Report,Distributors,REPORT_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#report_score,,Distributor Score (Council%2021/Council%20Period%2017/Distributor%20Score%20440ac3bc6398466a8e120330b8b7a922.md),"Document, Forum Post, Grade, Group Specific Scores, Subscore",Not Completed
Marketing Report,Marketing,REPORT_SCORE,,,,,"Document, Forum Post, Proposal, Report",Not Completed
Builders Report,Builders,REPORT_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score,,Builder Score (Council%2021/Council%20Period%2017/Builder%20Score%20eb28116529474ccca2fe96572798b055.md),"Document, Forum Post, Grade, Group Specific Scores, Subscore",Not Completed
Report Score,Marketing,REPORT_SCORE,,,,,Group Specific Scores,Not Completed
Uploads,Storage,UPLOAD_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#upload_score,,Storage Score (Council%2021/Council%20Period%2017/Storage%20Score%20bd78402a34fc4e3aa16f90c56db64574.md),"Grade, Group Specific Scores, Subscore",Not Completed
Research Score,Storage,RESEARCH_SCORE,,,,,"Group Specific Scores, Subscore",Not Completed
Research Score,Distributors,RESEARCH_SCORE,,,,,"Group Specific Scores, Subscore",Not Completed
Testing,Builders,TESTING_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#testing_score,,Builder Score (Council%2021/Council%20Period%2017/Builder%20Score%20eb28116529474ccca2fe96572798b055.md),"Grade, Group Specific Scores, Spot Check, Subscore",Not Completed
Pioneer Development,Builders,PIONEER_DEVELOPMENT_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#pioneer_development_score,,Builder Score (Council%2021/Council%20Period%2017/Builder%20Score%20eb28116529474ccca2fe96572798b055.md),"Grade, Group Specific Scores, Spot Check, Subscore",Not Completed
General Development,Builders,GENERAL_DEVELOPMENT_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#general_development_score,,Builder Score (Council%2021/Council%20Period%2017/Builder%20Score%20eb28116529474ccca2fe96572798b055.md),"Grade, Group Specific Scores, Spot Check, Subscore",Not Completed
Featuring Score,Content,FEATURING_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#featuring_score,,Content Score (Council%2021/Council%20Period%2017/Content%20Score%207803dc73d4f74f2d8110548f8bd91c86.md),"Group Specific Scores, Subscore",Not Completed
Moderation Score,Content,MODERATION_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#moderation_score,Total Breaches of Policy (Council%2021/Council%20Period%2017/Total%20Breaches%20of%20Policy%20461216da2677487891bcd8a2b4a7ae48.md),Content Score (Council%2021/Council%20Period%2017/Content%20Score%207803dc73d4f74f2d8110548f8bd91c86.md),"Group Specific Scores, Subscore",Not Completed
Moderation Score,Forum,MODERATION_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#moderation_score,,Forum Score (Council%2021/Council%20Period%2017/Forum%20Score%205545285c8b1340a1ab98db0a10c7f64a.md),"Grade, Group Specific Scores, Spot Check",Not Completed
Response Time,HR,RESPONSE_TIME_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#response_time_score,,HR Score (Council%2021/Council%20Period%2017/HR%20Score%207bb079bec3cf4e4ca334f51a99cf9951.md),"Group Specific Scores, Subscore",Not Completed
Person Logging Score,HR,PERSON_LOGGING_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#person_logging_score,,HR Score (Council%2021/Council%20Period%2017/HR%20Score%207bb079bec3cf4e4ca334f51a99cf9951.md),"Group Specific Scores, Subscore",Not Completed
