"Objects size, MB",Bag ID,ObjectNumber,"Objects size, average, MB"
"0,0",2281,0,#DIV/0!
"3823,6",2102,50,"76,5"
"24,1",2557,8,"3,0"
"2,9",2403,4,"0,7"
"3,0",2584,4,"0,7"
"3466,1",2125,86,"40,3"
"16180,1",2153,268,"60,4"
"9,2",2028,4,"2,3"
"9777,3",2087,244,"40,1"
"6,6",2581,4,"1,6"
"12,2",2517,10,"1,2"
"0,9",2530,4,"0,2"
"23,3",2471,6,"3,9"
"20,1",2527,6,"3,4"
"4,6",2486,4,"1,1"
"12,7",2392,4,"3,2"
"5,8",2442,4,"1,4"
"6507,4",2142,124,"52,5"
"20,0",2547,4,"5,0"
"33,0",2533,4,"8,3"
"0,0",2256,0,#DIV/0!
"16,6",2550,4,"4,2"
"4394,7",2157,32,"137,3"
"3157,1",2111,38,"83,1"
"0,8",2596,4,"0,2"
"0,0",2610,2,"0,0"
"337,1",2056,14,"24,1"
"3,9",2587,4,"1,0"
"0,0",2242,2,"0,0"
"7,4",2627,2,"3,7"
"3,2",2589,4,"0,8"
"352,1",2342,4,"88,0"
"28,2",2573,4,"7,0"
"13,5",2475,6,"2,3"
"174,4",2123,6,"29,1"
"0,0",2314,0,#DIV/0!
"6,4",2394,4,"1,6"
"2,3",2398,4,"0,6"
"166,8",2260,4,"41,7"
"2,0",2424,4,"0,5"
"0,0",2304,2,"0,0"
"2,8",2368,4,"0,7"
"6944,4",2186,54,"128,6"
"24,0",2625,8,"3,0"
"208,4",2057,22,"9,5"
"2259,1",2176,36,"62,8"
"2,6",2379,4,"0,6"
"11194,5",2144,326,"34,3"
"0,0",2620,0,#DIV/0!
"28,0",2577,4,"7,0"
"831,8",2203,124,"6,7"
"2141,7",2202,68,"31,5"
"0,1",2019,2,"0,0"
"21,6",2532,8,"2,7"
"1,0",2483,8,"0,1"
"5,2",2477,6,"0,9"
"14214,5",2310,52,"273,4"
"752,0",2408,22,"34,2"
"3,8",2345,6,"0,6"
"9741,6",2089,185,"52,7"
"8,3",2512,4,"2,1"
"2,6",2561,4,"0,6"
"256,3",2492,16,"16,0"
"5,2",2549,4,"1,3"
"2058,6",2031,66,"31,2"
"27,5",2114,4,"6,9"
"307,8",2341,18,"17,1"
"2118,7",2021,26,"81,5"
"9100,0",2324,28,"325,0"
"1,8",2414,4,"0,4"
"3328,2",2037,40,"83,2"
"11,0",2321,4,"2,7"
"0,0",2617,0,#DIV/0!
"730,4",2023,8,"91,3"
"3031,5",2173,6,"505,2"
"5019,8",2163,16,"313,7"
"7,3",2515,4,"1,8"
"40,1",2308,8,"5,0"
"636,6",2141,40,"15,9"
"0,1",2006,2,"0,0"
"55,1",2529,8,"6,9"
"14,1",2422,4,"3,5"
"0,0",2201,0,#DIV/0!
"0,0",2359,2,"0,0"
"8,4",2540,10,"0,8"
"19746,2",2127,354,"55,8"
"474,0",2323,12,"39,5"
"13,1",2395,4,"3,3"
"7,4",2552,4,"1,9"
"10,0",2279,4,"2,5"
"4,0",2430,4,"1,0"
"4,6",2388,4,"1,1"
"506,6",2185,7,"72,4"
"0,0",2611,0,#DIV/0!
"9609,7",2086,94,"102,2"
"0,0",2636,0,#DIV/0!
"26,5",2255,4,"6,6"
"1204,1",2315,4,"301,0"
"0,1",2285,2,"0,0"
"15,7",2562,4,"3,9"
"3,5",2456,4,"0,9"
"7,3",2421,4,"1,8"
"0,7",2292,3,"0,2"
"7,3",2571,4,"1,8"
"0,0",2356,1,"0,0"
"13,9",2511,4,"3,5"
"6,1",2297,3,"2,0"
"4,2",2063,4,"1,1"
"2211,2",2036,26,"85,0"
"2091,8",2604,152,"13,8"
"6,3",2463,6,"1,1"
"7,6",2543,4,"1,9"
"0,1",2013,2,"0,0"
"45,8",2479,4,"11,4"
"162,1",2316,3,"54,0"
"61,3",2538,4,"15,3"
"533,0",2042,112,"4,8"
"0,0",2165,1,"0,0"
"0,0",2608,2,"0,0"
"4710,3",2269,60,"78,5"
"1681,1",2246,4,"420,3"
"977,8",2113,11,"88,9"
"0,9",2594,4,"0,2"
"184,1",2067,4,"46,0"
"15894,8",2158,274,"58,0"
"3,8",2592,4,"0,9"
"0,1",2010,2,"0,0"
"3058,9",2083,48,"63,7"
"1,9",2484,6,"0,3"
"8,6",2319,4,"2,2"
"17,5",2452,6,"2,9"
"0,0",2178,0,#DIV/0!
"1624,2",2195,4,"406,1"
"13,5",2519,4,"3,4"
"13,2",2634,2,"6,6"
"8865,4",2062,164,"54,1"
"34,3",2295,5,"6,9"
"5345,2",2097,83,"64,4"
"6,4",2505,4,"1,6"
"9516,6",2065,14,"679,8"
"1,6",2434,4,"0,4"
"1660,7",2116,9,"184,5"
"0,1",2011,2,"0,0"
"87,6",2052,4,"21,9"
"9,8",2546,4,"2,4"
"15,1",2469,6,"2,5"
"470,8",2233,12,"39,2"
"154,8",2221,6,"25,8"
"4,8",2567,4,"1,2"
"0,0",2268,0,#DIV/0!
"0,0",2207,0,#DIV/0!
"1480,1",2091,48,"30,8"
"740,2",2090,23,"32,2"
"64,5",2149,4,"16,1"
"0,0",2002,2,"0,0"
"16,8",2461,4,"4,2"
"16899,0",2039,74,"228,4"
"2879,6",2162,62,"46,4"
"1,6",2506,4,"0,4"
"4,3",2431,4,"1,1"
"3028,4",2318,30,"100,9"
"2510,4",2058,36,"69,7"
