Topic,Date,Title,Assigned,Status,URL,Related to JS DAO Workers sheet (Tasks),Related to JS DAO Workers sheet (Tasks) 1
Workflows,,https://pioneerapp.xyz/#/forum/thread/339,"Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21), 0x2bc (https://www.notion.so/0x2bc-08e9cea9c431408fb7e38dd2643c33de?pvs=21)",Archived discussion,https://pioneerapp.xyz/#/forum/thread/339,"0x2bc (https://www.notion.so/0x2bc-5dc9e9cef011453687e92f91efddb954?pvs=21), Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21)","Untitled (https://www.notion.so/1ece8576156f4e31b4d49912d7b60644?pvs=21), Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)"
Workflows,,https://pioneerapp.xyz/#/forum/thread/88,Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21),Archived discussion,https://pioneerapp.xyz/#/forum/thread/88,Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21),Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)
Workflows,,https://pioneerapp.xyz/#/forum/thread/170,Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21),Stale,https://pioneerapp.xyz/#/forum/thread/170,Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21),Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)
"HR, Workflows",,https://pioneerapp.xyz/#/forum/thread/347,Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21),Archived discussion,https://pioneerapp.xyz/#/forum/thread/347,Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21),Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21)
Content,,https://pioneerapp.xyz/#/forum/thread/350,"Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21), Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21)",Archived discussion,https://pioneerapp.xyz/#/forum/thread/350,"Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21), Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21)","Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21), Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)"
"Content, Events",,https://pioneerapp.xyz/#/forum/thread/349nc users,"Igrex (https://www.notion.so/Igrex-c7c2983f450646729ce1c76265f87f72?pvs=21), Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21)",Pre-Proposal,https://pioneerapp.xyz/#/forum/thread/349,"Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21), Igrex (https://www.notion.so/Igrex-99fb09a41cf443d78daf61b33ae4e45e?pvs=21)","Untitled (https://www.notion.so/21e72bac733844a09e1d4a6532656560?pvs=21), Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)"
Channels,,https://pioneerapp.xyz/#/forum/thread/358,"Kriptos (https://www.notion.so/Kriptos-ebe57f8dde3647c4ba0a6dd2b62bc745?pvs=21), Igrex (https://www.notion.so/Igrex-c7c2983f450646729ce1c76265f87f72?pvs=21)",Archived discussion,https://pioneerapp.xyz/#/forum/thread/358,"Igrex (https://www.notion.so/Igrex-99fb09a41cf443d78daf61b33ae4e45e?pvs=21), Kriptos (https://www.notion.so/Kriptos-70de4b256c46429da7f7545cbc5e4a21?pvs=21)","Untitled (https://www.notion.so/21e72bac733844a09e1d4a6532656560?pvs=21), Untitled (https://www.notion.so/5c4dd053b1e64be382d2798830df7bed?pvs=21)"
Dev,,https://pioneerapp.xyz/#/forum/thread/348,"Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21), Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21)",Pre-Proposal,https://pioneerapp.xyz/#/forum/thread/348,"Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21), Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21)","Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21), Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)"
HR,,https://pioneerapp.xyz/#/forum/thread/359,"klaudiusz (https://www.notion.so/klaudiusz-a4de2049c4cf4b28adf036272ad4f31c?pvs=21), Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21)",Archived discussion,https://pioneerapp.xyz/#/forum/thread/359,"Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21), klaudiusz (https://www.notion.so/klaudiusz-b0c2f2cf85f04c3bbe567670357492c9?pvs=21)","Untitled (https://www.notion.so/36c15d8f232648618f5a2afa60d5ad87?pvs=21), Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21)"
Channels,,https://pioneerapp.xyz/#/forum/thread/364ation,"0x2bc (https://www.notion.so/0x2bc-08e9cea9c431408fb7e38dd2643c33de?pvs=21), Codefi_keyz (https://www.notion.so/Codefi_keyz-309fe6b454f949b8978d6d9ce8021075?pvs=21)",Archived discussion,https://pioneerapp.xyz/#/forum/thread/364,"0x2bc (https://www.notion.so/0x2bc-5dc9e9cef011453687e92f91efddb954?pvs=21), Codefi_keyz (https://www.notion.so/Codefi_keyz-f6984d651b7f47e08210baf7da48a770?pvs=21)","Untitled (https://www.notion.so/1ece8576156f4e31b4d49912d7b60644?pvs=21), Untitled (https://www.notion.so/efed624f27a14e5d8760b1103615bd78?pvs=21)"
Dev,,https://pioneerapp.xyz/#/forum/thread/371,vikan#4315 (https://www.notion.so/vikan-4315-170b792367204ef9aa9e59bb878aa516?pvs=21),Pre-Proposal,https://pioneerapp.xyz/#/forum/thread/371,vikan#4315 (https://www.notion.so/vikan-4315-f893a7c8f26647a490685f67284638e7?pvs=21),Untitled (https://www.notion.so/3d2ab943ec54489eb2c7572332a4dd42?pvs=21)
,,https://pioneerapp.xyz/#/forum/thread/360,"leet_joy (https://www.notion.so/leet_joy-5e0e33e7d1c14146b180ac0d8adc555a?pvs=21), klaudiusz (https://www.notion.so/klaudiusz-a4de2049c4cf4b28adf036272ad4f31c?pvs=21)",Pre-Proposal,https://pioneerapp.xyz/#/forum/thread/360,"leet_joy (https://www.notion.so/leet_joy-eb0b2c3b4b3f4d95b1a088c5c1695eae?pvs=21), klaudiusz (https://www.notion.so/klaudiusz-b0c2f2cf85f04c3bbe567670357492c9?pvs=21)","Untitled (https://www.notion.so/36c15d8f232648618f5a2afa60d5ad87?pvs=21), Untitled (https://www.notion.so/537be8447de74f7698044e5dce4f2eef?pvs=21)"
Events,,https://pioneerapp.xyz/#/forum/thread/74,"leet_joy (https://www.notion.so/leet_joy-5e0e33e7d1c14146b180ac0d8adc555a?pvs=21), Songoku (https://www.notion.so/Songoku-6301efa9bcee460b8ee79a27c9a84bce?pvs=21)",Archived discussion,https://pioneerapp.xyz/#/forum/thread/74,"leet_joy (https://www.notion.so/leet_joy-eb0b2c3b4b3f4d95b1a088c5c1695eae?pvs=21), Songoku (https://www.notion.so/Songoku-491570b0e3e746908c95f89e94c46975?pvs=21)","Untitled (https://www.notion.so/537be8447de74f7698044e5dce4f2eef?pvs=21), Untitled (https://www.notion.so/779373785903497c852d7332d7daa028?pvs=21)"
Workflows,,https://pioneerapp.xyz/#/forum/thread/73,"Songoku (https://www.notion.so/Songoku-6301efa9bcee460b8ee79a27c9a84bce?pvs=21), jen (https://www.notion.so/jen-f3363d362cf0408ea54b84cc2d6671d2?pvs=21)",Archived discussion,https://pioneerapp.xyz/#/forum/thread/73,"Songoku (https://www.notion.so/Songoku-491570b0e3e746908c95f89e94c46975?pvs=21), jen (https://www.notion.so/jen-ec8aebfd43134ad69d5deeb8c660d97e?pvs=21)","Untitled (https://www.notion.so/779373785903497c852d7332d7daa028?pvs=21), Untitled (https://www.notion.so/7986a3d88fe646a685368d1575c0d2dd?pvs=21)"
"HR, Plans",,https://pioneerapp.xyz/#/forum/thread/33,"Songoku (https://www.notion.so/Songoku-6301efa9bcee460b8ee79a27c9a84bce?pvs=21), spat_sochi (https://www.notion.so/spat_sochi-59f97172837c424181b6b555d15f30c3?pvs=21)",Stale,https://pioneerapp.xyz/#/forum/thread/33,"spat_sochi (https://www.notion.so/spat_sochi-b30f69ab81e14fc080a3b62a07949149?pvs=21), Songoku (https://www.notion.so/Songoku-491570b0e3e746908c95f89e94c46975?pvs=21)","Untitled (https://www.notion.so/779373785903497c852d7332d7daa028?pvs=21), Untitled (https://www.notion.so/aaef839bc90147808aa1340cbb8f9225?pvs=21)"
Plans,,https://pioneerapp.xyz/#/forum/thread/98 Plan,"Songoku (https://www.notion.so/Songoku-6301efa9bcee460b8ee79a27c9a84bce?pvs=21), leet_joy (https://www.notion.so/leet_joy-5e0e33e7d1c14146b180ac0d8adc555a?pvs=21)",Archived discussion,https://pioneerapp.xyz/#/forum/thread/98,"leet_joy (https://www.notion.so/leet_joy-eb0b2c3b4b3f4d95b1a088c5c1695eae?pvs=21), Songoku (https://www.notion.so/Songoku-491570b0e3e746908c95f89e94c46975?pvs=21)","Untitled (https://www.notion.so/537be8447de74f7698044e5dce4f2eef?pvs=21), Untitled (https://www.notion.so/779373785903497c852d7332d7daa028?pvs=21)"
,,https://pioneerapp.xyz/#/forum/thread/94,"0x2bc (https://www.notion.so/0x2bc-08e9cea9c431408fb7e38dd2643c33de?pvs=21), Songoku (https://www.notion.so/Songoku-6301efa9bcee460b8ee79a27c9a84bce?pvs=21)",Archived discussion,https://pioneerapp.xyz/#/forum/thread/94,"0x2bc (https://www.notion.so/0x2bc-5dc9e9cef011453687e92f91efddb954?pvs=21), Songoku (https://www.notion.so/Songoku-491570b0e3e746908c95f89e94c46975?pvs=21)","Untitled (https://www.notion.so/1ece8576156f4e31b4d49912d7b60644?pvs=21), Untitled (https://www.notion.so/779373785903497c852d7332d7daa028?pvs=21)"
,,https://pioneerapp.xyz/#/forum/thread/369,"Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21), 0x2bc (https://www.notion.so/0x2bc-08e9cea9c431408fb7e38dd2643c33de?pvs=21)",Pre-Proposal,https://pioneerapp.xyz/#/forum/thread/369,"Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21), 0x2bc (https://www.notion.so/0x2bc-5dc9e9cef011453687e92f91efddb954?pvs=21)","Untitled (https://www.notion.so/1ece8576156f4e31b4d49912d7b60644?pvs=21), Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21)"
Workflows,,Handover schedule,"0x2bc (https://www.notion.so/0x2bc-08e9cea9c431408fb7e38dd2643c33de?pvs=21), jen (https://www.notion.so/jen-f3363d362cf0408ea54b84cc2d6671d2?pvs=21)",Archived discussion,https://pioneerapp.xyz/#/forum/thread/373,"0x2bc (https://www.notion.so/0x2bc-5dc9e9cef011453687e92f91efddb954?pvs=21), jen (https://www.notion.so/jen-ec8aebfd43134ad69d5deeb8c660d97e?pvs=21)","Untitled (https://www.notion.so/1ece8576156f4e31b4d49912d7b60644?pvs=21), Untitled (https://www.notion.so/7986a3d88fe646a685368d1575c0d2dd?pvs=21)"
"Content, Events",,https://pioneerapp.xyz/#/forum/thread/378,leet_joy (https://www.notion.so/leet_joy-5e0e33e7d1c14146b180ac0d8adc555a?pvs=21),Pre-Proposal,https://pioneerapp.xyz/#/forum/thread/378,leet_joy (https://www.notion.so/leet_joy-eb0b2c3b4b3f4d95b1a088c5c1695eae?pvs=21),Untitled (https://www.notion.so/537be8447de74f7698044e5dce4f2eef?pvs=21)
,,https://pioneerapp.xyz/#/forum/thread/327,"yyagi (https://www.notion.so/yyagi-35b00b44f5d04a0f9967b9439e97f62a?pvs=21), leet_joy (https://www.notion.so/leet_joy-5e0e33e7d1c14146b180ac0d8adc555a?pvs=21)",Pre-Proposal,https://pioneerapp.xyz/#/forum/thread/327,"yyagi (https://www.notion.so/yyagi-5b1ad947b81e41daa4ef93570e5cfdcc?pvs=21), leet_joy (https://www.notion.so/leet_joy-eb0b2c3b4b3f4d95b1a088c5c1695eae?pvs=21)","Untitled (https://www.notion.so/43938f16b13e40198086459eb6cecc42?pvs=21), Untitled (https://www.notion.so/537be8447de74f7698044e5dce4f2eef?pvs=21)"
,,https://pioneerapp.xyz/#/forum/thread/381,0x2bc (https://www.notion.so/0x2bc-08e9cea9c431408fb7e38dd2643c33de?pvs=21),Pre-Proposal,https://pioneerapp.xyz/#/forum/thread/381,0x2bc (https://www.notion.so/0x2bc-5dc9e9cef011453687e92f91efddb954?pvs=21),Untitled (https://www.notion.so/1ece8576156f4e31b4d49912d7b60644?pvs=21)
,,https://pioneerapp.xyz/#/forum/thread/380,"leet_joy (https://www.notion.so/leet_joy-5e0e33e7d1c14146b180ac0d8adc555a?pvs=21), 0x2bc (https://www.notion.so/0x2bc-08e9cea9c431408fb7e38dd2643c33de?pvs=21)",Archived discussion,https://pioneerapp.xyz/#/forum/thread/380,"0x2bc (https://www.notion.so/0x2bc-5dc9e9cef011453687e92f91efddb954?pvs=21), leet_joy (https://www.notion.so/leet_joy-eb0b2c3b4b3f4d95b1a088c5c1695eae?pvs=21)","Untitled (https://www.notion.so/1ece8576156f4e31b4d49912d7b60644?pvs=21), Untitled (https://www.notion.so/537be8447de74f7698044e5dce4f2eef?pvs=21)"
,,https://pioneerapp.xyz/#/forum/thread/383,"0x2bc (https://www.notion.so/0x2bc-08e9cea9c431408fb7e38dd2643c33de?pvs=21), Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21)",Pre-Proposal,https://pioneerapp.xyz/#/forum/thread/383,"0x2bc (https://www.notion.so/0x2bc-5dc9e9cef011453687e92f91efddb954?pvs=21), Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21)","Untitled (https://www.notion.so/1ece8576156f4e31b4d49912d7b60644?pvs=21), Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)"
,,https://pioneerapp.xyz/#/forum/thread/391,"yyagi (https://www.notion.so/yyagi-35b00b44f5d04a0f9967b9439e97f62a?pvs=21), klaudiusz (https://www.notion.so/klaudiusz-a4de2049c4cf4b28adf036272ad4f31c?pvs=21)",Pre-Proposal,https://pioneerapp.xyz/#/forum/thread/391,"yyagi (https://www.notion.so/yyagi-5b1ad947b81e41daa4ef93570e5cfdcc?pvs=21), klaudiusz (https://www.notion.so/klaudiusz-b0c2f2cf85f04c3bbe567670357492c9?pvs=21)","Untitled (https://www.notion.so/36c15d8f232648618f5a2afa60d5ad87?pvs=21), Untitled (https://www.notion.so/43938f16b13e40198086459eb6cecc42?pvs=21)"
Workflows,,https://pioneerapp.xyz/#/forum/thread/344,"klaudiusz (https://www.notion.so/klaudiusz-a4de2049c4cf4b28adf036272ad4f31c?pvs=21), ferdikesh_studio (https://www.notion.so/ferdikesh_studio-e45ae0233d8945b2a37b65d64e5ced1e?pvs=21)",Archived discussion,https://pioneerapp.xyz/#/forum/thread/344,"klaudiusz (https://www.notion.so/klaudiusz-b0c2f2cf85f04c3bbe567670357492c9?pvs=21), ferdikesh_studio (https://www.notion.so/ferdikesh_studio-bd37b5e0817f4a08999870667b84a79e?pvs=21)","Untitled (https://www.notion.so/2241003c2595450f819424b373974708?pvs=21), Untitled (https://www.notion.so/36c15d8f232648618f5a2afa60d5ad87?pvs=21)"
Workflows,,https://pioneerapp.xyz/#/forum/thread/395,"jen (https://www.notion.so/jen-f3363d362cf0408ea54b84cc2d6671d2?pvs=21), Igrex (https://www.notion.so/Igrex-c7c2983f450646729ce1c76265f87f72?pvs=21)",Archived discussion,https://pioneerapp.xyz/#/forum/thread/395,"Igrex (https://www.notion.so/Igrex-99fb09a41cf443d78daf61b33ae4e45e?pvs=21), jen (https://www.notion.so/jen-ec8aebfd43134ad69d5deeb8c660d97e?pvs=21)","Untitled (https://www.notion.so/21e72bac733844a09e1d4a6532656560?pvs=21), Untitled (https://www.notion.so/7986a3d88fe646a685368d1575c0d2dd?pvs=21)"
"Dev, Events",,https://pioneerapp.xyz/#/forum/thread/399,l1.Media (https://www.notion.so/l1-Media-102f6d226eeb478bb3cf77e0b9c087f8?pvs=21),Pre-Proposal,https://pioneerapp.xyz/#/forum/thread/399,l1.Media (https://www.notion.so/l1-Media-c5cfcfc91b8d4a26b56f21da0e50aa3b?pvs=21),Untitled (https://www.notion.so/8b331eac2af3458e89d8accb15a6a9e9?pvs=21)
