Title,Assigned,Date,Related to JS DAO Workers sheet (Tasks),Related to JS DAO Workers sheet (Tasks) 1,Status,Topic,URL
Council Term Plan Template,,24/01/2023,,,Approved,Workflows,https://pioneerapp.xyz/#/proposals/preview/84
Reporting Cycle,,24/01/2023,,,Approved,Workflows,https://pioneerapp.xyz/#/proposals/preview/83
Devise content rewards policy,,25/01/2023,,,Implemented,Dev,https://pioneerapp.xyz/#/proposals/preview/87
Pioneer Product Priorities Mid Term,Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21),25/01/2023,Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21),Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21),Approved,Dev,https://pioneerapp.xyz/#/proposals/preview/86
New Discord Channel,,25/01/2023,,,Approved,Channels,https://pioneerapp.xyz/#/proposals/preview/91
Forum Lead Salary,,28/01/2023,,,Failed,HR,https://pioneerapp.xyz/#/proposals/preview/95
ADMIN/EDITOR RIGHTS,,25/01/2023,,,Approved,Channels,https://pioneerapp.xyz/#/proposals/preview/90
Joy Allocations For Crew3,,25/01/2023,,,Failed,Events,https://pioneerapp.xyz/#/proposals/preview/92
UPDATE ON WG LEADS SALARIES,,28/01/2023,,,Failed,HR,https://pioneerapp.xyz/#/proposals/preview/98
Review #Council-Handover Channel,,30/01/2023,,,Implemented,Channels,https://pioneerapp.xyz/#/proposals/preview/103
Create Main Category For Validators,,30/01/2023,,,Implemented,Forum,https://pioneerapp.xyz/#/proposals/preview/104
Assign Correct Discord Role To WG Leads,,30/01/2023,,,Approved,Channels,https://pioneerapp.xyz/#/proposals/preview/102
Joystream DAO Marketing WG Plan,leet_joy (https://www.notion.so/leet_joy-5e0e33e7d1c14146b180ac0d8adc555a?pvs=21),01/02/2023,leet_joy (https://www.notion.so/leet_joy-eb0b2c3b4b3f4d95b1a088c5c1695eae?pvs=21),Untitled (https://www.notion.so/537be8447de74f7698044e5dce4f2eef?pvs=21),Approved,Events,https://pioneerapp.xyz/#/proposals/preview/108
Lead Bonuses And WGs KPIs,,15/02/2023,,,Failed,HR,https://pioneerapp.xyz/#/proposals/preview/131
HR Monitor Worker Salaries,,04/02/2023,,,Failed,HR,https://pioneerapp.xyz/#/proposals/preview/112
Lead Bonuses And WGs KPIs,,13/02/2023,,,Failed,"HR, Workflows",https://pioneerapp.xyz/#/proposals/preview/127
Change In Reporting Cycle,,15/02/2023,,,Approved,Workflows,https://pioneerapp.xyz/#/proposals/preview/132
Content Rewards Policy,,14/02/2023,,,Failed,Content,https://pioneerapp.xyz/#/proposals/preview/130
Implement Council Candidacy Interview,,18/02/2023,,,Failed,HR,https://pioneerapp.xyz/#/proposals/preview/140
#Verification - READ-ONLY CHANNEL,,18/02/2023,,,Approved,Channels,https://pioneerapp.xyz/#/proposals/preview/138
Council Election Process Breakdown,,19/02/2023,,,Failed,Workflows,https://pioneerapp.xyz/#/proposals/preview/145
Council Plan For 5th Term,,19/02/2023,,,Failed,Plans,https://pioneerapp.xyz/#/proposals/preview/143
Content Rewards Policy,,22/02/2023,,,Failed,Content,https://pioneerapp.xyz/#/proposals/preview/1488
#Membership Channel On Discord,,23/02/2023,,,Approved,Channels,https://pioneerapp.xyz/#/proposals/preview/149
Certificate Of Employment,,24/02/2023,,,Failed,HR,https://pioneerapp.xyz/#/proposals/preview/156
New Council Term Report Template,,23/02/2023,,,Failed,Workflows,https://pioneerapp.xyz/#/proposals/preview/151
New Council Term Plan Template,,23/02/2023,,,Failed,Workflows,https://pioneerapp.xyz/#/proposals/preview/150
Slow Down On Hiring New Personnel,,23/02/2023,,,Failed,HR,https://pioneerapp.xyz/#/proposals/preview/152
Get More Info On JSG And Gateways Plans,,27/02/2023,,,Failed,Plans,https://pioneerapp.xyz/#/proposals/preview/160
Gateway's Development Roadmap Required,,28/02/2023,,,Failed,Plans,https://pioneerapp.xyz/#/proposals/preview/165
Gateways' Development Roadmaps Required,,28/02/2023,,,Failed,Plans,https://pioneerapp.xyz/#/proposals/preview/166
Content Rewards Policy,,24/02/2023,,,Failed,Content,https://pioneerapp.xyz/#/proposals/preview/154
New Council Term Report Template,,27/02/2023,,,Approved,Workflows,https://pioneerapp.xyz/#/proposals/preview/157
New Council Term Plan Template,,27/02/2023,,,Approved,Workflows,https://pioneerapp.xyz/#/proposals/preview/158
New Discord Channel,,02/03/2023,,,Failed,Channels,https://pioneerapp.xyz/#/proposals/preview/172
Council Plan For 5th Term,,27/02/2023,,,Approved,Plans,https://pioneerapp.xyz/#/proposals/preview/159
Issuance Of COE For Worker Itz,Codefi_keyz (https://www.notion.so/Codefi_keyz-309fe6b454f949b8978d6d9ce8021075?pvs=21),01/03/2023,Codefi_keyz (https://www.notion.so/Codefi_keyz-f6984d651b7f47e08210baf7da48a770?pvs=21),Untitled (https://www.notion.so/efed624f27a14e5d8760b1103615bd78?pvs=21),Implemented,HR,https://pioneerapp.xyz/#/proposals/preview/171
Request: Closure Of #Faucet Discord Chan,,07/03/2023,,,Implemented,Channels,https://pioneerapp.xyz/#/proposals/preview/183
Notion Changes - March 2023,,06/03/2023,,,Approved,,https://pioneerapp.xyz/#/proposals/preview/181
Council Plan Term 6,,06/03/2023,,,Approved,Plans,https://pioneerapp.xyz/#/proposals/preview/182
Make Council Feedback Category On Forum,,10/03/2023,,,Failed,Forum,https://pioneerapp.xyz/#/proposals/preview/190
OKR Process,,09/03/2023,,,Failed,Workflows,https://pioneerapp.xyz/#/proposals/preview/189
Training: Making Effective Proposals,,07/03/2023,,,Approved,Workflows,https://pioneerapp.xyz/#/proposals/preview/184
Content Rewards Policy,Igrex (https://www.notion.so/Igrex-c7c2983f450646729ce1c76265f87f72?pvs=21),11/03/2023,Igrex (https://www.notion.so/Igrex-99fb09a41cf443d78daf61b33ae4e45e?pvs=21),Untitled (https://www.notion.so/21e72bac733844a09e1d4a6532656560?pvs=21),Approved,Content,https://pioneerapp.xyz/#/proposals/preview/191
Certificate Of Participation,,16/03/2023,,,Failed,HR,https://pioneerapp.xyz/#/proposals/preview/196
Mandatory Handover/Retro Meeting,,16/03/2023,,,Approved,Workflows,https://pioneerapp.xyz/#/proposals/preview/197
Discord Channel For Official Links,,19/03/2023,,,Failed,Channels,https://pioneerapp.xyz/#/proposals/preview/203
Certificate Of Participation,,16/03/2023,,,Failed,HR,https://pioneerapp.xyz/#/proposals/preview/198
Update Joystream CLI,Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21),22/03/2023,Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21),Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21),Approved,Dev,https://pioneerapp.xyz/#/proposals/preview/206
Council Plan Term 7,,22/03/2023,,,Implemented,Plans,https://pioneerapp.xyz/#/proposals/preview/207
Joystream Hackathon,,24/03/2023,,,Failed,Events,https://pioneerapp.xyz/#/proposals/preview/215
OKRs For Q2 2023,,26/03/2023,,,Approved,Plans,https://pioneerapp.xyz/#/proposals/preview/216
Verification Of JSG-Related Accounts,,27/03/2023,,,Approved,Channels,https://pioneerapp.xyz/#/proposals/preview/219
Development Teams,,31/03/2023,,,Approved,Workflows,https://pioneerapp.xyz/#/proposals/preview/222
Joystream Hackathon,,28/03/2023,,,Failed,Events,https://pioneerapp.xyz/#/proposals/preview/220
DWG Salary Formula,,01/04/2023,,,Failed,HR,https://pioneerapp.xyz/#/proposals/preview/223
Validator Increase Post-Mortem,,04/04/2023,,,Obsolete,Chain,https://pioneerapp.xyz/#/proposals/preview/234
Key Performance Indicators,,04/04/2023,,,Failed,Workflows,https://pioneerapp.xyz/#/proposals/preview/233
Checkpoints,,04/04/2023,,,Failed,Workflows,https://pioneerapp.xyz/#/proposals/preview/232
Council Term 8 Plan,,07/04/2023,,,Implemented,Plans,https://pioneerapp.xyz/#/proposals/preview/240
Election Stats Bot For Discord,Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21),06/04/2023,Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21),Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21),Approved,Dev,https://pioneerapp.xyz/#/proposals/preview/237
Create Games & Quiz Channel And Add Bot,,07/04/2023,,,Implemented,"Channels, Dev",https://pioneerapp.xyz/#/proposals/preview/241
Add OKR Table To The Working Group Plan,,10/04/2023,,,Approved,Workflows,https://pioneerapp.xyz/#/proposals/preview/242
Meeting Notes Template,,11/04/2023,,,Approved,Workflows,https://pioneerapp.xyz/#/proposals/preview/249
Ledger Plugin Development,Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21),13/04/2023,Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21),Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21),Approved,Dev,https://pioneerapp.xyz/#/proposals/preview/259
Create #Links Channel In Discord Server,,11/04/2023,,,Implemented,Channels,https://pioneerapp.xyz/#/proposals/preview/250
Add Combot To Telegram Chat,,25/04/2023,,,Approved,Channels,https://pioneerapp.xyz/#/proposals/preview/276
Introduce JOY Sending Discord Bot,Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21),28/04/2023,Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21),Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21),Approved,Dev,https://pioneerapp.xyz/#/proposals/preview/282
Contest For Finding Best Title & Logo,,25/04/2023,,,Implemented,Events,https://pioneerapp.xyz/#/proposals/preview/275
Weekly Discord Quiz,,26/04/2023,,,Implemented,Events,https://pioneerapp.xyz/#/proposals/preview/278
Rename Joystream TG Community,,27/04/2023,,,Implemented,Channels,https://pioneerapp.xyz/#/proposals/preview/281
Revised Compensation Strategy,,02/05/2023,,,Failed,HR,https://pioneerapp.xyz/#/proposals/preview/287
Compensation Plan,,29/04/2023,,,Failed,HR,https://pioneerapp.xyz/#/proposals/preview/283
Approve Council Plan #10,,07/05/2023,,,Failed,Plans,https://pioneerapp.xyz/#/proposals/preview/301
Add Joyspace Logo Channel In Discord,,13/05/2023,,,Failed,Channels,https://pioneerapp.xyz/#/proposals/preview/308
Handover/Retro Meeting Fixed Schedule,,13/05/2023,,,Failed,Workflows,https://pioneerapp.xyz/#/proposals/preview/309
Content Incentives Bulk Payouts,Igrex (https://www.notion.so/Igrex-c7c2983f450646729ce1c76265f87f72?pvs=21),23/5/2023,Igrex (https://www.notion.so/Igrex-99fb09a41cf443d78daf61b33ae4e45e?pvs=21),Untitled (https://www.notion.so/21e72bac733844a09e1d4a6532656560?pvs=21),Deciding,Content,https://pioneerapp.xyz/#/proposals/preview/325
SWG/DWG Server Costs Compensation Plan,,23/5/2023,,,Deciding,HR,https://pioneerapp.xyz/#/proposals/preview/326
https://pioneerapp.xyz/#/forum/thread/399,l1.Media (https://www.notion.so/l1-Media-102f6d226eeb478bb3cf77e0b9c087f8?pvs=21),,l1.Media (https://www.notion.so/l1-Media-c5cfcfc91b8d4a26b56f21da0e50aa3b?pvs=21),Untitled (https://www.notion.so/8b331eac2af3458e89d8accb15a6a9e9?pvs=21),Pre-Proposal,"Dev, Events",https://pioneerapp.xyz/#/forum/thread/399
https://pioneerapp.xyz/#/forum/thread/395,"jen (https://www.notion.so/jen-f3363d362cf0408ea54b84cc2d6671d2?pvs=21), Igrex (https://www.notion.so/Igrex-c7c2983f450646729ce1c76265f87f72?pvs=21)",,"Igrex (https://www.notion.so/Igrex-99fb09a41cf443d78daf61b33ae4e45e?pvs=21), jen (https://www.notion.so/jen-ec8aebfd43134ad69d5deeb8c660d97e?pvs=21)","Untitled (https://www.notion.so/21e72bac733844a09e1d4a6532656560?pvs=21), Untitled (https://www.notion.so/7986a3d88fe646a685368d1575c0d2dd?pvs=21)",Archived discussion,Workflows,https://pioneerapp.xyz/#/forum/thread/395
https://pioneerapp.xyz/#/forum/thread/344,"klaudiusz (https://www.notion.so/klaudiusz-a4de2049c4cf4b28adf036272ad4f31c?pvs=21), ferdikesh_studio (https://www.notion.so/ferdikesh_studio-e45ae0233d8945b2a37b65d64e5ced1e?pvs=21)",,"klaudiusz (https://www.notion.so/klaudiusz-b0c2f2cf85f04c3bbe567670357492c9?pvs=21), ferdikesh_studio (https://www.notion.so/ferdikesh_studio-bd37b5e0817f4a08999870667b84a79e?pvs=21)","Untitled (https://www.notion.so/2241003c2595450f819424b373974708?pvs=21), Untitled (https://www.notion.so/36c15d8f232648618f5a2afa60d5ad87?pvs=21)",Archived discussion,Workflows,https://pioneerapp.xyz/#/forum/thread/344
https://pioneerapp.xyz/#/forum/thread/391,"yyagi (https://www.notion.so/yyagi-35b00b44f5d04a0f9967b9439e97f62a?pvs=21), klaudiusz (https://www.notion.so/klaudiusz-a4de2049c4cf4b28adf036272ad4f31c?pvs=21)",,"yyagi (https://www.notion.so/yyagi-5b1ad947b81e41daa4ef93570e5cfdcc?pvs=21), klaudiusz (https://www.notion.so/klaudiusz-b0c2f2cf85f04c3bbe567670357492c9?pvs=21)","Untitled (https://www.notion.so/36c15d8f232648618f5a2afa60d5ad87?pvs=21), Untitled (https://www.notion.so/43938f16b13e40198086459eb6cecc42?pvs=21)",Pre-Proposal,,https://pioneerapp.xyz/#/forum/thread/391
https://pioneerapp.xyz/#/forum/thread/383,"0x2bc (https://www.notion.so/0x2bc-08e9cea9c431408fb7e38dd2643c33de?pvs=21), Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21)",,"0x2bc (https://www.notion.so/0x2bc-5dc9e9cef011453687e92f91efddb954?pvs=21), Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21)","Untitled (https://www.notion.so/1ece8576156f4e31b4d49912d7b60644?pvs=21), Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)",Pre-Proposal,,https://pioneerapp.xyz/#/forum/thread/383
https://pioneerapp.xyz/#/forum/thread/380,"leet_joy (https://www.notion.so/leet_joy-5e0e33e7d1c14146b180ac0d8adc555a?pvs=21), 0x2bc (https://www.notion.so/0x2bc-08e9cea9c431408fb7e38dd2643c33de?pvs=21)",,"0x2bc (https://www.notion.so/0x2bc-5dc9e9cef011453687e92f91efddb954?pvs=21), leet_joy (https://www.notion.so/leet_joy-eb0b2c3b4b3f4d95b1a088c5c1695eae?pvs=21)","Untitled (https://www.notion.so/1ece8576156f4e31b4d49912d7b60644?pvs=21), Untitled (https://www.notion.so/537be8447de74f7698044e5dce4f2eef?pvs=21)",Archived discussion,,https://pioneerapp.xyz/#/forum/thread/380
https://pioneerapp.xyz/#/forum/thread/381,0x2bc (https://www.notion.so/0x2bc-08e9cea9c431408fb7e38dd2643c33de?pvs=21),,0x2bc (https://www.notion.so/0x2bc-5dc9e9cef011453687e92f91efddb954?pvs=21),Untitled (https://www.notion.so/1ece8576156f4e31b4d49912d7b60644?pvs=21),Pre-Proposal,,https://pioneerapp.xyz/#/forum/thread/381
https://pioneerapp.xyz/#/forum/thread/327,"yyagi (https://www.notion.so/yyagi-35b00b44f5d04a0f9967b9439e97f62a?pvs=21), leet_joy (https://www.notion.so/leet_joy-5e0e33e7d1c14146b180ac0d8adc555a?pvs=21)",,"yyagi (https://www.notion.so/yyagi-5b1ad947b81e41daa4ef93570e5cfdcc?pvs=21), leet_joy (https://www.notion.so/leet_joy-eb0b2c3b4b3f4d95b1a088c5c1695eae?pvs=21)","Untitled (https://www.notion.so/43938f16b13e40198086459eb6cecc42?pvs=21), Untitled (https://www.notion.so/537be8447de74f7698044e5dce4f2eef?pvs=21)",Pre-Proposal,,https://pioneerapp.xyz/#/forum/thread/327
https://pioneerapp.xyz/#/forum/thread/378,leet_joy (https://www.notion.so/leet_joy-5e0e33e7d1c14146b180ac0d8adc555a?pvs=21),,leet_joy (https://www.notion.so/leet_joy-eb0b2c3b4b3f4d95b1a088c5c1695eae?pvs=21),Untitled (https://www.notion.so/537be8447de74f7698044e5dce4f2eef?pvs=21),Pre-Proposal,"Content, Events",https://pioneerapp.xyz/#/forum/thread/378
Handover schedule,"0x2bc (https://www.notion.so/0x2bc-08e9cea9c431408fb7e38dd2643c33de?pvs=21), jen (https://www.notion.so/jen-f3363d362cf0408ea54b84cc2d6671d2?pvs=21)",,"0x2bc (https://www.notion.so/0x2bc-5dc9e9cef011453687e92f91efddb954?pvs=21), jen (https://www.notion.so/jen-ec8aebfd43134ad69d5deeb8c660d97e?pvs=21)","Untitled (https://www.notion.so/1ece8576156f4e31b4d49912d7b60644?pvs=21), Untitled (https://www.notion.so/7986a3d88fe646a685368d1575c0d2dd?pvs=21)",Archived discussion,Workflows,https://pioneerapp.xyz/#/forum/thread/373
https://pioneerapp.xyz/#/forum/thread/369,"Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21), 0x2bc (https://www.notion.so/0x2bc-08e9cea9c431408fb7e38dd2643c33de?pvs=21)",,"Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21), 0x2bc (https://www.notion.so/0x2bc-5dc9e9cef011453687e92f91efddb954?pvs=21)","Untitled (https://www.notion.so/1ece8576156f4e31b4d49912d7b60644?pvs=21), Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21)",Pre-Proposal,,https://pioneerapp.xyz/#/forum/thread/369
https://pioneerapp.xyz/#/forum/thread/94,"0x2bc (https://www.notion.so/0x2bc-08e9cea9c431408fb7e38dd2643c33de?pvs=21), Songoku (https://www.notion.so/Songoku-6301efa9bcee460b8ee79a27c9a84bce?pvs=21)",,"0x2bc (https://www.notion.so/0x2bc-5dc9e9cef011453687e92f91efddb954?pvs=21), Songoku (https://www.notion.so/Songoku-491570b0e3e746908c95f89e94c46975?pvs=21)","Untitled (https://www.notion.so/1ece8576156f4e31b4d49912d7b60644?pvs=21), Untitled (https://www.notion.so/779373785903497c852d7332d7daa028?pvs=21)",Archived discussion,,https://pioneerapp.xyz/#/forum/thread/94
https://pioneerapp.xyz/#/forum/thread/98 Plan,"Songoku (https://www.notion.so/Songoku-6301efa9bcee460b8ee79a27c9a84bce?pvs=21), leet_joy (https://www.notion.so/leet_joy-5e0e33e7d1c14146b180ac0d8adc555a?pvs=21)",,"leet_joy (https://www.notion.so/leet_joy-eb0b2c3b4b3f4d95b1a088c5c1695eae?pvs=21), Songoku (https://www.notion.so/Songoku-491570b0e3e746908c95f89e94c46975?pvs=21)","Untitled (https://www.notion.so/537be8447de74f7698044e5dce4f2eef?pvs=21), Untitled (https://www.notion.so/779373785903497c852d7332d7daa028?pvs=21)",Archived discussion,Plans,https://pioneerapp.xyz/#/forum/thread/98
https://pioneerapp.xyz/#/forum/thread/33,"Songoku (https://www.notion.so/Songoku-6301efa9bcee460b8ee79a27c9a84bce?pvs=21), spat_sochi (https://www.notion.so/spat_sochi-59f97172837c424181b6b555d15f30c3?pvs=21)",,"spat_sochi (https://www.notion.so/spat_sochi-b30f69ab81e14fc080a3b62a07949149?pvs=21), Songoku (https://www.notion.so/Songoku-491570b0e3e746908c95f89e94c46975?pvs=21)","Untitled (https://www.notion.so/779373785903497c852d7332d7daa028?pvs=21), Untitled (https://www.notion.so/aaef839bc90147808aa1340cbb8f9225?pvs=21)",Stale,"HR, Plans",https://pioneerapp.xyz/#/forum/thread/33
https://pioneerapp.xyz/#/forum/thread/73,"Songoku (https://www.notion.so/Songoku-6301efa9bcee460b8ee79a27c9a84bce?pvs=21), jen (https://www.notion.so/jen-f3363d362cf0408ea54b84cc2d6671d2?pvs=21)",,"Songoku (https://www.notion.so/Songoku-491570b0e3e746908c95f89e94c46975?pvs=21), jen (https://www.notion.so/jen-ec8aebfd43134ad69d5deeb8c660d97e?pvs=21)","Untitled (https://www.notion.so/779373785903497c852d7332d7daa028?pvs=21), Untitled (https://www.notion.so/7986a3d88fe646a685368d1575c0d2dd?pvs=21)",Archived discussion,Workflows,https://pioneerapp.xyz/#/forum/thread/73
https://pioneerapp.xyz/#/forum/thread/74,"leet_joy (https://www.notion.so/leet_joy-5e0e33e7d1c14146b180ac0d8adc555a?pvs=21), Songoku (https://www.notion.so/Songoku-6301efa9bcee460b8ee79a27c9a84bce?pvs=21)",,"leet_joy (https://www.notion.so/leet_joy-eb0b2c3b4b3f4d95b1a088c5c1695eae?pvs=21), Songoku (https://www.notion.so/Songoku-491570b0e3e746908c95f89e94c46975?pvs=21)","Untitled (https://www.notion.so/537be8447de74f7698044e5dce4f2eef?pvs=21), Untitled (https://www.notion.so/779373785903497c852d7332d7daa028?pvs=21)",Archived discussion,Events,https://pioneerapp.xyz/#/forum/thread/74
https://pioneerapp.xyz/#/forum/thread/360,"leet_joy (https://www.notion.so/leet_joy-5e0e33e7d1c14146b180ac0d8adc555a?pvs=21), klaudiusz (https://www.notion.so/klaudiusz-a4de2049c4cf4b28adf036272ad4f31c?pvs=21)",,"leet_joy (https://www.notion.so/leet_joy-eb0b2c3b4b3f4d95b1a088c5c1695eae?pvs=21), klaudiusz (https://www.notion.so/klaudiusz-b0c2f2cf85f04c3bbe567670357492c9?pvs=21)","Untitled (https://www.notion.so/36c15d8f232648618f5a2afa60d5ad87?pvs=21), Untitled (https://www.notion.so/537be8447de74f7698044e5dce4f2eef?pvs=21)",Pre-Proposal,,https://pioneerapp.xyz/#/forum/thread/360
https://pioneerapp.xyz/#/forum/thread/371,vikan#4315 (https://www.notion.so/vikan-4315-170b792367204ef9aa9e59bb878aa516?pvs=21),,vikan#4315 (https://www.notion.so/vikan-4315-f893a7c8f26647a490685f67284638e7?pvs=21),Untitled (https://www.notion.so/3d2ab943ec54489eb2c7572332a4dd42?pvs=21),Pre-Proposal,Dev,https://pioneerapp.xyz/#/forum/thread/371
https://pioneerapp.xyz/#/forum/thread/364ation,"0x2bc (https://www.notion.so/0x2bc-08e9cea9c431408fb7e38dd2643c33de?pvs=21), Codefi_keyz (https://www.notion.so/Codefi_keyz-309fe6b454f949b8978d6d9ce8021075?pvs=21)",,"0x2bc (https://www.notion.so/0x2bc-5dc9e9cef011453687e92f91efddb954?pvs=21), Codefi_keyz (https://www.notion.so/Codefi_keyz-f6984d651b7f47e08210baf7da48a770?pvs=21)","Untitled (https://www.notion.so/1ece8576156f4e31b4d49912d7b60644?pvs=21), Untitled (https://www.notion.so/efed624f27a14e5d8760b1103615bd78?pvs=21)",Archived discussion,Channels,https://pioneerapp.xyz/#/forum/thread/364
https://pioneerapp.xyz/#/forum/thread/359,"klaudiusz (https://www.notion.so/klaudiusz-a4de2049c4cf4b28adf036272ad4f31c?pvs=21), Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21)",,"Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21), klaudiusz (https://www.notion.so/klaudiusz-b0c2f2cf85f04c3bbe567670357492c9?pvs=21)","Untitled (https://www.notion.so/36c15d8f232648618f5a2afa60d5ad87?pvs=21), Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21)",Archived discussion,HR,https://pioneerapp.xyz/#/forum/thread/359
https://pioneerapp.xyz/#/forum/thread/348,"Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21), Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21)",,"Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21), Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21)","Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21), Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)",Pre-Proposal,Dev,https://pioneerapp.xyz/#/forum/thread/348
https://pioneerapp.xyz/#/forum/thread/358,"Kriptos (https://www.notion.so/Kriptos-ebe57f8dde3647c4ba0a6dd2b62bc745?pvs=21), Igrex (https://www.notion.so/Igrex-c7c2983f450646729ce1c76265f87f72?pvs=21)",,"Igrex (https://www.notion.so/Igrex-99fb09a41cf443d78daf61b33ae4e45e?pvs=21), Kriptos (https://www.notion.so/Kriptos-70de4b256c46429da7f7545cbc5e4a21?pvs=21)","Untitled (https://www.notion.so/21e72bac733844a09e1d4a6532656560?pvs=21), Untitled (https://www.notion.so/5c4dd053b1e64be382d2798830df7bed?pvs=21)",Archived discussion,Channels,https://pioneerapp.xyz/#/forum/thread/358
https://pioneerapp.xyz/#/forum/thread/349nc users,"Igrex (https://www.notion.so/Igrex-c7c2983f450646729ce1c76265f87f72?pvs=21), Tomato (https://www.notion.so/Tomato-6217f1093d8b4955b82766e8369429c0?pvs=21)",,"Tomato (https://www.notion.so/Tomato-356d530c5ca04026a357a8f284a751c6?pvs=21), Igrex (https://www.notion.so/Igrex-99fb09a41cf443d78daf61b33ae4e45e?pvs=21)","Untitled (https://www.notion.so/21e72bac733844a09e1d4a6532656560?pvs=21), Untitled (https://www.notion.so/d1b9449fedff447a958fbfef8010f3bf?pvs=21)",Pre-Proposal,"Content, Events",https://pioneerapp.xyz/#/forum/thread/349
