"Objects size, MB",Bag ID,ObjectNumber,"Objects size, average, MB"
"7,9",2512,4,"2,0"
"2871,7",2275,4,"717,9"
"6,2",2399,4,"1,5"
"696,5",2023,8,"87,1"
"1074,0",2026,68,"15,8"
"0,0",2610,2,"0,0"
"0,0",2611,0,#DIV/0!
"0,0",2608,2,"0,0"
"44,5",2514,4,"11,1"
"261,1",2623,4,"65,3"
"0,0",2326,0,#DIV/0!
"51,1",2223,10,"5,1"
"1516,5",2075,126,"12,0"
"0,1",2017,2,"0,1"
"2888,1",2318,30,"96,3"
"223,8",2257,20,"11,2"
"0,9",2348,4,"0,2"
"6,2",2478,8,"0,8"
"18,3",2586,4,"4,6"
"132,5",2224,22,"6,0"
"0,1",2180,2,"0,1"
"483,2",2185,7,"69,0"
"4,6",2423,4,"1,2"
"0,0",2237,2,"0,0"
"9,5",2251,2,"4,8"
"2,5",2429,4,"0,6"
"265,4",2134,6,"44,2"
"0,0",2365,1,"0,0"
"0,0",2252,0,#DIV/0!
"8382,1",2035,30,"279,4"
"7,9",2418,4,"2,0"
"129,0",2266,2,"64,5"
"37,8",2336,6,"6,3"
"0,1",2016,2,"0,0"
"8,6",2531,4,"2,2"
"39,3",2448,4,"9,8"
"0,2",2018,2,"0,1"
"2788,4",2249,80,"34,9"
"22,9",2625,8,"2,9"
"422,8",2085,26,"16,3"
"37,8",2338,6,"6,3"
"0,0",2215,0,#DIV/0!
"0,0",2616,0,#DIV/0!
"197,7",2120,6,"32,9"
"179,3",2309,4,"44,8"
"5,2",2276,2,"2,6"
"130,3",2170,7,"18,6"
"10754,8",2298,23,"467,6"
"6233,0",2118,42,"148,4"
"5920,2",2199,174,"34,0"
"6,0",2463,6,"1,0"
"150,6",2277,22,"6,8"
"7,0",2571,4,"1,8"
"26,7",2577,4,"6,7"
"16,7",2452,6,"2,8"
"26,3",2114,4,"6,6"
"0,0",2344,2,"0,0"
"1603,3",2246,4,"400,8"
"14,4",2469,6,"2,4"
"0,0",2314,0,#DIV/0!
"6,1",2347,4,"1,5"
"10,2",2407,4,"2,5"
"6,0",2598,4,"1,5"
"3,3",2456,4,"0,8"
"4,7",2353,4,"1,2"
