Name,Attributes,Builder Weight,Content Weight,Deadline (Local Time),Deadline [block],Deadline timestamp,Distributor Weight,Effective Deadline,Forum Link,Forum Post Required?,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Proposal Link,Reports Gathered,Score,Score Notes,Score Status,Score Type,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores,Summary Weight,Summary Weight link
Bounty Score,,,,,,,,,,,,,BOUNTY_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#bounty_score,,,,,,,,HR Score (Council%208/Council%20Period%208/HR%20Score%20fbd6395d4fc64558ae4b90f7129c5225.md),,,,,,No,1,,Completed,Subscore,Yes,,,,,,,
Total $tJOY exceeds tJOY_BUDGET,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#total-tjoy-exceeds-tjoy_budget,,,,,,,,,,,,,,No,0,,Completed,Subscore,No,,,,,,,
General WG Score,Composite Grade,,,,,,,,,,,,GENERAL_WG_SCORE,Distributors,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,,,,,,,,Distributor Score (Council%208/Council%20Period%208/Distributor%20Score%2060a38ed6753f49ed86214e68c96602e9.md),,,,,,No,0.033,,Completed,Main Score,No,,,,,"WG Period Plan (Council%208/Council%20Period%208/WG%20Period%20Plan%20397df78252c3498089ca10af3621b78d.md), WG Summary (Council%208/Council%20Period%208/WG%20Summary%20ea27769654194bec8b10b883b533b974.md), WG Opportunities (Council%208/Council%20Period%208/WG%20Opportunities%206aa8811332dc459cb58e4deef7bb5735.md)",,
Content Report,Forum Post,,,,,,,,,Yes,,,REPORT_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#report_score,,,,,,,,Content Score (Council%208/Council%20Period%208/Content%20Score%20fbbf648d080345a5bf8ecfab6eddd357.md),,,,,,No,0.2,,Completed,Subscore,No,,849027,,,,,
Marketing Score,Composite Grade,,,,,,,,,,,,MARKETER_SCORE,Marketing,,,,,,,,,,,,,,,,No,,,Completed,,No,,,,,,,
Featured Content Unplayable,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#featured-content-unplayable,,,,,,,,Content Score (Council%208/Council%20Period%208/Content%20Score%20fbbf648d080345a5bf8ecfab6eddd357.md),,,,,,No,,,Completed,,No,,,,,,,
No available sources for data object,"Catastrophic Errors, Grade, Spot Check, Subscore",,,,,,,,,,,,,Distributors,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/distributors-score.md#catastrophic-errors,,,,,,,,,,,,,,No,,,Completed,Subscore,No,,,,,,,
WG Opportunities,"Document, Forum Post, Grade",,,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Forum,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,,,,,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%203fdfb7f760f647b2b7cde6384c758d7f.md),,,,,,No,0.5,,Completed,,No,,,,,,,
Testing,"Grade, Spot Check, Subscore",,,,,,,,,,,,TESTING_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#testing_score,,,,,,,,Builder Score (Council%208/Council%20Period%208/Builder%20Score%2036d89cfdf7ba4fa8b11bf29a2719c891.md),,,,,,No,0.867,,Completed,Subscore,No,,,,,,,
WG Summary,"Document, Forum Post, Grade, Subscore, Summary",,,,,,,,,,https://dao.joystream.org/#/forum/category/12,,SUMMARY_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,,,,,,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%20e2c4a80cb0994b98828ce369aec17465.md),,,,,,No,0.8,,Completed,Subscore,No,,,,,,,
