Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,Score Type,Deadline [block],Score Status
Storage Report,Storage,REPORT_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#report_score,,Storage Score (Council%208/Council%20Period%208/Storage%20Score%20252ea415198d48d78beeb34b391b9f6f.md),"Document, Forum Post, Grade",Subscore,,Completed
Forum Report,Forum,REPORT_SCORE,0.2,,,Forum Score (Council%208/Council%20Period%208/Forum%20Score%207514c5412b6844008461680aece46c56.md),"Document, Forum Post, Grade, Subscore",,,Completed
WG Period Plan,Distributors,PLAN_SCORE,0.2,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%20d1e632e1ddfe46cdb876ac20871293d0.md),"Document, Forum Post, Grade",Subscore,,Completed
Council Period Plan,Council,PLAN_SCORE,0.475,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,,Network Performance Score (Council%208/Council%20Period%208/Network%20Performance%20Score%2095345cdb313b4fd29db82fcae59e4bef.md),"Document, Forum Post, Grade, Proposal, Subscore",Main Score,,Completed
Meeting score,Council,MEETING_SCORE,0.706,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-handover-meeting,,,"Forum Post, Subscore",Main Score,,Completed
WG Summary,Content,SUMMARY_SCORE,0.2,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%200add7c6b293542c09bc64d4744c1e3d2.md),"Document, Forum Post, Grade, Subscore, Summary",,,Completed
Builders Report,Builders,REPORT_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score,,Builder Score (Council%208/Council%20Period%208/Builder%20Score%2036d89cfdf7ba4fa8b11bf29a2719c891.md),"Document, Forum Post, Grade, Subscore",Subscore,,Completed
Council Period Summary,Council,SUMMARY_SCORE,1,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#council-period-summary,,Network Performance Score (Council%208/Council%20Period%208/Network%20Performance%20Score%2095345cdb313b4fd29db82fcae59e4bef.md),"Document, Forum Post, Grade, Proposal, Subscore",Main Score,,Completed
Distributors Report,Distributors,REPORT_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#report_score,,Distributor Score (Council%208/Council%20Period%208/Distributor%20Score%2060a38ed6753f49ed86214e68c96602e9.md),"Document, Forum Post, Grade, Subscore",Subscore,,Completed
WG Summary,Storage,SUMMARY_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%202be0ff03678d4442bd8aa265c8e15c00.md),"Document, Forum Post, Grade, Subscore",Subscore,,Completed
WG Period Plan,Storage,PLAN_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%202be0ff03678d4442bd8aa265c8e15c00.md),"Document, Forum Post, Grade, Subscore",Subscore,,Completed
WG Summary,HR,SUMMARY_SCORE,0.95,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%204ad0d5b57e0e45f28e0acfab1a98f903.md),"Document, Forum Post, Grade",Subscore,,Completed
Maintenance,Storage,MAINTENANCE_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#maintenance_score,,Storage Score (Council%208/Council%20Period%208/Storage%20Score%20252ea415198d48d78beeb34b391b9f6f.md),Grade,Subscore,,Completed
Lead Opportunities,Council,LEAD_OPPORTUNITIES_SCORE,0.167,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#lead-opportunities,,Network Performance Score (Council%208/Council%20Period%208/Network%20Performance%20Score%2095345cdb313b4fd29db82fcae59e4bef.md),Grade,Main Score,,Completed
WG Opportunities,Content,WORKER_OPPORTUNITIES_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%200add7c6b293542c09bc64d4744c1e3d2.md),"Grade, Spot Check, Subscore",,,Completed
WG Period Plan,Forum,PLAN_SCORE,0.4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%203fdfb7f760f647b2b7cde6384c758d7f.md),"Document, Forum Post, Grade, Subscore",,,Completed
WG Opportunities,Distributors,WORKER_OPPORTUNITIES_SCORE,0.2,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%20d1e632e1ddfe46cdb876ac20871293d0.md),"Grade, Spot Check, Subscore",Subscore,,Completed
Uploads,Storage,UPLOAD_SCORE,0.928,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#upload_score,,Storage Score (Council%208/Council%20Period%208/Storage%20Score%20252ea415198d48d78beeb34b391b9f6f.md),Grade,Subscore,,Completed
General WG Score,Content,GENERAL_WG_SCORE,0.533,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Opportunities (Council%208/Council%20Period%208/WG%20Opportunities%20089501fb12d44dd79eb041a2d95760b1.md), WG Summary (Council%208/Council%20Period%208/WG%20Summary%207098a6bb54df497981feea6c40350823.md), WG Period Plan (Council%208/Council%20Period%208/WG%20Period%20Plan%2001a57fd5ff3c4e609aa59ecedea07456.md)",Content Score (Council%208/Council%20Period%208/Content%20Score%20fbbf648d080345a5bf8ecfab6eddd357.md),Composite Grade,,,Completed
HR Score,HR,HR_SCORE,0.805,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,"General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%204ad0d5b57e0e45f28e0acfab1a98f903.md), HR Report (Council%208/Council%20Period%208/HR%20Report%207f73cfdda9ed474bbcb2fc57b9b82a8c.md), Response Time (Council%208/Council%20Period%208/Response%20Time%206691bf8caac441d48850aa597930fce2.md), Person Logging Score (Council%208/Council%20Period%208/Person%20Logging%20Score%20f7b79b2328f44aeb819558a087808342.md), Interaction Logging Score (Council%208/Council%20Period%208/Interaction%20Logging%20Score%20b1d1d634c9c9472b87ef634716906193.md), Bounty Score (Council%208/Council%20Period%208/Bounty%20Score%2080f3815e667341da866eb0baea1a5b5e.md)",Network Performance Score (Council%208/Council%20Period%208/Network%20Performance%20Score%2095345cdb313b4fd29db82fcae59e4bef.md),Composite Grade,,,Completed
Storage Score,Storage,STORAGE_SCORE,0.711,,"Uploads (Council%208/Council%20Period%208/Uploads%201b3420bd05334fc2a62a9029e1a51639.md), General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%202be0ff03678d4442bd8aa265c8e15c00.md), Maintenance (Council%208/Council%20Period%208/Maintenance%2047b3a295bf8342668559e36c5cfaad4e.md), Storage Report (Council%208/Council%20Period%208/Storage%20Report%207713b0396c674f6ea09416429c234993.md)",Network Performance Score (Council%208/Council%20Period%208/Network%20Performance%20Score%2095345cdb313b4fd29db82fcae59e4bef.md),Composite Grade,Main Score,,Completed
Network Performance Score,Network,NETWORK_PERFORMANCE_SCORE,0.623,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,"Builder Score (Council%208/Council%20Period%208/Builder%20Score%2036d89cfdf7ba4fa8b11bf29a2719c891.md), Content Score (Council%208/Council%20Period%208/Content%20Score%20fbbf648d080345a5bf8ecfab6eddd357.md), Distributor Score (Council%208/Council%20Period%208/Distributor%20Score%2060a38ed6753f49ed86214e68c96602e9.md), Storage Score (Council%208/Council%20Period%208/Storage%20Score%20252ea415198d48d78beeb34b391b9f6f.md), HR Score (Council%208/Council%20Period%208/HR%20Score%20fbd6395d4fc64558ae4b90f7129c5225.md), Council Period Summary (Council%208/Council%20Period%208/Council%20Period%20Summary%20651bccc1cfc440f7bb015030f1c24f97.md), Council Period Plan (Council%208/Council%20Period%208/Council%20Period%20Plan%203f8f1ce826864447a06caa6f92558ae8.md), Lead Opportunities (Council%208/Council%20Period%208/Lead%20Opportunities%206bf18aa6a58347bcb02b240d6916dc72.md)",,"Composite Grade, Overall Grade",,,Completed
General WG Score,Builders,GENERAL_WG_SCORE,0.667,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,"WG Period Plan (Council%208/Council%20Period%208/WG%20Period%20Plan%207e803563cdbd4d698f8098dc741f6e00.md), WG Summary (Council%208/Council%20Period%208/WG%20Summary%201ffe699b7ffd4bf9a2b3f654a33a6877.md), WG Opportunities (Council%208/Council%20Period%208/WG%20Opportunities%2014289622e72c47dbb1d7249d6131bdf6.md)",Builder Score (Council%208/Council%20Period%208/Builder%20Score%2036d89cfdf7ba4fa8b11bf29a2719c891.md),Composite Grade,Subscore,,Completed
Builder Score,Builders,BUILDER_SCORE,0.677,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,"General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%20e2c4a80cb0994b98828ce369aec17465.md), Builders Report (Council%208/Council%20Period%208/Builders%20Report%20301e641ef5ad483daa10423737f00aba.md), Testing (Council%208/Council%20Period%208/Testing%201f2e65c5ec0242a68bdbffd64d6a8c68.md), Pioneer Development (Council%208/Council%20Period%208/Pioneer%20Development%20fbcc896221ee423faa6149a318c23b6c.md), General Development (Council%208/Council%20Period%208/General%20Development%20128f66749aa2478d80e6e835d312e3a1.md)",Network Performance Score (Council%208/Council%20Period%208/Network%20Performance%20Score%2095345cdb313b4fd29db82fcae59e4bef.md),"Composite Grade, Master Group Score",Main Score,,Completed
General WG Score,Forum,GENERAL_WG_SCORE,0.3,,"WG Period Plan (Council%208/Council%20Period%208/WG%20Period%20Plan%2029422c5ac7c54855ad4213b9ce11a5c9.md), WG Summary (Council%208/Council%20Period%208/WG%20Summary%2017500885936f492394b74eee2475bffc.md), WG Opportunities (Council%208/Council%20Period%208/WG%20Opportunities%20aecf3d00d26d4d4c810e9703e9c29c1e.md)",Forum Score (Council%208/Council%20Period%208/Forum%20Score%207514c5412b6844008461680aece46c56.md),Composite Grade,,,Completed
Distributor Score,Distributors,DISTRIBUTOR_SCORE,0.644,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,"Distributors Report (Council%208/Council%20Period%208/Distributors%20Report%20026b3f3900564fc3b777a1355075cb1c.md), Thumbnails (Council%208/Council%20Period%208/Thumbnails%2082c6e0d74dde4daba4f46a7dd427466b.md), General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%20d1e632e1ddfe46cdb876ac20871293d0.md)",Network Performance Score (Council%208/Council%20Period%208/Network%20Performance%20Score%2095345cdb313b4fd29db82fcae59e4bef.md),Composite Grade,Main Score,,Completed
Forum Score,Forum,FORUM_SCORE,0.375,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,"General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%203fdfb7f760f647b2b7cde6384c758d7f.md), Forum Report (Council%208/Council%20Period%208/Forum%20Report%2040064c2176b549dea10a5ddfadd72785.md), Moderation Score (Council%208/Council%20Period%208/Moderation%20Score%2038d5d7611f514c13b45222f88489f75c.md), Notification Score (Council%208/Council%20Period%208/Notification%20Score%20d2576635fa1a4a7db5441e08db9b0bb4.md)",,Composite Grade,,,Completed
Content Score,Content,CONTENT_SCORE,0.117,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,"General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%200add7c6b293542c09bc64d4744c1e3d2.md), Content Report (Council%208/Council%20Period%208/Content%20Report%201839f2243d134cb2931df1aad91abca5.md), Featuring Score (Council%208/Council%20Period%208/Featuring%20Score%2078d0ac649bdd4ecdb0bbd2cc9750b1a3.md), Moderation Score (Council%208/Council%20Period%208/Moderation%20Score%20b9e1c38dc1bd41ddb8a16377c511fae2.md), Logging does not occur (Council%208/Council%20Period%208/Logging%20does%20not%20occur%204115953b626d4dd283353408add6f126.md), Featured Content Unplayable (Council%208/Council%20Period%208/Featured%20Content%20Unplayable%2038962cd119c445fa99ffa06a62d6561e.md), Failure to apply moderation rules (Council%208/Council%20Period%208/Failure%20to%20apply%20moderation%20rules%20b58d05ed767c4c499d4735ad1e304c18.md)",Network Performance Score (Council%208/Council%20Period%208/Network%20Performance%20Score%2095345cdb313b4fd29db82fcae59e4bef.md),Composite Grade,,,Completed
General WG Score,HR,GENERAL_WG_SCORE,0.983,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%208/Council%20Period%208/WG%20Period%20Plan%2052aad186b54e4095876c860a228ed97c.md), WG Summary (Council%208/Council%20Period%208/WG%20Summary%20f922498e31bc4a059a54e5bb1635b5d9.md), WG Opportunities (Council%208/Council%20Period%208/WG%20Opportunities%20f6229726c3f44d9abf32157c14777460.md)",HR Score (Council%208/Council%20Period%208/HR%20Score%20fbd6395d4fc64558ae4b90f7129c5225.md),Composite Grade,,,Completed
Marketing Score,Marketing,MARKETER_SCORE,,,,,Composite Grade,,,Completed
General WG Score,Distributors,GENERAL_WG_SCORE,0.033,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%208/Council%20Period%208/WG%20Period%20Plan%20397df78252c3498089ca10af3621b78d.md), WG Summary (Council%208/Council%20Period%208/WG%20Summary%20ea27769654194bec8b10b883b533b974.md), WG Opportunities (Council%208/Council%20Period%208/WG%20Opportunities%206aa8811332dc459cb58e4deef7bb5735.md)",Distributor Score (Council%208/Council%20Period%208/Distributor%20Score%2060a38ed6753f49ed86214e68c96602e9.md),Composite Grade,Main Score,,Completed
General WG Score,Storage,GENERAL_WG_SCORE,0.017,,"WG Summary (Council%208/Council%20Period%208/WG%20Summary%201289ee55016a4acf9fda821aa6c49c53.md), WG Period Plan (Council%208/Council%20Period%208/WG%20Period%20Plan%20857ef226b69e4641a3d5142d58cd4775.md), WG Opportunities (Council%208/Council%20Period%208/WG%20Opportunities%2014289622e72c47dbb1d7249d6131bdf6.md)",Storage Score (Council%208/Council%20Period%208/Storage%20Score%20252ea415198d48d78beeb34b391b9f6f.md),Composite Grade,Main Score,,Completed
Notification Score,Forum,NOTIFICATION_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#notification_score,,Forum Score (Council%208/Council%20Period%208/Forum%20Score%207514c5412b6844008461680aece46c56.md),"Grade, Spot Check",,,Completed
WG Opportunities,Storage,WORKER_OPPORTUNITIES_SCORE,0.2,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,"General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%202be0ff03678d4442bd8aa265c8e15c00.md), General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%20e2c4a80cb0994b98828ce369aec17465.md)","Grade, Spot Check, Subscore",Subscore,,Completed
WG Opportunities,HR,WORKER_OPPORTUNITIES_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%204ad0d5b57e0e45f28e0acfab1a98f903.md),"Grade, Spot Check, Subscore",,,Completed
Permanent Data Object Loss,Storage,,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#permanent-data-object-loss,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Completed
Incorrect Reporting,Storage,,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#incorrect-reporting,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Completed
Moderation Score,Forum,MODERATION_SCORE,1,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#moderation_score,,Forum Score (Council%208/Council%20Period%208/Forum%20Score%207514c5412b6844008461680aece46c56.md),"Grade, Spot Check",,,Completed
Pioneer Development,Builders,PIONEER_DEVELOPMENT_SCORE,0.417,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#pioneer_development_score,,Builder Score (Council%208/Council%20Period%208/Builder%20Score%2036d89cfdf7ba4fa8b11bf29a2719c891.md),"Grade, Spot Check, Subscore",Subscore,,Completed
Testing,Builders,TESTING_SCORE,0.867,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#testing_score,,Builder Score (Council%208/Council%20Period%208/Builder%20Score%2036d89cfdf7ba4fa8b11bf29a2719c891.md),"Grade, Spot Check, Subscore",Subscore,,Completed
General Development,Builders,GENERAL_DEVELOPMENT_SCORE,0.533,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#general_development_score,,Builder Score (Council%208/Council%20Period%208/Builder%20Score%2036d89cfdf7ba4fa8b11bf29a2719c891.md),"Grade, Spot Check, Subscore",Subscore,,Completed
Unwarranted deletion,Forum,,0,,,,Catastrophic Errors,,,
Failure to apply moderation rules,Content,,1,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#failure-to-apply-moderation-rules,,Content Score (Council%208/Council%20Period%208/Content%20Score%20fbbf648d080345a5bf8ecfab6eddd357.md),"Catastrophic Errors, Grade, Spot Check",,,Completed
On chain Budget and Opening proposals without JOY equivalent,Council,,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#on-chain-budget-and-opening-proposals-without-joy-equivalent,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Completed
Block time too low,Council,,0,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#block-time-too-low,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Completed
Total Breaches of Policy,Content,TOTAL_BREACHES_OF_POLICY,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,,Moderation Score (Council%208/Council%20Period%208/Moderation%20Score%20b9e1c38dc1bd41ddb8a16377c511fae2.md),"Catastrophic Errors, Grade, Spot Check",,,Completed
Missing Judgement,HR,,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#catastrophic-errors,,,"Catastrophic Errors, Grade, Spot Check",,,Completed
Missed runtime upgrade,Council,,0,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#missed-runtime-upgrade,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Completed
Featured Content Unplayable,Content,,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#featured-content-unplayable,,Content Score (Council%208/Council%20Period%208/Content%20Score%20fbbf648d080345a5bf8ecfab6eddd357.md),"Catastrophic Errors, Grade, Spot Check",,,Completed
No available sources for data object,Distributors,,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/distributors-score.md#catastrophic-errors,,,"Catastrophic Errors, Grade, Spot Check, Subscore",Subscore,,Completed
Violation of Content Policy,Forum,,0,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#catastrophic-errors,,,Catastrophic Errors,,,Completed
Total $tJOY exceeds tJOY_BUDGET,Council,,0,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#total-tjoy-exceeds-tjoy_budget,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Completed
Logging does not occur,Content,,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#catastrophic-errors,,Content Score (Council%208/Council%20Period%208/Content%20Score%20fbbf648d080345a5bf8ecfab6eddd357.md),"Catastrophic Errors, Grade, Spot Check",,,Completed
Upgrading non-Jsgesnesis runtime,Council,,0,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#upgrading-non-jsgenesis-runtime,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Completed
Member Faucet Empty,Council,,0,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#member-faucet-empty,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Completed
Inadequate Report,HR,,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#inadequate-report,,,"Catastrophic Errors, Grade, Spot Check",,,Completed
Person Logging Score,HR,PERSON_LOGGING_SCORE,0.344,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#person_logging_score,,HR Score (Council%208/Council%20Period%208/HR%20Score%20fbd6395d4fc64558ae4b90f7129c5225.md),,Subscore,,Completed
Council Parameters,JSG,,,,,,,,,Completed
Response Time,HR,RESPONSE_TIME_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#response_time_score,,HR Score (Council%208/Council%20Period%208/HR%20Score%20fbd6395d4fc64558ae4b90f7129c5225.md),,Subscore,,Completed
Featuring Score,Content,FEATURING_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#featuring_score,"Logging Score (Council%208/Council%20Period%208/Logging%20Score%205fd9c403a89448f6b010e9047df63d62.md), Hero Score (Council%208/Council%20Period%208/Hero%20Score%203006e55aa2a948baa637f2867dc1ffb2.md), Categories Score (Council%208/Council%20Period%208/Categories%20Score%20cb3320efaf13482d93c3c8fa3ed1fba9.md)",Content Score (Council%208/Council%20Period%208/Content%20Score%20fbbf648d080345a5bf8ecfab6eddd357.md),,Subscore,,Completed
Category Score,Forum,CATEGORY_SCORE,0,,,,,,,Completed
Moderation Score,Content,MODERATION_SCORE,0.2,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#moderation_score,"Response Score (Council%208/Council%20Period%208/Response%20Score%20902ee9ae93a342569e6523d759a002be.md), Total Breaches of Policy (Council%208/Council%20Period%208/Total%20Breaches%20of%20Policy%20b321ac90b70742b480877f2449e60e28.md)",Content Score (Council%208/Council%20Period%208/Content%20Score%20fbbf648d080345a5bf8ecfab6eddd357.md),,,,Completed
Categories Score,Content,CATEGORIES_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,Featuring Score (Council%208/Council%20Period%208/Featuring%20Score%2078d0ac649bdd4ecdb0bbd2cc9750b1a3.md),,,,Completed
Bounty Score,HR,BOUNTY_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#bounty_score,,HR Score (Council%208/Council%20Period%208/HR%20Score%20fbd6395d4fc64558ae4b90f7129c5225.md),,Subscore,,Completed
Response Score,Content,RESPONSE_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,,Moderation Score (Council%208/Council%20Period%208/Moderation%20Score%20b9e1c38dc1bd41ddb8a16377c511fae2.md),,,,Completed
Hero Score,Content,HERO_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,Featuring Score (Council%208/Council%20Period%208/Featuring%20Score%2078d0ac649bdd4ecdb0bbd2cc9750b1a3.md),,,,Completed
HR Report,HR,REPORT_SCORE,0.85,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#report_score,,HR Score (Council%208/Council%20Period%208/HR%20Score%20fbd6395d4fc64558ae4b90f7129c5225.md),,Subscore,,Completed
Logging Score,Content,LOGGING_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,Featuring Score (Council%208/Council%20Period%208/Featuring%20Score%2078d0ac649bdd4ecdb0bbd2cc9750b1a3.md),,,,Completed
Interaction Logging Score,HR,INTERACTION_LOGGING_SCORE,0.455,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#interaction_logging_score,,HR Score (Council%208/Council%20Period%208/HR%20Score%20fbd6395d4fc64558ae4b90f7129c5225.md),,Subscore,,Completed
