Name,Dates,Blockheight Start,Blockheight End,Term Length (Blocks),Network Score,BUILDER_SCORE,CONTENT_SCORE,STORAGE_SCORE,DISTRIBUTOR_SCORE,FORUM_SCORE,HR_SCORE,HANDOVER_SCORE (MEETING_SCORE),LEAD_OPPORTUNITIES_SCORE,PLAN_SCORE,SUMMARY_SCORE,MARKETER_SCORE,Catastrophic errors,Score Results Link,Property
Council 10,"May 29, 2022 12:23 AM (GMT+1) → June 5, 2022 12:41 AM (GMT+1)",950400,1051200,100800,0.514,0.668,0.215,0.444,0.168,0.47,0.798,0.896,0.2,0.8,0.65,0.298,,,"May 28, 2022 11:23 PM (UTC) → June 4, 2022 11:41 PM (UTC)"
Council 11,"June 5, 2022 12:41 AM (GMT+1) → June 12, 2022 12:48 AM (GMT+1)",1051200,1152000,100800,0.622,0.717,0.358,0.772,0.228,0.615,0.79,0.934,0.167,0.8,0.9,0.65,,,"June 4, 2022 11:41 PM (UTC) → June 11, 2022 11:48 PM (UTC)"
Council 12,"June 12, 2022 12:48 AM (GMT+1) → June 19, 2022 1:03 AM (GMT+1)",1152000,1252800,100800,0.671,0.513,0.413,0.657,0.4458,0.676,0.869,1,1,0.9,1,0.652,,,"June 11, 2022 11:48 PM (UTC) → June 19, 2022 12:03 AM (UTC)"
Council 13,"June 19, 2022 1:03 AM (GMT+1) → June 28, 2022 1:34 AM (GMT+1)",1252800,1382400,129600,,,,,,,,,,,,,,,"June 19, 2022 12:03 AM (UTC) → June 28, 2022 12:34 AM (UTC)"
Council 14,"June 28, 2022 1:34 AM (GMT+1) → July 5, 2022 1:41 AM (GMT+1)",1382400,1483200,100800,,,,,,,,,,,,,,,"June 28, 2022 12:34 AM (UTC) → July 5, 2022 12:41 AM (UTC)"
Council 15,"July 5, 2022 1:41 AM (GMT+1) → July 13, 2022 1:48 AM (GMT+1)",1483200,1598400,115200,,,,,,,,,,,,,,,"July 5, 2022 12:41 AM (UTC) → July 13, 2022 12:48 AM (UTC)"
Council 16,"July 13, 2022 1:48 AM (GMT+1) → July 23, 2022 1:53 AM (GMT+1)",1598400,1742400,144000,,,,,,,,,,,,,,,"July 13, 2022 12:48 AM (UTC) → July 23, 2022 12:53 AM (UTC)"
Council 17,"July 23, 2022 1:53 AM (GMT+1) → August 1, 2022 2:05 AM (GMT+1)",1742400,1872000,129600,,,,,,,,,,,,,,,"July 23, 2022 12:53 AM (UTC) → August 1, 2022 1:05 AM (UTC)"
Council 18,"August 1, 2022 12:05 AM (GMT+1) → August 10, 2022 12:40 AM (GMT+1)",1872000,2001600,129600,,,,,,,,,,,,,,,"August 1, 2022 1:05 AM (GMT+2) → August 10, 2022 1:40 AM (GMT+2)"
Council 19,"August 10, 2022 12:40 AM (GMT+1) → August 18, 2022 12:56 AM (GMT+1)",2001600,2116800,115200,,,,,,,,,,,,,,,"August 10, 2022 1:40 AM (GMT+2) → August 18, 2022 1:56 AM (GMT+2)"
Council 20,"August 18, 2022 12:56 AM (GMT+1) → August 25, 2022 1:38 AM (GMT+1)",2116800,2217600,100800,,,,,,,,,,,,,,,"August 18, 2022 1:56 AM (GMT+2) → August 25, 2022 2:38 AM (GMT+2)"
Council 21,"August 25, 2022 1:38 AM (GMT+1) → September 2, 2022 2:01 AM (GMT+1)",2217600,2332800,115200,,,,,,,,,,,,,,,"August 25, 2022 2:38 AM (GMT+2) → September 2, 2022 3:01 AM (GMT+2)"
Council 22,"September 2, 2022 2:01 AM (GMT+1) → September 9, 2022 2:17 AM (GMT+1)",2332800,2433600,100800,,,,,,,,,,,,,,,"September 2, 2022 3:01 AM (GMT+2) → September 9, 2022 3:17 AM (GMT+2)"
Council 23,,2433600,2534400,100800,,,,,,,,,,,,,,,
Council 24,,2534400,2635200,100800,,,,,,,,,,,,,,,
Council 25,,2635200,2736000,100800,,,,,,,,,,,,,,,
Council 26,,2736000,2836800,100800,,,,,,,,,,,,,,,
Council 27,,2836800,2937600,100800,,,,,,,,,,,,,,,
