Name,Amount (spending proposal),Author,Blockheight,Community Roadmap - Mainnet,Council Approvals,Date,Proposal Number,Proposal Status,Proposal Type,Tags,Text,URL,Working Group
Builders Working Group Lead Opening,,abramaria_,545402,,0,"January 16, 2023 16:58 (GMT+1)",56,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
Apps Working Group Lead Opening,,abramaria_,545394,,0,"January 16, 2023 17:07 (GMT+1)",57,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
Distribution Working Group Lead Opening,,abramaria_,545354,,0,"January 16, 2023 17:13 (GMT+1)",58,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
Set Marketing Working Group Lead Reward,,abramaria_,575936,,1,"January 18, 2023 15:25 (GMT+1)",59,,SetWorkingGroupLeadRewardProposalDetails,,,,
Increase Validators Set By 10%,,0x2bc,579823,,0,"January 18, 2023 20:53 (GMT+1)",60,,SetMaxValidatorCountProposalDetails,,,,
"Refill Distribution WG budget ",,0x2bc,583865,,1,"January 18, 2023 21:05 (GMT+1)",61,,UpdateWorkingGroupBudgetProposalDetails,,,,
Distribution WG Lead Opening,,jen4ph,584051,,1,"January 19, 2023 10:02 (GMT+1)",62,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
Increase validators set to 40,,0x2bc,1094404,,2,"January 19, 2023 10:40 (GMT+1)",63,,SetMaxValidatorCountProposalDetails,,,,
Increase validators set to 50,,0x2bc,873159,,1,"January 19, 2023 10:43 (GMT+1)",64,,SetMaxValidatorCountProposalDetails,,,,
Increase Validators Set To 60,,l1dev,873146,,1,"January 19, 2023 11:42 (GMT+1)",65,,SetMaxValidatorCountProposalDetails,,,,
Increase Validators Set To 75,,l1dev,844596,,1,"January 19, 2023 11:45 (GMT+1)",66,,SetMaxValidatorCountProposalDetails,,,,
Create HR lead opening,,l1dev,590512,,1,"January 19, 2023 19:35 (GMT+1)",67,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
Create Curation lead opening,,l1dev,590530,,1,"January 19, 2023 19:47 (GMT+1)",68,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
Builder WG budget for Term 3,,chaos77,635294,,1,"January 20, 2023 8:01 (GMT+1)",69,,UpdateWorkingGroupBudgetProposalDetails,,,,
WG Term Report Template,,0x2bc,618667,,1,"January 20, 2023 18:55 (GMT+1)",70,,SignalProposalDetails,,,,
Refill Forum Budget,,0x2bc,611214,,1,"January 20, 2023 18:59 (GMT+1)",71,,UpdateWorkingGroupBudgetProposalDetails,,,,
REFILL STORAGE WG BUDGET,,jen4ph,613055,,1,"January 21, 2023 9:51 (GMT+1)",72,,UpdateWorkingGroupBudgetProposalDetails,,,,
Create BWG Lead opening,,l1dev,646082,,1,"January 23, 2023 8:14 (GMT+1)",73,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
IGREX for Curation WG Lead,,jen4ph,641434,,1,"January 23, 2023 9:58 (GMT+1)",74,,FillWorkingGroupLeadOpeningProposalDetails,,,,
FERDIKESH_STUDIO for Curation WG Lead,,jen4ph,656062,,0,"January 23, 2023 10:02 (GMT+1)",75,,FillWorkingGroupLeadOpeningProposalDetails,,,,
Hire @Codefi_keyz as HR lead,,l1dev,642209,,1,"January 23, 2023 10:41 (GMT+1)",76,,FillWorkingGroupLeadOpeningProposalDetails,,,,
Hire @songoku as HR lead,,l1dev,670019,,0,"January 23, 2023 10:46 (GMT+1)",77,,FillWorkingGroupLeadOpeningProposalDetails,,,,
Hire @MayorTee as HR lead,,l1dev,670012,,0,"January 23, 2023 10:49 (GMT+1)",78,,FillWorkingGroupLeadOpeningProposalDetails,,,,
Initial HR budget,,l1dev,643171,,1,"January 23, 2023 12:38 (GMT+1)",79,,UpdateWorkingGroupBudgetProposalDetails,,,,
Initial CWG budget,,l1dev,643177,,1,"January 23, 2023 12:53 (GMT+1)",80,,UpdateWorkingGroupBudgetProposalDetails,,,,
JoystreamDAO Twitter Scheduled Posts,,leet_joy,661110,,1,"January 23, 2023 13:21 (GMT+1)",81,,SignalProposalDetails,,,,
Council Term Report Template,,0x2bc,646935,Council Term Report Template (Archive/Community%20Roadmap%20-%20Mainnet/Council%20Term%20Report%20Template%20eaf4d89ab8b942a694d218ebc282000e.md),1,"January 23, 2023 19:04 (GMT+1)",82,,SignalProposalDetails,,,,
Reporting Cycle,,0x2bc,670753,Reporting Cycle (Archive/Community%20Roadmap%20-%20Mainnet/Reporting%20Cycle%20f4c7c72ee17849a2a018b085ec7f24c0.md),1,"January 24, 2023 15:46 (GMT+1)",83,,SignalProposalDetails,,,,
Council Term Plan Template,,0x2bc,661121,Council Term Plan Template (Archive/Community%20Roadmap%20-%20Mainnet/Council%20Term%20Plan%20Template%206c2dda0b8f7144bb8f8a192c462fc1fe.md),1,"January 24, 2023 16:40 (GMT+1)",84,,SignalProposalDetails,,,,
Reduce BWGL Reward,,l1dev,662959,,1,"January 24, 2023 17:33 (GMT+1)",85,,SetWorkingGroupLeadRewardProposalDetails,,,,
Pioneer Product Priorities Mid Term,,dmtrmltsv,663061,,1,"January 24, 2023 20:31 (GMT+1)",86,,SignalProposalDetails,,,,
Devise Con,,dmtrmltsv,703661,,1,"January 24, 2023 21:09 (GMT+1)",87,,SignalProposalDetails,,,,
BWG budget refill,,chaos77,670841,,1,"January 25, 2023 5:05 (GMT+1)",88,,UpdateWorkingGroupBudgetProposalDetails,,,,
Refill MWG Budget,,jen4ph,674227,,1,"January 25, 2023 6:50 (GMT+1)",89,,UpdateWorkingGroupBudgetProposalDetails,,,,
ADMIN/EDITOR RIGHTS,,Codefi_keyz,703733,,1,"January 25, 2023 7:36 (GMT+1)",90,,SignalProposalDetails,,,,
New Discord channel,,adovrn,703940,Discord (Archive/Community%20Roadmap%20-%20Mainnet/Discord%2064386cff9f8847ae8c4b10107b95ae47.md),1,"January 25, 2023 14:16 (GMT+1)",91,,SignalProposalDetails,,,,
Joy Allocations For Crew3,,leet_joy,715568,Crew3 (Archive/Community%20Roadmap%20-%20Mainnet/Crew3%208a1e8b33151346089665b4079fd1b8e6.md),0,"January 25, 2023 16:00 (GMT+1)",92,,SignalProposalDetails,,,,
