Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,Deadline [block],JSG Grading Status
WG Period Plan,HR,PLAN_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20cb85e1c4b737405c8a14edafc2c7ba3a.md),"Document, Forum Post, General WG Score, Plan, Proposal",,Completed
WG Period Plan,Forum,PLAN_SCORE,0.8,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20d22743e545a744b89a5d9012f6de9402.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",,Completed
WG Period Plan,Distributors,PLAN_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%202a5388a2ac844cf19f04c159183c7b4b.md),"Document, Forum Post, General WG Score, Grade, Proposal",,Completed
WG Summary,Marketing,SUMMARY_SCORE,0.75,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20857b3136c02c443d824d6266e657a70b.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",,Completed
WG Summary,HR,SUMMARY_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20cb85e1c4b737405c8a14edafc2c7ba3a.md),"Document, Forum Post, General WG Score, Grade, Proposal, Summary",,Completed
Council Period Summary,Council,SUMMARY_SCORE,0.65,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#council-period-summary,,Network Performance Score (Council%2010/Council%20Period%2010/Network%20Performance%20Score%2058c408bec2fd4c1dba4159b847123c9e.md),"Document, Forum Post, Grade, Master Score, Proposal",,Completed
WG Summary,Content,SUMMARY_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20ec8c25f5f6fd4c4dbf1db3d53f29f25c.md),"Document, Forum Post, General WG Score, Grade, Subscore, Summary",,Completed
WG Summary,Storage,SUMMARY_SCORE,0.85,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%201d61814156844f98b97eb918adcba0fd.md),"Document, Forum Post, General WG Score, Grade, Subscore",,Completed
WG Summary,Distributors,SUMMARY_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%202a5388a2ac844cf19f04c159183c7b4b.md),"Document, Forum Post, General WG Score, Grade, Subscore, Summary",,Completed
WG Summary,Forum,SUMMARY_SCORE,0.85,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,"General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20d22743e545a744b89a5d9012f6de9402.md), General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20857b3136c02c443d824d6266e657a70b.md)","Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",,Completed
WG Summary,Builders,SUMMARY_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%2094a77ed584a147fead25d4c1b5a22e13.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",,Completed
Lead Opportunities,Council,LEAD_OPPORTUNITIES_SCORE,0.2,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#lead-opportunities,,Network Performance Score (Council%2010/Council%20Period%2010/Network%20Performance%20Score%2058c408bec2fd4c1dba4159b847123c9e.md),"Grade, Master Score",,Completed
