"Objects size, MB",Bag ID,ObjectNumber,"Objects size, average, MB"
"1277,3",2073,12,"106,4"
"15,4",2451,4,"3,9"
"69,5",2175,11,"6,3"
"1126,2",2026,68,"16,6"
"3718,4",2225,12,"309,9"
"0,0",2617,0,#DIV/0!
"12,7",2392,4,"3,2"
"44,5",2106,5,"8,9"
"8,5",2449,4,"2,1"
"2817,0",2115,10,"281,7"
"0,0",2231,2,"0,0"
"1010,2",2131,8,"126,3"
"9516,6",2065,14,"679,8"
"912,3",2219,4,"228,1"
"66,8",2212,6,"11,1"
"1951,3",2151,5,"390,3"
"354,1",2328,30,"11,8"
"0,0",2270,0,#DIV/0!
"271,7",2183,7,"38,8"
"7,1",2481,8,"0,9"
"66,1",2244,10,"6,6"
"166,8",2260,4,"41,7"
"39,7",2336,6,"6,6"
"0,7",2292,3,"0,2"
"15,1",2469,6,"2,5"
"207,3",2120,6,"34,5"
"4972,8",2108,43,"115,6"
"5,3",2542,4,"1,3"
"19821,6",2068,44,"450,5"
"1,3",2404,4,"0,3"
"1647,4",2234,6,"274,6"
"289,9",2301,2,"145,0"
"0,0",2214,0,#DIV/0!
"17621,0",2159,302,"58,3"
"24342,4",2072,304,"80,1"
"11194,5",2144,326,"34,3"
"264,5",2333,40,"6,6"
"1749,2",2250,20,"87,5"
"65,4",2447,4,"16,3"
"16,6",2550,4,"4,2"
"5,5",2276,2,"2,7"
"11,0",2504,10,"1,1"
"26,5",2255,4,"6,6"
"0,1",2188,2,"0,0"
"1423,7",2054,16,"89,0"
"2,8",2368,4,"0,7"
"139,0",2224,22,"6,3"
"5,0",2353,4,"1,2"
"1086,3",2070,35,"31,0"
"21,1",2378,4,"5,3"
"19,6",2454,4,"4,9"
"52,1",2155,5,"10,4"
"4768,7",2049,94,"50,7"
"8,2",2541,4,"2,0"
"2,7",2405,4,"0,7"
"6535,8",2118,42,"155,6"
"216,5",2278,2,"108,3"
"2,5",2467,8,"0,3"
"13,1",2395,4,"3,3"
"274,9",2313,12,"22,9"
"39,7",2332,6,"6,6"
"295,7",2507,6,"49,3"
"7,3",2421,4,"1,8"
"17,7",2520,4,"4,4"
"3,0",2381,4,"0,8"
"540,4",2612,2,"270,2"
"5404,2",2029,26,"207,9"
"1723,5",2051,54,"31,9"
"4285,4",2100,139,"30,8"
"169,4",2227,28,"6,1"
"265,5",2343,14,"19,0"
"0,1",2003,2,"0,1"
"234,6",2257,20,"11,7"
"6507,4",2142,124,"52,5"
"1660,7",2116,9,"184,5"
"0,8",2382,4,"0,2"
"20,1",2527,6,"3,4"
"5,7",2391,4,"1,4"
"30,5",2579,4,"7,6"
"4743,8",2154,198,"24,0"
"2510,4",2058,36,"69,7"
"39,7",2243,7,"5,7"
"19,1",2516,4,"4,8"
"0,1",2015,2,"0,0"
"495,8",2606,4,"124,0"
"2406,3",2145,94,"25,6"
"10,4",2426,4,"2,6"
"2,0",2500,6,"0,3"
"7840,0",2298,17,"461,2"
"0,0",2608,2,"0,0"
"0,0",2262,2,"0,0"
"0,9",2425,4,"0,2"
"21364,8",2094,44,"485,6"
"26,8",2402,4,"6,7"
"8,8",2450,4,"2,2"
"5,6",2357,4,"1,4"
"501,8",2408,12,"41,8"
"3,1",2565,8,"0,4"
"9,2",2385,4,"2,3"
"1,9",2446,4,"0,5"
"0,0",2242,2,"0,0"
"0,1",2272,2,"0,0"
"45,8",2479,4,"11,4"
"15,4",2411,4,"3,8"
"21,6",2532,8,"2,7"
"1382,6",2110,40,"34,6"
"0,1",2011,2,"0,0"
"4,0",2430,4,"1,0"
"13,1",2280,2,"6,5"
"15296,2",2289,36,"424,9"
"50,2",2603,14,"3,6"
"6,8",2376,4,"1,7"
"0,1",2005,2,"0,0"
"352,1",2342,4,"88,0"
"81,9",2480,4,"20,5"
"4,6",2388,4,"1,1"
"11761,1",2310,44,"267,3"
"28,2",2573,4,"7,0"
"636,6",2141,40,"15,9"
"2,3",2580,4,"0,6"
"8327,4",2077,87,"95,7"
"2,3",2398,4,"0,6"
"2,6",2182,6,"0,4"
"280,4",2258,12,"23,4"
"1706,6",2093,16,"106,7"
"230,5",2038,6,"38,4"
"12,2",2517,10,"1,2"
"8,8",2350,4,"2,2"
"9,9",2470,4,"2,5"
"46,7",2514,4,"11,7"
"0,0",2247,0,#DIV/0!
"4,8",2567,4,"1,2"
"1681,1",2246,4,"420,3"
"672,6",2236,82,"8,2"
"38,1",2599,4,"9,5"
"2259,1",2176,36,"62,8"
"1,6",2506,4,"0,4"
"9654,5",2137,106,"91,1"
"14,4",2420,4,"3,6"
"8,5",2437,4,"2,1"
"14,8",2396,4,"3,7"
"4,3",2595,4,"1,1"
"3328,2",2037,40,"83,2"
"3157,1",2111,38,"83,1"
"1204,1",2315,4,"301,0"
"2,6",2429,4,"0,7"
"4710,3",2269,60,"78,5"
"0,0",2261,2,"0,0"
"14,0",2625,4,"3,5"
"7,0",2213,3,"2,3"
