Title,Category,Category id,Chanel name,Create,Duration,Id,Language,License,License code,NFT,Original License,Original Link,Owner,Size,URL,Update
How to Vote in Council Elections,Science & Technology,14,MWG Official,,48,26982,en,CC0,1002,,Original video for JoyStream," - ",MWG,12452603,https://play.joystream.org/video/26982,
How to Create Membership in Joystream DAO,Science & Technology,14,MWG Official,,92,26986,en,CC0,1002,,Original video for JoyStream," - ",MWG,15706657,https://play.joystream.org/video/26986,
WG Opening - Content Curators Application Bug,People & Blogs,8,Songoku Channel,,18,26897,en,CC0,1002,,Original video for JoyStream,-,songoku,4657673,https://play.joystream.org/video/26897,
FULL 2,Education,13,Success with IELTS,,918,27019,en,CC0,1002,,Original video for JoyStream,-,vaaanish,1182313176,https://play.joystream.org/video/27019,
Frambor Highest level,Science & Technology,,Frambor voice,,10,27022,en,CC0,1002,,Original video for JoyStream,Original video for Joystream,Frambor,3650505,https://play.joystream.org/video/27022,
JoyAnimatedIntro,Science & Technology,14,MWG Official,,288,26963,en,CC0,1002,,Original video for JoyStream,Original video for Joystream,MWG,154772248,https://play.joystream.org/video/26963,
How to Cash-Out TJoy into Bitcoin Cash,Howto & Style,12,Joystream Tutorials by Songoku,,140,27009,en,CC0,1002,,Original video for JoyStream,-,songoku,24814475,https://play.joystream.org/video/27009,
Sample-5ss,Travel & Events,6,crypto channel,,6,27008,en,CC0,1002,,Original video for JoyStream,-,memberaaaa,2848208,https://play.joystream.org/video/27008,
How to File for Candidacy in Council (Election),Science & Technology,14,MWG Official,,100,26985,en,CC0,1002,,Original video for JoyStream," - ",MWG,16344153,https://play.joystream.org/video/26985,
What are Working Groups?,Science & Technology,14,MWG Official,,166,27015,en,CC0,1002,,Original video for JoyStream,-,MWG,52209578,https://play.joystream.org/video/27015,
How many FM slots are left till last testnet?,Science & Technology,14,MWG Official,,77,26994,en,CC0,1002,,Original video for JoyStream," - ",MWG,32514018,https://play.joystream.org/video/26994,
How to Delete a Forum Thread,Howto & Style,12,Joystream Tutorials by Songoku,,61,26973,en,CC0,1002,,Original video for JoyStream,Original video for Joystream,songoku,9145506,https://play.joystream.org/video/26973,
Joystream DAO is owned and governed by its token holders,Science & Technology,14,MWG Official,,369,26976,en,CC0,1002,,Original video for JoyStream,Original video for Joystream,MWG,114393911,https://play.joystream.org/video/26976,
Can jsg reconcile the JOY allocation earned by participants?,Science & Technology,14,MWG Official,,48,26995,en,CC0,1002,,Original video for JoyStream," - ",MWG,28506777,https://play.joystream.org/video/26995,
