Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
General WG Score,Distributors,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%2025/Council%20Period%2017/WG%20Period%20Plan%20f285c676d3ae41c79d357e3380cf7715.md), WG Summary (Council%2025/Council%20Period%2017/WG%20Summary%209f05f8492e884425b3206bee80ce9c7d.md), WG Opportunities (Council%2025/Council%20Period%2017/WG%20Opportunities%20073914509be54ce089e68b7768a1a52b.md), Opening Score (Council%2025/Council%20Period%2017/Opening%20Score%2037dc460b21684263b7b95121fad185a2.md), Bounty Score (Council%2025/Council%20Period%2017/Bounty%20Score%201ad06656f9904884a83edf43fd7bdd21.md)",Distributor Score (Council%2025/Council%20Period%2017/Distributor%20Score%200ff45011ebb44b2e9afef0710fe990b9.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Forum,GENERAL_WG_SCORE,,,"WG Period Plan (Council%2025/Council%20Period%2017/WG%20Period%20Plan%200e16963a56c347fa811b2c64189b2bb4.md), WG Summary (Council%2025/Council%20Period%2017/WG%20Summary%2031fdcc863bb3482795a54a1f532f7204.md), WG Opportunities (Council%2025/Council%20Period%2017/WG%20Opportunities%2003f7b0295961499e8436525273c3ce3c.md), Opening Score (Council%2025/Council%20Period%2017/Opening%20Score%20a8c5c65f623c42808c213b79e98858a3.md), Bounty Score (Council%2025/Council%20Period%2017/Bounty%20Score%20462e98f072e1487fba5bf2c20a11c6f7.md), WG Opportunities (Council%2025/Council%20Period%2017/WG%20Opportunities%20f7c13fff2792487994000021a92f19aa.md), Bounty Score (Council%2025/Council%20Period%2017/Bounty%20Score%20f033d34866cb4b97b230183ff36117c3.md), Opening Score (Council%2025/Council%20Period%2017/Opening%20Score%208907f9fffe5547838fe953ed152e60af.md)",Forum Score (Council%2025/Council%20Period%2017/Forum%20Score%20ff2f7ae725204735b9797c7d10e14e3c.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Content,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Opportunities (Council%2025/Council%20Period%2017/WG%20Opportunities%202ba7318e8928423d948b6ce9594c0894.md), WG Summary (Council%2025/Council%20Period%2017/WG%20Summary%208ad05297e14f497d90cb83ef18cdd8ff.md), WG Period Plan (Council%2025/Council%20Period%2017/WG%20Period%20Plan%2097b929c9d7714233a4048ee92a070dba.md), Opening Score (Council%2025/Council%20Period%2017/Opening%20Score%20b7df3fd6418942b7a7fe57c14e99658b.md), Bounty Score (Council%2025/Council%20Period%2017/Bounty%20Score%20f8920ba3c37a495189758430d5295e22.md)",Content Score (Council%2025/Council%20Period%2017/Content%20Score%20059f031312eb4f2bbd9b21275240e877.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Storage,GENERAL_WG_SCORE,,,"WG Summary (Council%2025/Council%20Period%2017/WG%20Summary%20d39fa8a10f19489883de0e60bf0dd396.md), WG Period Plan (Council%2025/Council%20Period%2017/WG%20Period%20Plan%20c3520f08061a413ebd75cdbbdde943ee.md), WG Opportunities (Council%2025/Council%20Period%2017/WG%20Opportunities%201d9e38b28c7b48269046bc3fdef320b9.md), Opening Score (Council%2025/Council%20Period%2017/Opening%20Score%200bb87e3e55e74fd0af176db791d37a2d.md), Bounty Score (Council%2025/Council%20Period%2017/Bounty%20Score%20a23c0ae1f6b04e24ab7971dbc27777bb.md)",Storage Score (Council%2025/Council%20Period%2017/Storage%20Score%203bf1ee3d26cd4087b4b0ce442be0a9ea.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Marketing,GENERAL_WG_SCORE,,,"WG Summary (Council%2025/Council%20Period%2017/WG%20Summary%2031fdcc863bb3482795a54a1f532f7204.md), WG Opportunities (Council%2025/Council%20Period%2017/WG%20Opportunities%2003f7b0295961499e8436525273c3ce3c.md), Opening Score (Council%2025/Council%20Period%2017/Opening%20Score%20a8c5c65f623c42808c213b79e98858a3.md), Bounty Score (Council%2025/Council%20Period%2017/Bounty%20Score%20462e98f072e1487fba5bf2c20a11c6f7.md), WG Period Plan (Council%2025/Council%20Period%2017/WG%20Period%20Plan%20dfd31bd36acf45b18f16d33168baf9d7.md), WG Summary (Council%2025/Council%20Period%2017/WG%20Summary%208b63cef660f74999b9c6dbd72c9b9de3.md), WG Opportunities (Council%2025/Council%20Period%2017/WG%20Opportunities%20f7c13fff2792487994000021a92f19aa.md), Bounty Score (Council%2025/Council%20Period%2017/Bounty%20Score%20f033d34866cb4b97b230183ff36117c3.md), Opening Score (Council%2025/Council%20Period%2017/Opening%20Score%208907f9fffe5547838fe953ed152e60af.md)",Forum Score (Council%2025/Council%20Period%2017/Forum%20Score%20ff2f7ae725204735b9797c7d10e14e3c.md),"Composite Grade, General WG Score",Not Completed
WG Period Plan,Forum,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%201ba8694baa7b4a02bbd6080866e24aae.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",Not Completed
WG Period Plan,Builders,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%202e8f7021827948c59166c5c9b3fc043e.md),"Document, Forum Post, General WG Score, Grade, Plan, Proposal, Subscore",Not Completed
WG Period Plan,Distributors,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20c1c348a736cd4f71b58f5945084cd0ed.md),"Document, Forum Post, General WG Score, Grade, Proposal",Not Completed
WG Period Plan,Content,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20dd837f8c7c9c434298754e6e9c003ae9.md),"Document, Forum Post, General WG Score, Plan, Proposal",Not Completed
WG Period Plan,Marketing,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%203bd013081cde4ced81e868e623ecc9c1.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",Not Completed
WG Period Plan,Storage,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20942729f52ab6475b9ab74e15b63de864.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",Not Completed
WG Period Plan,HR,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20b3436e8f2696406284bd27cb93fd173b.md),"Document, Forum Post, General WG Score, Plan, Proposal",Not Completed
Council Period Plan,Council,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,,Network Performance Score (Council%2025/Council%20Period%2017/Network%20Performance%20Score%20c50f14132a0b46e79f6485265eceee9a.md),"Document, Forum Post, Grade, Master Score, Proposal",Not Completed
WG Summary,Storage,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20942729f52ab6475b9ab74e15b63de864.md),"Document, Forum Post, General WG Score, Grade, Subscore",Not Completed
WG Summary,Distributors,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2025/Council%20Period%2017/General%20WG%20Score%20c1c348a736cd4f71b58f5945084cd0ed.md),"Document, Forum Post, General WG Score, Grade, Subscore, Summary",Not Completed
