Name,Attributes,Builder Weight,Content Weight,Deadline (Local Time),Deadline [block],Deadline timestamp,Distributor Weight,Effective Deadline,Forum Link,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,JSG Grading Status,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Proposal Link,Score,Score Notes,Score Type,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores,Summary Weight,Summary Weight link
HR Score,Composite Grade,,,,,,,,,,,HR_SCORE,HR,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,,Calculation,,,,,,,Network Performance Score (Council%209/Council%20Period%209/Network%20Performance%20Score%20b5d67b08236940ae8249140591d8fe47.md),,,,,,0.837,,,No,,,,,"General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20ffcbe9f8fdbb40a3a552709b92a95b84.md), HR Report (Council%209/Council%20Period%209/HR%20Report%206b6247dffd7140cf9c52d08b6edad418.md), Response Time (Council%209/Council%20Period%209/Response%20Time%207ec89d437b6b44f9828c967aeedb41c5.md), Person Logging Score (Council%209/Council%20Period%209/Person%20Logging%20Score%207b8a0accb1ea4cb6bfec7279053a7c51.md), Interaction Logging Score (Council%209/Council%20Period%209/Interaction%20Logging%20Score%205d93d291c2f34b2cab25d03a4fb1c564.md), Bounty Score (Council%209/Council%20Period%209/Bounty%20Score%2018485e020ef3436da733c50b4cee67b3.md)",,
Content Score,Composite Grade,,,,,,,,,,,CONTENT_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,,Completed,,,,,,,Network Performance Score (Council%209/Council%20Period%209/Network%20Performance%20Score%20b5d67b08236940ae8249140591d8fe47.md),,,,,,0.18,,,No,,,,,"General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20125ce0c2289042aa987a6a71cb6c8dd3.md), Content Report (Council%209/Council%20Period%209/Content%20Report%20b9c6250979c84674bcf99d4a6dedd310.md), Featuring Score (Council%209/Council%20Period%209/Featuring%20Score%204dff73d7044f408b969e86936b02c842.md), Moderation Score (Council%209/Council%20Period%209/Moderation%20Score%20ad40d08b7c684ebf9379c7c3a1c87cc5.md), Logging does not occur (Council%209/Council%20Period%209/Logging%20does%20not%20occur%204d5d2c82bfc94085a2b883a81959d93d.md), Featured Content Unplayable (Council%209/Council%20Period%209/Featured%20Content%20Unplayable%2009567747b2f84bd7a5a8cf4fbffceaf2.md), Failure to apply moderation rules (Council%209/Council%20Period%209/Failure%20to%20apply%20moderation%20rules%20967b1ced0b484f5d92906f07dd22427d.md)",,
Research Score,,,,,,,,,,,,RESEARCH_SCORE,Storage,,,,Completed,,,,,,,,,,,,,0,No Submission found (at all),,No,,,,,,,
Research Score,,,,,,,,,,,,RESEARCH_SCORE,Distributors,,,,Completed,,,,,,,,,,,,,0,,,No,,,,,,,
Uploads,Grade,,,,,,,,,,,UPLOAD_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#upload_score,,Completed,,,,,,,Storage Score (Council%209/Council%20Period%209/Storage%20Score%20425b22fc33c342e9af5fc54c7e4691f1.md),,,,,,0.907,,Subscore,No,,,,,,,
Maintenance,Grade,,,,,,,,,,,MAINTENANCE_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#maintenance_score,,Completed,,,,,,,Storage Score (Council%209/Council%20Period%209/Storage%20Score%20425b22fc33c342e9af5fc54c7e4691f1.md),,,,,,1,,Subscore,No,,,,,,,
WG Opportunities,"Grade, Spot Check, Subscore",,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,Completed,,,,,,,"General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%2009a3e93e9e094e2a92333a95a5ed0c43.md), General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20cfcf8f8f05c343ed81ece171d89bc76b.md)",,,,,,0.167,,Subscore,No,,,,,,,
WG Opportunities,"Grade, Spot Check, Subscore",,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20ffcbe9f8fdbb40a3a552709b92a95b84.md),,,,,,0.5,,,No,,,,,,,
WG Opportunities,"Document, Forum Post, Grade",,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Forum,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%208b96e578dcfd429798d14c9fc6bf3e7e.md),,,,,,0.333,,,No,,,,,,,
WG Opportunities,"Grade, Spot Check, Subscore",,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%201eb9c121a68f47ca9cc3720f887a4510.md),,,,,,0.125,,Subscore,No,,,,,,,
Builders Report,"Document, Forum Post, Grade, Subscore",,,,,,,,,,,REPORT_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score,,Completed,,,,,,,Builder Score (Council%209/Council%20Period%209/Builder%20Score%2072609d857cd44aaf919ac15aa42caa9d.md),,,,,,0.6,,Subscore,No,,,,,,,
Pioneer Development,"Grade, Spot Check, Subscore",,,,,,,,,,,PIONEER_DEVELOPMENT_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#pioneer_development_score,,Completed,,,,,,,Builder Score (Council%209/Council%20Period%209/Builder%20Score%2072609d857cd44aaf919ac15aa42caa9d.md),,,,,,0.7,,Subscore,No,,,,,,,
Testing,"Grade, Spot Check, Subscore",,,,,,,,,,,TESTING_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#testing_score,,Completed,,,,,,,Builder Score (Council%209/Council%20Period%209/Builder%20Score%2072609d857cd44aaf919ac15aa42caa9d.md),,,,,,0.6,,Subscore,No,,,,,,,
General Development,"Grade, Spot Check, Subscore",,,,,,,,,,,GENERAL_DEVELOPMENT_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#general_development_score,,Completed,,,,,,,Builder Score (Council%209/Council%20Period%209/Builder%20Score%2072609d857cd44aaf919ac15aa42caa9d.md),,,,,,0.6,,Subscore,No,,,,,,,
WG Summary,"Document, Forum Post, Grade, Proposal, Subscore, Summary",,,,,,,,https://dao.joystream.org/#/forum/thread/165,https://dao.joystream.org/#/forum/category/12,,SUMMARY_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20cfcf8f8f05c343ed81ece171d89bc76b.md),,,,,https://dao.joystream.org/#/proposals/preview/225,0.9,"JSG Questions pending for submitted data/information, On time",Subscore,No,,932261,,,,,
Forum Report,"Document, Forum Post, Grade, Subscore",,,,,,,,https://dao.joystream.org/#/forum/thread/168,,,REPORT_SCORE,Forum,,,,Completed,,,,,,,Forum Score (Council%209/Council%20Period%209/Forum%20Score%20a6dd10bcefcb450b906a2e86311f88dd.md),,,,,,0,,,No,,941094,,,,,
Category Score,,,,,,,,,,,,CATEGORY_SCORE,Forum,,,,Completed,,,,,,,,,,,,,0.5,,,No,,,,,,,
Moderation Score,"Grade, Spot Check",,,,,,,,,,,MODERATION_SCORE,Forum,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#moderation_score,,Completed,,,,,,,Forum Score (Council%209/Council%20Period%209/Forum%20Score%20a6dd10bcefcb450b906a2e86311f88dd.md),,,,,,0.5,,,No,,,,,,,
HR Report,,,,,,,,,,,,REPORT_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#report_score,,Completed,,,,,,,HR Score (Council%209/Council%20Period%209/HR%20Score%200d725a2e93344db29ba568de6312d77a.md),,,,,,0.9,,Subscore,Yes,,934623,,,,,
Person Logging Score,,,,,,,,,,,,PERSON_LOGGING_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#person_logging_score,,Completed,,,,,,,HR Score (Council%209/Council%20Period%209/HR%20Score%200d725a2e93344db29ba568de6312d77a.md),,,,,,1,,Subscore,No,,,,,,,
Response Time,,,,,,,,,,,,RESPONSE_TIME_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#response_time_score,,Completed,,,,,,,HR Score (Council%209/Council%20Period%209/HR%20Score%200d725a2e93344db29ba568de6312d77a.md),,,,,,1,,Subscore,Yes,,,,,,,
Interaction Logging Score,,,,,,,,,,,,INTERACTION_LOGGING_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#interaction_logging_score,,Completed,,,,,,,HR Score (Council%209/Council%20Period%209/HR%20Score%200d725a2e93344db29ba568de6312d77a.md),,,,,,0.538,,Subscore,Yes,,,,,,,
Bounty Score,,,,,,,,,,,,BOUNTY_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#bounty_score,,Completed,,,,,,,HR Score (Council%209/Council%20Period%209/HR%20Score%200d725a2e93344db29ba568de6312d77a.md),,,,,,1,,Subscore,Yes,,,,,,,
Content Report,Forum Post,,,,,,,,,,,REPORT_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#report_score,,Completed,,,,"Report 23.05.2022-29.05.2022 (https://www.notion.so/Report-23-05-2022-29-05-2022-0cacd650c6564c16bf1e7fe78746f5d4?pvs=21) ",,,Content Score (Council%209/Council%20Period%209/Content%20Score%20a3aabbae48374ae9b6f6933504efed94.md),,,,,,0,No Forum Post found,Subscore,No,,,,,,,
Opening Score,,,,,,,,,,,,OPENING_SCORE,Builders,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20cfcf8f8f05c343ed81ece171d89bc76b.md),,,,,,0.667,,,No,,,,,,,
Bounty Score,,,,,,,,,,,,BOUNTY_SCORE,Builders,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20cfcf8f8f05c343ed81ece171d89bc76b.md),,,,,,0,,,No,,,,,,,
Opening Score,,,,,,,,,,,,OPENING_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20125ce0c2289042aa987a6a71cb6c8dd3.md),,,,,,0,,,No,,,,,,,
Bounty Score,,,,,,,,,,,,BOUNTY_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20125ce0c2289042aa987a6a71cb6c8dd3.md),,,,,,0,,,No,,,,,,,
Opening Score,,,,,,,,,,,,OPENING_SCORE,Distributors,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%201eb9c121a68f47ca9cc3720f887a4510.md),,,,,,0.271,,,No,,,,,,,
Bounty Score,,,,,,,,,,,,BOUNTY_SCORE,Distributors,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%201eb9c121a68f47ca9cc3720f887a4510.md),,,,,,0,,,No,,,,,,,
Opening Score,,,,,,,,,,,,OPENING_SCORE,Storage,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%2009a3e93e9e094e2a92333a95a5ed0c43.md),,,,,,0.333,,,No,,,,,,,
Bounty Score,,,,,,,,,,,,BOUNTY_SCORE,Storage,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%2009a3e93e9e094e2a92333a95a5ed0c43.md),,,,,,0.7,,,No,,,,,,,
Bounty Score,,,,,,,,,,,,BOUNTY_SCORE,HR,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20ffcbe9f8fdbb40a3a552709b92a95b84.md),,,,,,0,,,No,,,,,,,
Opening Score,,,,,,,,,,,,OPENING_SCORE,Forum,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%208b96e578dcfd429798d14c9fc6bf3e7e.md),,,,,,0,,,No,,,,,,,
Bounty Score,,,,,,,,,,,,BOUNTY_SCORE,Forum,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%208b96e578dcfd429798d14c9fc6bf3e7e.md),,,,,,0,,,No,,,,,,,
WG Summary,"Document, Forum Post, Grade, Subscore",,,,,,,,https://dao.joystream.org/#/forum/thread/165,,,SUMMARY_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%2009a3e93e9e094e2a92333a95a5ed0c43.md),,,,,,0,No Submission found (at all),Subscore,No,,932261,,,,,
Opening Score,,,,,,,,,,,,OPENING_SCORE,HR,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20ffcbe9f8fdbb40a3a552709b92a95b84.md),,,,,,0.833,,,No,,,,,,,
