Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,Score Type,Deadline [block],JSG Grading Status
Council Period Summary,Council,SUMMARY_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#council-period-summary,,Network Performance Score (Council%20Scoring%20Template/Network%20Performance%20Score%202462aee42afc42af974591cbd43b30b5.csv),"Document, Forum Post, Grade, Proposal, Subscore",Main Score,,Not Completed
WG Summary,HR,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%20Scoring%20Template/General%20WG%20Score%207f863eda017948639c9705f7b2fe5afd.csv),"Document, Forum Post, Grade",Subscore,,Not Completed
WG Period Plan,Storage,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%20Scoring%20Template/General%20WG%20Score%20f6f7f193f67b4955836e972909be5f32.csv),"Document, Forum Post, Grade, Subscore",Subscore,,Not Completed
Distributors Report,Distributors,REPORT_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#report_score,,Distributor Score (Council%20Scoring%20Template/Distributor%20Score%208001afa9bc46453d9d96577079fcff8f.csv),"Document, Forum Post, Grade, Subscore",Subscore,,Not Completed
WG Summary,Storage,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%20Scoring%20Template/General%20WG%20Score%20f6f7f193f67b4955836e972909be5f32.csv),"Document, Forum Post, Grade, Subscore",Subscore,,Not Completed
Lead Opportunities,Council,LEAD_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#lead-opportunities,,Network Performance Score (Council%20Scoring%20Template/Network%20Performance%20Score%202462aee42afc42af974591cbd43b30b5.csv),Grade,Main Score,,Not Completed
Maintenance,Storage,MAINTENANCE_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#maintenance_score,,Storage Score (Council%20Scoring%20Template/Storage%20Score%20dfc2866b23ed424a931819abc445d27c.csv),Grade,Subscore,,Not Completed
WG Opportunities,Distributors,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%20Scoring%20Template/General%20WG%20Score%20d3446c9bdec640a7a9fc23ba5238e36e.csv),"Grade, Spot Check, Subscore",Subscore,,Not Completed
Uploads,Storage,UPLOAD_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#upload_score,,Storage Score (Council%20Scoring%20Template/Storage%20Score%20dfc2866b23ed424a931819abc445d27c.csv),Grade,Subscore,,Not Completed
WG Opportunities,Content,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%20Scoring%20Template/General%20WG%20Score%206c5cd2a10f36420887b78c57acb64d4a.csv),"Grade, Spot Check, Subscore",,,Not Completed
WG Period Plan,Forum,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%20Scoring%20Template/General%20WG%20Score%2006470ec6d286431fa04a1ed2d57d39e3.csv),"Document, Forum Post, Grade, Subscore",,,Not Completed
General WG Score,HR,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%20Scoring%20Template/WG%20Period%20Plan%20036dfef3e2e446a29e6ec46e20d931c0.csv), WG Summary (Council%20Scoring%20Template/WG%20Summary%206381a9eb26e54e35b62dbe28b7a544b4.csv), WG Opportunities (Council%20Scoring%20Template/WG%20Opportunities%20d6efa7f3d529479e9dfa79be6ec54c17.csv)",HR Score (Council%20Scoring%20Template/HR%20Score%2063185f16d5d74d65a27484bdcf6b6efb.csv),Composite Grade,,,Not Completed
General WG Score,Builders,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,"WG Period Plan (Council%20Scoring%20Template/WG%20Period%20Plan%20e0d0fc1caba64d01b5e5776ae437db56.csv), WG Summary (Council%20Scoring%20Template/WG%20Summary%2013252d331e374763a135d8c264e6a65a.csv), WG Opportunities (Council%20Scoring%20Template/WG%20Opportunities%2074e1f7b28b0243bfa095151da3424842.csv)",Builder Score (Council%20Scoring%20Template/Builder%20Score%20a944639ab3154a6c8820d3a520ac940c.csv),Composite Grade,Subscore,,Not Completed
Network Performance Score,Network,NETWORK_PERFORMANCE_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,"Builder Score (Council%20Scoring%20Template/Builder%20Score%20a944639ab3154a6c8820d3a520ac940c.csv), Content Score (Council%20Scoring%20Template/Content%20Score%2049ef6ba036f84f85a96cc54a97e9fecb.csv), Distributor Score (Council%20Scoring%20Template/Distributor%20Score%208001afa9bc46453d9d96577079fcff8f.csv), Storage Score (Council%20Scoring%20Template/Storage%20Score%20dfc2866b23ed424a931819abc445d27c.csv), HR Score (Council%20Scoring%20Template/HR%20Score%2063185f16d5d74d65a27484bdcf6b6efb.csv), Council Period Summary (Council%20Scoring%20Template/Council%20Period%20Summary%20020b851ed6cc44a3a3b0e3de52e5ad91.csv), Council Period Plan (Council%20Scoring%20Template/Council%20Period%20Plan%2077d1ceae0466406aa06b4b9322a6ff50.csv), Lead Opportunities (Council%20Scoring%20Template/Lead%20Opportunities%206180c751a43948328e6d7045429fd718.csv)",,"Composite Grade, Overall Grade",,,Not Completed
Forum Score,Forum,FORUM_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,"General WG Score (Council%20Scoring%20Template/General%20WG%20Score%2006470ec6d286431fa04a1ed2d57d39e3.csv), Forum Report (Council%20Scoring%20Template/Forum%20Report%20d7afa8f6a71941aa9536dfb70ef9626f.csv), Moderation Score (Council%20Scoring%20Template/Moderation%20Score%20d4a1fc3ae0a94c29a09958d52f2f4a54.csv), Notification Score (Council%20Scoring%20Template/Notification%20Score%209a219ba0a2df493398afd3289bba7051.csv)",,Composite Grade,,,Not Completed
Content Score,Content,CONTENT_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,"General WG Score (Council%20Scoring%20Template/General%20WG%20Score%206c5cd2a10f36420887b78c57acb64d4a.csv), Content Report (Council%20Scoring%20Template/Content%20Report%2025794e37720249b984c93090331b8be2.csv), Featuring Score (Council%20Scoring%20Template/Featuring%20Score%20bdfd23d080284db5bc7960510244d41d.csv), Moderation Score (Council%20Scoring%20Template/Moderation%20Score%20862050ad9d124244ac1ac6f9ef826474.csv), Logging does not occur (Council%20Scoring%20Template/Logging%20does%20not%20occur%2044bcbc8878484cad9919e0d14cb16b9c.csv), Featured Content Unplayable (Council%20Scoring%20Template/Featured%20Content%20Unplayable%20a87ee9e9e5e042208eecb15eb41dcc18.csv), Failure to apply moderation rules (Council%20Scoring%20Template/Failure%20to%20apply%20moderation%20rules%2038d79df1598d4578919b96bd85125829.csv)",Network Performance Score (Council%20Scoring%20Template/Network%20Performance%20Score%202462aee42afc42af974591cbd43b30b5.csv),Composite Grade,,,Not Completed
General WG Score,Forum,GENERAL_WG_SCORE,,,"WG Period Plan (Council%20Scoring%20Template/WG%20Period%20Plan%2001d69be3baa84cd09f6ce38cbffa9384.csv), WG Summary (Council%20Scoring%20Template/WG%20Summary%2073b99de7477f45af8064c3ff89d847b8.csv), WG Opportunities (Council%20Scoring%20Template/WG%20Opportunities%202ea09731162d480296b251a176f2be56.csv)",Forum Score (Council%20Scoring%20Template/Forum%20Score%207cede6a43e0d4889a18f264d87c77052.csv),Composite Grade,,,Not Completed
Builder Score,Builders,BUILDER_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,"General WG Score (Council%20Scoring%20Template/General%20WG%20Score%20a622abe47722405ea22accf74c2c666a.csv), Builders Report (Council%20Scoring%20Template/Builders%20Report%204fb29ed6e10b437f97e3b7cf74be30ec.csv), Testing (Council%20Scoring%20Template/Testing%20bc9bda051f384f00b4e4aa5010d92186.csv), Pioneer Development (Council%20Scoring%20Template/Pioneer%20Development%20fefcb6d047994e779458819cf7438ce4.csv), General Development (Council%20Scoring%20Template/General%20Development%2006e5299fc3ae4ccca0fc7bad1035686b.csv)",Network Performance Score (Council%20Scoring%20Template/Network%20Performance%20Score%202462aee42afc42af974591cbd43b30b5.csv),"Composite Grade, Master Group Score",Main Score,,Not Completed
Marketing Score,Marketing,MARKETER_SCORE,,,,,Composite Grade,,,Not Completed
Storage Score,Storage,STORAGE_SCORE,,,"Uploads (Council%20Scoring%20Template/Uploads%2036c637cbd89a4bab8bccee5ed6c06461.csv), General WG Score (Council%20Scoring%20Template/General%20WG%20Score%20f6f7f193f67b4955836e972909be5f32.csv), Maintenance (Council%20Scoring%20Template/Maintenance%20bab2309a0ee04854bc4886fc97416846.csv), Storage Report (Council%20Scoring%20Template/Storage%20Report%20f68c260a894f45d9be0f90657df1ef22.csv)",Network Performance Score (Council%20Scoring%20Template/Network%20Performance%20Score%202462aee42afc42af974591cbd43b30b5.csv),Composite Grade,Main Score,,Not Completed
Distributor Score,Distributors,DISTRIBUTOR_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,"General WG Score (Council%20Scoring%20Template/General%20WG%20Score%20d3446c9bdec640a7a9fc23ba5238e36e.csv), Thumbnails (Council%20Scoring%20Template/Thumbnails%20c17d57207ad246ff9018cf75888cfb93.csv), Distributors Report (Council%20Scoring%20Template/Distributors%20Report%205bcbf063041c4b5c87b81c1829c23870.csv)",Network Performance Score (Council%20Scoring%20Template/Network%20Performance%20Score%202462aee42afc42af974591cbd43b30b5.csv),Composite Grade,Main Score,,Not Completed
General WG Score,Content,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Opportunities (Council%20Scoring%20Template/WG%20Opportunities%20ba64b59e3e864567aebabc061c8051b5.csv), WG Summary (Council%20Scoring%20Template/WG%20Summary%201f9fa37d9b734be79780ab81426fb3be.csv), WG Period Plan (Council%20Scoring%20Template/WG%20Period%20Plan%20b91089ad39cf453dbb9bf05cf76b9607.csv)",Content Score (Council%20Scoring%20Template/Content%20Score%2049ef6ba036f84f85a96cc54a97e9fecb.csv),Composite Grade,,,Not Completed
General WG Score,Distributors,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%20Scoring%20Template/WG%20Period%20Plan%207e0ffa730a064a6795c3e11565aba7a7.csv), WG Summary (Council%20Scoring%20Template/WG%20Summary%201adddbb57718483d82b402aecc6b2a99.csv), WG Opportunities (Council%20Scoring%20Template/WG%20Opportunities%201bbec6e0c2bf45f3a96ab171aa793eff.csv)",Distributor Score (Council%20Scoring%20Template/Distributor%20Score%208001afa9bc46453d9d96577079fcff8f.csv),Composite Grade,Main Score,,Not Completed
HR Score,HR,HR_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,"General WG Score (Council%20Scoring%20Template/General%20WG%20Score%207f863eda017948639c9705f7b2fe5afd.csv), HR Report (Council%20Scoring%20Template/HR%20Report%20a773f89a9ef1411096e4b31cefb2f700.csv), Response Time (Council%20Scoring%20Template/Response%20Time%2027c1c2fa409f434bb7401eedddb5444d.csv), Person Logging Score (Council%20Scoring%20Template/Person%20Logging%20Score%20594af3879d51491880fc4ec14b6a385d.csv), Interaction Logging Score (Council%20Scoring%20Template/Interaction%20Logging%20Score%201397cdf6ae8d4337b6b53c5773106b01.csv), Bounty Score (Council%20Scoring%20Template/Bounty%20Score%20a87dc66ca17c43ea9d44344cb923d085.csv)",Network Performance Score (Council%20Scoring%20Template/Network%20Performance%20Score%202462aee42afc42af974591cbd43b30b5.csv),Composite Grade,,,Not Completed
General WG Score,Storage,GENERAL_WG_SCORE,,,"WG Summary (Council%20Scoring%20Template/WG%20Summary%20bf2e4bf1dc8c4616803dc620555d97f2.csv), WG Period Plan (Council%20Scoring%20Template/WG%20Period%20Plan%20f9806f26e1bc4c9dba4705033e9b0b70.csv), WG Opportunities (Council%20Scoring%20Template/WG%20Opportunities%2074e1f7b28b0243bfa095151da3424842.csv)",Storage Score (Council%20Scoring%20Template/Storage%20Score%20dfc2866b23ed424a931819abc445d27c.csv),Composite Grade,Main Score,,Not Completed
WG Opportunities,Storage,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,"General WG Score (Council%20Scoring%20Template/General%20WG%20Score%20f6f7f193f67b4955836e972909be5f32.csv), General WG Score (Council%20Scoring%20Template/General%20WG%20Score%20a622abe47722405ea22accf74c2c666a.csv)","Grade, Spot Check, Subscore",Subscore,,Not Completed
Moderation Score,Forum,MODERATION_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#moderation_score,,Forum Score (Council%20Scoring%20Template/Forum%20Score%207cede6a43e0d4889a18f264d87c77052.csv),"Grade, Spot Check",,,Not Completed
WG Opportunities,HR,WORKER_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%20Scoring%20Template/General%20WG%20Score%207f863eda017948639c9705f7b2fe5afd.csv),"Grade, Spot Check, Subscore",,,Not Completed
Notification Score,Forum,NOTIFICATION_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#notification_score,,Forum Score (Council%20Scoring%20Template/Forum%20Score%207cede6a43e0d4889a18f264d87c77052.csv),"Grade, Spot Check",,,Not Completed
Pioneer Development,Builders,PIONEER_DEVELOPMENT_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#pioneer_development_score,,Builder Score (Council%20Scoring%20Template/Builder%20Score%20a944639ab3154a6c8820d3a520ac940c.csv),"Grade, Spot Check, Subscore",Subscore,,Not Completed
Permanent Data Object Loss,Storage,,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#permanent-data-object-loss,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Not Completed
Incorrect Reporting,Storage,,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#incorrect-reporting,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Not Completed
Testing,Builders,TESTING_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#testing_score,,Builder Score (Council%20Scoring%20Template/Builder%20Score%20a944639ab3154a6c8820d3a520ac940c.csv),"Grade, Spot Check, Subscore",Subscore,,Not Completed
General Development,Builders,GENERAL_DEVELOPMENT_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#general_development_score,,Builder Score (Council%20Scoring%20Template/Builder%20Score%20a944639ab3154a6c8820d3a520ac940c.csv),"Grade, Spot Check, Subscore",Subscore,,Not Completed
Block time too low,Council,,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#block-time-too-low,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Not Completed
Missed runtime upgrade,Council,,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#missed-runtime-upgrade,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Not Completed
Violation of Content Policy,Forum,,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#catastrophic-errors,,,Catastrophic Errors,,,Not Completed
Member Faucet Empty,Council,,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#member-faucet-empty,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Not Completed
Failure to apply moderation rules,Content,,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#failure-to-apply-moderation-rules,,Content Score (Council%20Scoring%20Template/Content%20Score%2049ef6ba036f84f85a96cc54a97e9fecb.csv),"Catastrophic Errors, Grade, Spot Check",,,Not Completed
Upgrading non-Jsgesnesis runtime,Council,,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#upgrading-non-jsgenesis-runtime,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Not Completed
Total Breaches of Policy,Content,TOTAL_BREACHES_OF_POLICY,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,,Moderation Score (Council%20Scoring%20Template/Moderation%20Score%20862050ad9d124244ac1ac6f9ef826474.csv),"Catastrophic Errors, Grade, Spot Check",,,Not Completed
Missing Judgement,HR,,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#catastrophic-errors,,,"Catastrophic Errors, Grade, Spot Check",,,Not Completed
No available sources for data object,Distributors,,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/distributors-score.md#catastrophic-errors,,,"Catastrophic Errors, Grade, Spot Check, Subscore",Subscore,,Not Completed
Total $tJOY exceeds tJOY_BUDGET,Council,,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#total-tjoy-exceeds-tjoy_budget,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Not Completed
Logging does not occur,Content,,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#catastrophic-errors,,Content Score (Council%20Scoring%20Template/Content%20Score%2049ef6ba036f84f85a96cc54a97e9fecb.csv),"Catastrophic Errors, Grade, Spot Check",,,Not Completed
On chain Budget and Opening proposals without JOY equivalent,Council,,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#on-chain-budget-and-opening-proposals-without-joy-equivalent,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Not Completed
Inadequate Report,HR,,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#inadequate-report,,,"Catastrophic Errors, Grade, Spot Check",,,Not Completed
Unwarranted deletion,Forum,,,,,,Catastrophic Errors,,,Not Completed
Featured Content Unplayable,Content,,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#featured-content-unplayable,,Content Score (Council%20Scoring%20Template/Content%20Score%2049ef6ba036f84f85a96cc54a97e9fecb.csv),"Catastrophic Errors, Grade, Spot Check",,,Not Completed
,,,,,,,,,,
Moderation Score,Content,MODERATION_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#moderation_score,"Response Score (Council%20Scoring%20Template/Response%20Score%20693b6cbc09414159aef9660c2dc8bdb1.csv), Total Breaches of Policy (Council%20Scoring%20Template/Total%20Breaches%20of%20Policy%20d149d373f2e345bdbaaea50b0f68420d.csv)",Content Score (Council%20Scoring%20Template/Content%20Score%2049ef6ba036f84f85a96cc54a97e9fecb.csv),,,,Not Completed
Response Time,HR,RESPONSE_TIME_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#response_time_score,,HR Score (Council%20Scoring%20Template/HR%20Score%2063185f16d5d74d65a27484bdcf6b6efb.csv),,Subscore,,Not Completed
Logging Score,Content,LOGGING_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,Featuring Score (Council%20Scoring%20Template/Featuring%20Score%20bdfd23d080284db5bc7960510244d41d.csv),,,,Not Completed
Person Logging Score,HR,PERSON_LOGGING_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#person_logging_score,,HR Score (Council%20Scoring%20Template/HR%20Score%2063185f16d5d74d65a27484bdcf6b6efb.csv),,Subscore,,Not Completed
Council Parameters,JSG,,,,,,,,,Not Completed
HR Report,HR,REPORT_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#report_score,,HR Score (Council%20Scoring%20Template/HR%20Score%2063185f16d5d74d65a27484bdcf6b6efb.csv),,Subscore,,Not Completed
Interaction Logging Score,HR,INTERACTION_LOGGING_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#interaction_logging_score,,HR Score (Council%20Scoring%20Template/HR%20Score%2063185f16d5d74d65a27484bdcf6b6efb.csv),,Subscore,,Not Completed
Featuring Score,Content,FEATURING_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#featuring_score,"Logging Score (Council%20Scoring%20Template/Logging%20Score%20a31d6ebfd9164d64a8561ba448861730.csv), Hero Score (Council%20Scoring%20Template/Hero%20Score%20ea2166989df246c3a7bdc47f4836a05d.csv), Categories Score (Council%20Scoring%20Template/Categories%20Score%20b2b3afbc01f34960bd2d8a903a128d67.csv)",Content Score (Council%20Scoring%20Template/Content%20Score%2049ef6ba036f84f85a96cc54a97e9fecb.csv),,Subscore,,Not Completed
Category Score,Forum,CATEGORY_SCORE,,,,,,,,Not Completed
Hero Score,Content,HERO_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,Featuring Score (Council%20Scoring%20Template/Featuring%20Score%20bdfd23d080284db5bc7960510244d41d.csv),,,,Not Completed
Response Score,Content,RESPONSE_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,,Moderation Score (Council%20Scoring%20Template/Moderation%20Score%20862050ad9d124244ac1ac6f9ef826474.csv),,,,Not Completed
Bounty Score,HR,BOUNTY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#bounty_score,,HR Score (Council%20Scoring%20Template/HR%20Score%2063185f16d5d74d65a27484bdcf6b6efb.csv),,Subscore,,Not Completed
Categories Score,Content,CATEGORIES_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,Featuring Score (Council%20Scoring%20Template/Featuring%20Score%20bdfd23d080284db5bc7960510244d41d.csv),,,,Not Completed
