Number,Joystream DAO Workers Record,Property,Tasks," 1",Change in Salary / Rational,Weekly Summary of Tasks 01,End of Week Performance Remark 01,Weekly Summary of Tasks 02,End of Week Performance Remark 02,Weekly Summary of Tasks 03,End of Week Performance Remark 03,End of Term General Performance Remark,Related to Proposals (Assigned),Related to Proposals (Assigned) 1
9,polikosi,BWG Worker,,"1,338.75 $JOY / $80.3",888$JOY (Builder Salary Reset Each Term),Ephesus testing (Preparation),,,,,,,,
10,vikan#4315,MWG + HR Worker,An idea to increase gateways/Dapps (https://www.notion.so/An-idea-to-increase-gateways-Dapps-88b23257a23b445e85ad936741327c90?pvs=21),723.5 + 564.72 $JOY / $77.3,,"HR - Recruiting, onboarding, documentation, community survey. || MWG - https://pioneerapp.xyz/#/forum/thread/68?post=1266","HR - 7 || less activity in community channels, good worker",,,,,,Untitled (https://www.notion.so/1fb83112fea64a79ae120c397a81a3fd?pvs=21),Untitled (https://www.notion.so/08a620c468ec45068198b909e1a80416?pvs=21)
11,Craci_BwareLabs,SWG + DWG Worker,,556.33 + 572.36 $JOY / $67.72,,,,,,,,,,
12,adovrn,MWG Worker,,724 $JOY / $43.44,,https://pioneerapp.xyz/#/forum/thread/68?post=1266,,,,,,,,
13,spat_sochi,MWG Worker,Hire a business strategy manager (https://www.notion.so/Hire-a-business-strategy-manager-2b166dd3a7ae47529e3410a8cdb4380a?pvs=21),724 $JOY / $43.44,,https://pioneerapp.xyz/#/forum/thread/68?post=1266,,,,,,,Untitled (https://www.notion.so/6ea155787d4140fd9692644ecaf50135?pvs=21),Untitled (https://www.notion.so/cbf797b594ec4b9aa7ed1c2255bbaf01?pvs=21)
14,Abramariia,HR Worker,,723.5  $JOY / $43.41,,"Onboarding, documentation, planning","9 || Quite good at HR performance and resourceful ",,,,,,,
15,Mayor Tee,HR Worker,,723.5  $JOY / $43.41,,"Onboarding, Documentation","7 || Good at customer support, but does not take documentation tasks serious. leading to a slowdown in WG performance",,,,,,,
16,"Genius ","HR Worker ",,723.5  $JOY / $43.41,,"Onboarding, Documentation, Community survey",7 || Good at onboarding but finds documentation tasks hard to perform,,,,,,,
17,Tomato,Membership WG Lead,"Membership Verification Requirements (https://www.notion.so/Membership-Verification-Requirements-af6604eb2c24480e9a27bf0655985903?pvs=21), Notion Refresh (https://www.notion.so/Notion-Refresh-18f2d1db91124efc93e1d2aba229961c?pvs=21), Meeting Notes Template (https://www.notion.so/Meeting-Notes-Template-6b2ca5379c074eb09ee05b1ac0a6a38c?pvs=21), Validator Count Increase post-mortem (https://www.notion.so/Validator-Count-Increase-post-mortem-e69579ed800542e0a7dcea8a008dc613?pvs=21), Second Validator Set Increase (https://www.notion.so/Second-Validator-Set-Increase-71c0a6b80d6f4a1daba2e7c954ca7d78?pvs=21), Election Status Bot for Discord (https://www.notion.so/Election-Status-Bot-for-Discord-0b1dbd0319b94a23b9773ab05c782e79?pvs=21), Video engagement stats (https://www.notion.so/Video-engagement-stats-e5f423e5f2e3482db385f2971a297c85?pvs=21), Ledger plugin development (https://www.notion.so/Ledger-plugin-development-b53ccd5116aa4423b7cdab0e2d46774c?pvs=21), Discretionary Spending process (https://www.notion.so/Discretionary-Spending-process-eb59fbf3e35944c5a5b2f44de0e56ba5?pvs=21), Workshop - Introduction to Joystream Tools (https://www.notion.so/Workshop-Introduction-to-Joystream-Tools-5abbf2af828f4c65ad3a265c97c7c6a4?pvs=21), Process for payments to many recipients (https://www.notion.so/Process-for-payments-to-many-recipients-a99f2c8240bb405caf395f21ae554ce0?pvs=21), Membership Parameters Discussion March (https://www.notion.so/Membership-Parameters-Discussion-March-d1a47bac1e5d46ed89699726ebb1ff6f?pvs=21), Handbook Review (https://www.notion.so/Handbook-Review-7e78e6ea2c584bd398e7676738b3e839?pvs=21), Council Budget Increment discussion (https://www.notion.so/Council-Budget-Increment-discussion-72aa715f98d0461bbb28cb5a1eb91fd7?pvs=21), Community Repo refresh (https://www.notion.so/Community-Repo-refresh-3cc062d95ac648a084a017a7e04fe559?pvs=21), Bonus for Gleev YPP early-adopters (https://www.notion.so/Bonus-for-Gleev-YPP-early-adopters-d88c27bdf08d4844b90c23783ef3f60d?pvs=21), Promotional initiatives for YPP/youtube-sync users (https://www.notion.so/Promotional-initiatives-for-YPP-youtube-sync-users-d178bba439084070934bb8a0218556fd?pvs=21), DAO owned gateway/app (https://www.notion.so/DAO-owned-gateway-app-3c6e9681ab544e71955b6b5a2449e0fb?pvs=21), Incentives for running nodes (https://www.notion.so/Incentives-for-running-nodes-f92faedf8f2e47fb9888a96742625c52?pvs=21), Meetings + Notes (https://www.notion.so/Meetings-Notes-c2de8cd6e64a416f939b898dffb026a9?pvs=21)",722 $JOY / $43.32,,,,,,,,,"Untitled (https://www.notion.so/40c7e2080e3e47bc86006cc40f0379ee?pvs=21), Untitled (https://www.notion.so/f783ee2135404cd7a8928021da657290?pvs=21), Untitled (https://www.notion.so/40a7a2c306204642b9f55b1655683859?pvs=21), Untitled (https://www.notion.so/b9e3d5992f1b48b3896bf50af13a00f2?pvs=21), Untitled (https://www.notion.so/5e6970d631f04d50ada565362521d131?pvs=21), Untitled (https://www.notion.so/825c6455c40e4393bd98dbbf8d4f7118?pvs=21), Untitled (https://www.notion.so/600e1507323b45cc89ce09756c7670ff?pvs=21), Untitled (https://www.notion.so/d892fe338b044035bffc0f5856d91763?pvs=21), Untitled (https://www.notion.so/f1bac2f0fe3c46b6b4e09b1e3a39181e?pvs=21), Untitled (https://www.notion.so/6ee6abd2a0764c73b5780f12aeb657dc?pvs=21), Untitled (https://www.notion.so/65f8fa270ef24eb89ad8c8ac27f90561?pvs=21), Untitled (https://www.notion.so/0c5feea413994b39aa44c38db2112052?pvs=21), Untitled (https://www.notion.so/5ddeda37f2384780a0aaca85487ee6e9?pvs=21), Untitled (https://www.notion.so/d289436401d144898822d49a054c579f?pvs=21), Untitled (https://www.notion.so/0883aad3c058496c8790c8f49d7f76bf?pvs=21), Untitled (https://www.notion.so/b4e6916f867445a29d611e6c6c7e7404?pvs=21), Untitled (https://www.notion.so/5fbc0dbb111e4bcc864dd6c11d7f62d3?pvs=21), Untitled (https://www.notion.so/0b3369c51711455dbbb6d300735be419?pvs=21), Untitled (https://www.notion.so/969549b295fb4fc48d56d0abf54a9559?pvs=21), Untitled (https://www.notion.so/42da6c854dbf42188879cf3d61618000?pvs=21)","Untitled (https://www.notion.so/11bcb3cbae1344ed9a27a521c7cadf32?pvs=21), Untitled (https://www.notion.so/29033cd0338f4d43bfca0622023da744?pvs=21), Untitled (https://www.notion.so/3ac46209af8245d3913d722f724dd0bc?pvs=21), Untitled (https://www.notion.so/3bd2b1a19b0049438b15ec444f1dec10?pvs=21), Untitled (https://www.notion.so/74c85ab34cb64cb48c20cd7285b4587d?pvs=21), Untitled (https://www.notion.so/7ba34ff479714c0dbcec1889954c6183?pvs=21), Untitled (https://www.notion.so/7cc9ea0739dc45e293a52ee93cf98ed1?pvs=21), Untitled (https://www.notion.so/9782e2a344ce44719180b497533ce06b?pvs=21), Untitled (https://www.notion.so/9c36dc7da1e24042ae349a299d480f5c?pvs=21), Untitled (https://www.notion.so/a308038f8978400c85d5b98fc385caea?pvs=21), Untitled (https://www.notion.so/a4c6d83500664beeb5e4717e8512539a?pvs=21), Untitled (https://www.notion.so/a7a48fb816f3411d967be471834f78e6?pvs=21), Untitled (https://www.notion.so/a9b0c8ccfe3d489cbc2b349e40edef9c?pvs=21), Untitled (https://www.notion.so/b2cd21993f5b4d3b80acf90d9635e01f?pvs=21), Untitled (https://www.notion.so/b7f200f45b03431192ff31bc8fb8d9bf?pvs=21), Untitled (https://www.notion.so/c41b8d95d5f641e88cbb47a1beaa09f7?pvs=21), Untitled (https://www.notion.so/d898cbd033eb4f0ebd8a6becc46f1ae1?pvs=21), Untitled (https://www.notion.so/e985bb9482ff457a9f2e3b263fb0fda2?pvs=21), Untitled (https://www.notion.so/f6be10d3d2dd4a48b0a3ccb11d1d416c?pvs=21), Untitled (https://www.notion.so/f7c43c6e66464e52af96b9d05285c89b?pvs=21)"
18,jsmoon,AWG Worker,,668.98 $JOY / $40.1,,,,,,,,,,
19,"dmtrmltsv",AWG Worker,,668.98 $JOY / $40.1,,,,,,,,,,
20,goksel,DWG + SWG Worker,,8.69 + 556.33 $JOY / $33.90,,,,,,,,,,
21,itz,MWG Worker,,564.72 $JOY / $33.9,,https://pioneerapp.xyz/#/forum/thread/68?post=1266,,,,,,,,
22,kate_fm,MWG Worker,,564.72 $JOY / $33.9,,https://pioneerapp.xyz/#/forum/thread/68?post=1266,,,,,,,,
23,"kira_skipper",CWG Worker,,730.16 $JOY / $43.81,,,,,,,,,,
24,ferdikesh_studio,CWG Worker,Extending the Councils Working Period (https://www.notion.so/Extending-the-Councils-Working-Period-2bb08e1fea3048d2aced022e2b8c7add?pvs=21),730.16 $JOY / $43.81,,,,,,,,,Untitled (https://www.notion.so/1f759859babd492295c56f774993ca92?pvs=21),Untitled (https://www.notion.so/2628f068abc24d58857082a24582ddb3?pvs=21)
25,maxlevush,SWG Worker,,556.33 $JOY / $33.4,,,,,,,,,,
26,0x2bc,DWG + SWG Worker,"Incentives for running nodes (https://www.notion.so/Incentives-for-running-nodes-f92faedf8f2e47fb9888a96742625c52?pvs=21), Incentives For JOY Staking (https://www.notion.so/Incentives-For-JOY-Staking-ea45b51c655d4ec089aad03bf5daa95b?pvs=21), Handover schedule (https://www.notion.so/Handover-schedule-9dc7c264afbb46d880fb76d5b4df2a75?pvs=21), Alternative to Combot for Telegram Moderation (https://www.notion.so/Alternative-to-Combot-for-Telegram-Moderation-d48f4a03eeb149ffbd2c422fc849e06f?pvs=21), MWG - marketing sprint (https://www.notion.so/MWG-marketing-sprint-378c00d2f092485cac265405d271414f?pvs=21), ""Leads Scoring System"" Discussion (https://www.notion.so/Leads-Scoring-System-Discussion-b2241d7c5cbd4a26bab4701aa151a941?pvs=21), Warm up community metrics (https://www.notion.so/Warm-up-community-metrics-db4fea32286643bbbfa47173121e9610?pvs=21), Meeting Notes Template (https://www.notion.so/Meeting-Notes-Template-6b2ca5379c074eb09ee05b1ac0a6a38c?pvs=21), Salaries alignment for SP and DP workers (https://www.notion.so/Salaries-alignment-for-SP-and-DP-workers-304c4b1d93ce43dd82f6d3a28bac2a35?pvs=21), Financial limits (https://www.notion.so/Financial-limits-079739351e51423897d8fbeb1ae78f24?pvs=21), Server cost compensation (https://www.notion.so/Server-cost-compensation-0af93fe94d204ac19116187af4f6b987?pvs=21)",21.74 + 556.33 $JOY / $34.7,,,,,,,,,"Untitled (https://www.notion.so/ce68d564c6654457b0c6a8f5cde910a0?pvs=21), Untitled (https://www.notion.so/1a0203f2b1234bf884d1e2824c3c307f?pvs=21), Untitled (https://www.notion.so/1370b52cea3d468495a76c5ed9ca566b?pvs=21), Untitled (https://www.notion.so/9650be9bdd6044329b1cb264a4a7aa16?pvs=21), Untitled (https://www.notion.so/825c6455c40e4393bd98dbbf8d4f7118?pvs=21), Untitled (https://www.notion.so/1973d72899f24c7b89a385d39cae5f11?pvs=21), Untitled (https://www.notion.so/444a5354835e42bab70133eef87d99d4?pvs=21), Untitled (https://www.notion.so/a6a9ea3583dd4ee99e23bea730646ea9?pvs=21), Untitled (https://www.notion.so/9176c0c94aa44a92b0a2ed02f85716c1?pvs=21), Untitled (https://www.notion.so/3dbe0f019bb64634b496526e6b1cbac7?pvs=21), Untitled (https://www.notion.so/42da6c854dbf42188879cf3d61618000?pvs=21)","Untitled (https://www.notion.so/11bcb3cbae1344ed9a27a521c7cadf32?pvs=21), Untitled (https://www.notion.so/158013451fe64d47b722926256163116?pvs=21), Untitled (https://www.notion.so/1b698a2d4b824484b6c54be725f97b5e?pvs=21), Untitled (https://www.notion.so/49fa556f9d184bfc998429e8228aeb36?pvs=21), Untitled (https://www.notion.so/4de2af3db4c44a4a9d78e54237033919?pvs=21), Untitled (https://www.notion.so/522d21c95d1e46a6afa4142b271004f4?pvs=21), Untitled (https://www.notion.so/a308038f8978400c85d5b98fc385caea?pvs=21), Untitled (https://www.notion.so/a7d4d20ae5444f9e800c1bac4fb7354f?pvs=21), Untitled (https://www.notion.so/dc1f5bd993524a279ced73ac076d8b83?pvs=21), Untitled (https://www.notion.so/e49500d5bc8f4000b7fc574b1c104c65?pvs=21), Untitled (https://www.notion.so/e88f4c8a3e50440988b9cc8bbfd9e586?pvs=21)"
