"Objects size, MB",Bag ID,ObjectNumber,"Objects size, average, MB"
"14,8",2296,2,"7,4"
"0,1",2008,2,"0,1"
"2406,3",2145,94,"25,6"
"0,0",2316,1,"0,0"
"0,0",2304,2,"0,0"
"19821,6",2068,44,"450,5"
"132,9",2169,7,"19,0"
"352,1",2342,4,"88,0"
"188,0",2309,4,"47,0"
"253,9",2043,7,"36,3"
"87,6",2052,4,"21,9"
"0,2",2190,2,"0,1"
"1138,0",2263,20,"56,9"
"13509,2",2001,114,"118,5"
"40,2",2076,6,"6,7"
"0,1",2013,2,"0,0"
"52,9",2193,9,"5,9"
"0,1",2010,2,"0,0"
"11863,9",2206,168,"70,6"
"337,1",2056,14,"24,1"
"0,0",2281,0,#DIV/0!
"490,1",2317,4,"122,5"
"9609,7",2086,94,"102,2"
"6827,8",2050,34,"200,8"
"636,6",2141,40,"15,9"
"1951,3",2151,5,"390,3"
"190,0",2143,5,"38,0"
"8602,3",2071,13,"661,7"
"4714,5",2189,80,"58,9"
"26,5",2334,4,"6,6"
"14,5",2325,4,"3,6"
"0,1",2329,2,"0,0"
"207,3",2120,6,"34,5"
"5,6",2311,4,"1,4"
"32119,9",2112,66,"486,7"
"39,7",2332,6,"6,6"
"0,3",2306,2,"0,1"
"2109,3",2069,9,"234,4"
"189,6",2294,3,"63,2"
"3469,4",2171,28,"123,9"
"3718,4",2225,12,"309,9"
"1228,5",2040,4,"307,1"
"110,4",2030,4,"27,6"
"22,6",2124,8,"2,8"
"10,0",2251,2,"5,0"
"162,3",2041,4,"40,6"
"0,1",2009,2,"0,0"
"246,4",2312,2,"123,2"
"8980,2",2061,50,"179,6"
"5,5",2276,2,"2,7"
"157,9",2277,22,"7,2"
"677,0",2022,53,"12,8"
"0,0",2256,0,#DIV/0!
"0,0",2314,0,#DIV/0!
"27,5",2114,4,"6,9"
"26,5",2336,4,"6,6"
"748,3",2177,14,"53,4"
"4394,7",2157,32,"137,3"
"154,8",2221,6,"25,8"
"11,0",2321,4,"2,7"
"26,5",2335,4,"6,6"
"3157,1",2111,38,"83,1"
"2118,7",2021,26,"81,5"
"59,8",2167,4,"14,9"
"0,0",2231,2,"0,0"
"13,2",2228,2,"6,6"
"3664,9",2271,60,"61,1"
"7710,9",2098,128,"60,2"
"1699,8",2130,6,"283,3"
"193,0",2117,5,"38,6"
"2540,3",2161,18,"141,1"
"7,3",2216,2,"3,6"
