Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,Score Type,Deadline [block],Proposal Required?,Score Status
Notification Score,Forum,NOTIFICATION_SCORE,0,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#notification_score,,Forum Score (Council%206/Council%20Period%206/Forum%20Score%201e813832d399406cae5bc661d0fed782.md),"Grade, Spot Check",,,,Ready for review
Testing,Builders,TESTING_SCORE,0.2,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#testing_score,,Builder Score (Council%206/Council%20Period%206/Builder%20Score%20b1cb26ff0c95494298f594c5c9f29bbe.md),"Grade, Spot Check, Subscore",,,,Ready for review
Permanent Data Object Loss,Storage,,0,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#permanent-data-object-loss,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,,Ready for review
Pioneer Development,Builders,PIONEER_DEVELOPMENT_SCORE,0.5,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#pioneer_development_score,,Builder Score (Council%206/Council%20Period%206/Builder%20Score%20b1cb26ff0c95494298f594c5c9f29bbe.md),"Grade, Spot Check, Subscore",,,,Ready for review
General Development,Builders,GENERAL_DEVELOPMENT_SCORE,0.5,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#general_development_score,,Builder Score (Council%206/Council%20Period%206/Builder%20Score%20b1cb26ff0c95494298f594c5c9f29bbe.md),"Grade, Spot Check, Subscore",,,,Ready for review
WG Opportunities,HR,WORKER_OPPORTUNITIES_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%200b306de549b5431e9ce42d7d2adf1e7d.md),"Grade, Spot Check, Subscore",,,,Ready for review
Moderation Score,Forum,MODERATION_SCORE,0,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#moderation_score,,Forum Score (Council%206/Council%20Period%206/Forum%20Score%201e813832d399406cae5bc661d0fed782.md),"Grade, Spot Check",,,,Ready for review
Incorrect Reporting,Storage,,0,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#incorrect-reporting,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,,Ready for review
WG Opportunities,Storage,WORKER_OPPORTUNITIES_SCORE,0.333,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,"General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%206b48105ef7354c25bedd5816712f009c.md), General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%206caa3f7d533344aeb72a5c71c830c1d1.md)","Grade, Spot Check, Subscore",Subscore,,,Ready for review
Upgrading non-Jsgesnesis runtime,Council,,0,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#upgrading-non-jsgenesis-runtime,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,,Ready for review
On chain Budget and Opening proposals without JOY equivalent,Council,,0,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#on-chain-budget-and-opening-proposals-without-joy-equivalent,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,,Ready for review
Featured Content Unplayable,Content,,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#featured-content-unplayable,,Content Score (Council%206/Council%20Period%206/Content%20Score%20c634a6221d584e519cb09f82dfd95a0a.md),"Catastrophic Errors, Grade, Spot Check",,,,Ready for review
Block time too low,Council,,0,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#block-time-too-low,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,,Ready for review
Missed runtime upgrade,Council,,0,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#missed-runtime-upgrade,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,,Ready for review
Inadequate Report,HR,,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#inadequate-report,,,"Catastrophic Errors, Grade, Spot Check",,,,Ready for review
Missing Judgement,HR,,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#catastrophic-errors,,,"Catastrophic Errors, Grade, Spot Check",,,,Ready for review
Member Faucet Empty,Council,,0,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#member-faucet-empty,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,,Ready for review
Total $tJOY exceeds tJOY_BUDGET,Council,,0,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#total-tjoy-exceeds-tjoy_budget,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,,Ready for review
No available sources for data object,Distributors,,0,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/distributors-score.md#catastrophic-errors,,,"Catastrophic Errors, Grade, Spot Check, Subscore",Subscore,,,Ready for review
Logging does not occur,Content,,1,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#catastrophic-errors,,Content Score (Council%206/Council%20Period%206/Content%20Score%20c634a6221d584e519cb09f82dfd95a0a.md),"Catastrophic Errors, Grade, Spot Check",,,,Ready for review
Total Breaches of Policy,Content,TOTAL_BREACHES_OF_POLICY,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,,Moderation Score (Council%206/Council%20Period%206/Moderation%20Score%20ab9972a0b74d41a38deb45c4f134540f.md),"Catastrophic Errors, Grade, Spot Check",,,,Ready for review
Failure to apply moderation rules,Content,,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#failure-to-apply-moderation-rules,,Content Score (Council%206/Council%20Period%206/Content%20Score%20c634a6221d584e519cb09f82dfd95a0a.md),"Catastrophic Errors, Grade, Spot Check",,,,Ready for review
Violation of Content Policy,Forum,,0,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#catastrophic-errors,,,Catastrophic Errors,,,,Ready for review
Research,Distributors,RESEARCH_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#research_score,"Default Logging (Council%206/Council%20Period%206/Default%20Logging%20a3727b92c8364e03a2457e5d507665a9.md), Elastic Logging (Council%206/Council%20Period%206/Elastic%20Logging%2071a5dc7dd3d443e18e5c2b1bdabca722.md), Performance Logging (Council%206/Council%20Period%206/Performance%20Logging%206ff22cba4331423986d0fe4cc6379eab.md)",Distributor Score (Council%206/Council%20Period%206/Distributor%20Score%20998f4998e98247aab958933b3ca7bd9e.md),,Main Score,,,Ready for review
Categories Score,Content,CATEGORIES_SCORE,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,Featuring Score (Council%206/Council%20Period%206/Featuring%20Score%20e5fdb9760821428b9d22101f632e5a00.md),,,,,Ready for review
Response Score,Content,RESPONSE_SCORE,1,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,,Moderation Score (Council%206/Council%20Period%206/Moderation%20Score%20ab9972a0b74d41a38deb45c4f134540f.md),,,,,Ready for review
HR Report,HR,REPORT_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#report_score,,HR Score (Council%206/Council%20Period%206/HR%20Score%209fd43cc681f94368a75567de8fb0b903.md),,Subscore,651600,,Ready for review
Interaction Logging Score,HR,INTERACTION_LOGGING_SCORE,0.333,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#interaction_logging_score,,HR Score (Council%206/Council%20Period%206/HR%20Score%209fd43cc681f94368a75567de8fb0b903.md),,Subscore,,,Ready for review
Hero Score,Content,HERO_SCORE,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,Featuring Score (Council%206/Council%20Period%206/Featuring%20Score%20e5fdb9760821428b9d22101f632e5a00.md),,,,,Ready for review
Bounty Score,HR,BOUNTY_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#bounty_score,,HR Score (Council%206/Council%20Period%206/HR%20Score%209fd43cc681f94368a75567de8fb0b903.md),,Subscore,,,Ready for review
WG Summary,Content,SUMMARY_SCORE,0.75,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%20941ec7ffee524ac9b25a6b23fc214473.md),,,651600,,Ready for review
Moderation Score,Content,MODERATION_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#moderation_score,"Response Score (Council%206/Council%20Period%206/Response%20Score%2025e7759d666b4908a285803f59a764c6.md), Total Breaches of Policy (Council%206/Council%20Period%206/Total%20Breaches%20of%20Policy%20d18b937d40f145818427267adb79990f.md)",Content Score (Council%206/Council%20Period%206/Content%20Score%20c634a6221d584e519cb09f82dfd95a0a.md),,,,,Ready for review
Featuring Score,Content,FEATURING_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#featuring_score,"Logging Score (Council%206/Council%20Period%206/Logging%20Score%20b2d42ac0fd2446cb9a5d8bde5c57a602.md), Hero Score (Council%206/Council%20Period%206/Hero%20Score%20fff11cb0de1846cf8ec47413ffd1e217.md), Categories Score (Council%206/Council%20Period%206/Categories%20Score%201a451abccade4681854d011b19201ee5.md)",Content Score (Council%206/Council%20Period%206/Content%20Score%20c634a6221d584e519cb09f82dfd95a0a.md),,Subscore,,,Ready for review
Response Time,HR,RESPONSE_TIME_SCORE,0.922,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#response_time_score,,HR Score (Council%206/Council%20Period%206/HR%20Score%209fd43cc681f94368a75567de8fb0b903.md),,Subscore,,,Ready for review
Logging Score,Content,LOGGING_SCORE,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,Featuring Score (Council%206/Council%20Period%206/Featuring%20Score%20e5fdb9760821428b9d22101f632e5a00.md),,,,,Ready for review
Person Logging Score,HR,PERSON_LOGGING_SCORE,0.8,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#person_logging_score,,HR Score (Council%206/Council%20Period%206/HR%20Score%209fd43cc681f94368a75567de8fb0b903.md),,Subscore,,,Ready for review
