Name,Attributes,Builder Weight,Content Weight,Deadline [block],Deadline timestamp,Distributor Weight,Forum Link,Forum Post Required?,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Proposal Link,Proposal Required?,Reports Gathered,Score,Score Notes,Score Status,Score Type,Scoring Weights,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [date/time],Subscores,Summary Weight,Summary Weight link
Incorrect Reporting,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,Storage,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#incorrect-reporting,,,,,,,,,,,,,,,No,0,,Ready for review,Subscore,,No,,,,,,
Content Score,Composite Grade,4,2,,,3,,,,0,CONTENT_SCORE,Content,4,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,1,1,0,0,,,,Network Performance Score (Council%206/Council%20Period%206/Network%20Performance%20Score%207a748a829e6b470392b267f1d974c1de.md),1,,2,4,,,No,0.188,,Ready for review,,Council 6 (Council%206%2089067a983ab549d79c8ff0d43bab97f0.md),No,3,,,"General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%20941ec7ffee524ac9b25a6b23fc214473.md), Content Report (Council%206/Council%20Period%206/Content%20Report%209a4aecf26fd84c2ab47901fe04b7e109.md), Featuring Score (Council%206/Council%20Period%206/Featuring%20Score%20e5fdb9760821428b9d22101f632e5a00.md), Moderation Score (Council%206/Council%20Period%206/Moderation%20Score%20ab9972a0b74d41a38deb45c4f134540f.md), Logging does not occur (Council%206/Council%20Period%206/Logging%20does%20not%20occur%206147698f7fa24147a3f1a059050e4a8a.md), Featured Content Unplayable (Council%206/Council%20Period%206/Featured%20Content%20Unplayable%2070eed3a4a1724ab181799138f8de6ef2.md), Failure to apply moderation rules (Council%206/Council%20Period%206/Failure%20to%20apply%20moderation%20rules%20d4266bf9b2774306b675dd75b0fb08b4.md)",,1
WG Opportunities,"Grade, Spot Check, Subscore",,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,,,,,20%,"General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%206b48105ef7354c25bedd5816712f009c.md), General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%206caa3f7d533344aeb72a5c71c830c1d1.md)",,,,,,,No,0.333,,Ready for review,Subscore,,No,,,,,,
General WG Score,Composite Grade,,,,,,,,,,GENERAL_WG_SCORE,HR,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,,,,,,,,HR Score (Council%206/Council%20Period%206/HR%20Score%209fd43cc681f94368a75567de8fb0b903.md),,,,,,,No,0.933,,Ready for review,,,No,,,,"WG Period Plan (Council%206/Council%20Period%206/WG%20Period%20Plan%202443e48a1b3e4bdd8b4509ec2dd59409.md), WG Summary (Council%206/Council%20Period%206/WG%20Summary%20f4deab3bfe264de9a1f85cf620641610.md), WG Opportunities (Council%206/Council%20Period%206/WG%20Opportunities%20fadd7728fe974ba686b4b25fdb5de384.md)",,
Builders Report,"Document, Forum Post, Grade, Subscore",,,651600,1651984230000,,https://dao.joystream.org/#/forum/thread/100,,,,REPORT_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score,,,,,,,,Builder Score (Council%206/Council%20Period%206/Builder%20Score%20b1cb26ff0c95494298f594c5c9f29bbe.md),,,,,,,No,0.95,,Ready for review,,,No,,,,,,
Marketing Score,Composite Grade,4,2,,,3,,,,0,MARKETER_SCORE,Marketing,4,,1,1,0,0,,,,,1,,2,4,,,No,0,,Ready for review,,Council 6 (Council%206%2089067a983ab549d79c8ff0d43bab97f0.md),No,3,,,,,1
Performance Logging,"Document, Grade",,,,,,,,,,PERFORMANCE_LOGGING,Distributors,,,,,,,,,,Research (Council%206/Council%20Period%206/Research%20f1148177ee474cc4994ab65abe4b7f5f.md),,,,,,,No,0,No Submission found (at all),Ready for review,Subscore,,No,,,,,,
Total Breaches of Policy,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,TOTAL_BREACHES_OF_POLICY,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,,,,,,,,Moderation Score (Council%206/Council%20Period%206/Moderation%20Score%20ab9972a0b74d41a38deb45c4f134540f.md),,,,,,,No,0,,Ready for review,,,No,,,,,,
Logging does not occur,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#catastrophic-errors,,,,,,,,Content Score (Council%206/Council%20Period%206/Content%20Score%20c634a6221d584e519cb09f82dfd95a0a.md),,,,,,,No,1,,Ready for review,,,No,,,,,,
General WG Score,Composite Grade,,,,,,,,,,GENERAL_WG_SCORE,Storage,,,,,,,,,,Storage Score (Council%206/Council%20Period%206/Storage%20Score%2081b017cd1afa4f8b9ceebde3f66d7d6a.md),,,,,,,No,0.144,,Ready for review,Main Score,,No,,,,"WG Summary (Council%206/Council%20Period%206/WG%20Summary%201906dee7d5214c299f1c9e22e349f446.md), WG Period Plan (Council%206/Council%20Period%206/WG%20Period%20Plan%200e58076498024e42b34a83c429eccc6b.md), WG Opportunities (Council%206/Council%20Period%206/WG%20Opportunities%20eee5b6fa12184c52b7b2cedae24af87a.md)",,
General WG Score,Composite Grade,,,,,,,,,,GENERAL_WG_SCORE,Builders,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,,,,,,,,Builder Score (Council%206/Council%20Period%206/Builder%20Score%20b1cb26ff0c95494298f594c5c9f29bbe.md),,,,,,,No,0.967,,Ready for review,,,No,,,,"WG Period Plan (Council%206/Council%20Period%206/WG%20Period%20Plan%2016ae432bac6a4db7ab0d13f0df9858b6.md), WG Summary (Council%206/Council%20Period%206/WG%20Summary%209415fffb9aa14c7e8e939ea801aaca3d.md), WG Opportunities (Council%206/Council%20Period%206/WG%20Opportunities%20eee5b6fa12184c52b7b2cedae24af87a.md)",,
Moderation Score,,,,,,,,,,,MODERATION_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#moderation_score,,,,,,,,Content Score (Council%206/Council%20Period%206/Content%20Score%20c634a6221d584e519cb09f82dfd95a0a.md),,,,,,,No,1,,Ready for review,,,No,,,,"Response Score (Council%206/Council%20Period%206/Response%20Score%2025e7759d666b4908a285803f59a764c6.md), Total Breaches of Policy (Council%206/Council%20Period%206/Total%20Breaches%20of%20Policy%20d18b937d40f145818427267adb79990f.md)",,
Featuring Score,,,,,,,,,,,FEATURING_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#featuring_score,,,,,,,,Content Score (Council%206/Council%20Period%206/Content%20Score%20c634a6221d584e519cb09f82dfd95a0a.md),,,,,,,No,0,,Ready for review,Subscore,,Yes,,,,"Logging Score (Council%206/Council%20Period%206/Logging%20Score%20b2d42ac0fd2446cb9a5d8bde5c57a602.md), Hero Score (Council%206/Council%20Period%206/Hero%20Score%20fff11cb0de1846cf8ec47413ffd1e217.md), Categories Score (Council%206/Council%20Period%206/Categories%20Score%201a451abccade4681854d011b19201ee5.md)",,
Bounty Score,,,,,,,,,,,BOUNTY_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#bounty_score,,,,,,,,HR Score (Council%206/Council%20Period%206/HR%20Score%209fd43cc681f94368a75567de8fb0b903.md),,,,,,,No,1,,Ready for review,Subscore,,Yes,,,,,,
Thumbnails,"Grade, Spot Check, Subscore",,,,,,,,,,THUMBNAIL_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#thumbnail_score,,,,,,,,Distributor Score (Council%206/Council%20Period%206/Distributor%20Score%20998f4998e98247aab958933b3ca7bd9e.md),,,,,,,No,1,,Ready for review,Main Score,,No,,,,,,
WG Summary,,,,651600,1651984230000,,https://dao.joystream.org/#/forum/thread/97,,https://dao.joystream.org/#/forum/category/11,,SUMMARY_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,,,,"Report 01.05.2022-07.05.2022 (https://www.notion.so/Report-01-05-2022-07-05-2022-e99c190ec59d409fb5208984dc55a565?pvs=21) ",,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%20941ec7ffee524ac9b25a6b23fc214473.md),,,,,,,Yes,0.75,,Ready for review,,,No,,633542,"May 7, 2022 6:02 AM (GMT+1)",,,
Moderation Score,"Grade, Spot Check",,,,,,,,,,MODERATION_SCORE,Forum,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#moderation_score,,,,,,,,Forum Score (Council%206/Council%20Period%206/Forum%20Score%201e813832d399406cae5bc661d0fed782.md),,,,,,,No,0,,Ready for review,,,No,,,,,,
No available sources for data object,"Catastrophic Errors, Grade, Spot Check, Subscore",,,,,,,,,,,Distributors,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/distributors-score.md#catastrophic-errors,,,,,,,,,,,,,,,No,0,,Ready for review,Subscore,,No,,,,,,
Default Logging,"Document, Grade",,,,,,,,,,PERFORMANCE_LOGGING,Storage,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#research_score,,,,,,,,Research (Council%206/Council%20Period%206/Research%20ed26b8a330bc4fbdb6af88162c2d9328.md),,,,,,,No,0,No Submission found (at all),Ready for review,Subscore,,No,,,,,,
Distributor Score,Composite Grade,4,2,,,3,,,,0,DISTRIBUTOR_SCORE,Distributors,4,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,1,1,0,0,,,,Network Performance Score (Council%206/Council%20Period%206/Network%20Performance%20Score%207a748a829e6b470392b267f1d974c1de.md),1,,2,4,,,No,0.609,,Ready for review,Main Score,Council 6 (Council%206%2089067a983ab549d79c8ff0d43bab97f0.md),No,3,,,"Distributors Report (Council%206/Council%20Period%206/Distributors%20Report%208618f73fda00416383f9103effc8cd8b.md), General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%207b052f9c6c404526a0fd70a7b0f34877.md), Thumbnails (Council%206/Council%20Period%206/Thumbnails%2040b496bf22c740c1bfa1828c67a7b2b5.md), Research (Council%206/Council%20Period%206/Research%20f1148177ee474cc4994ab65abe4b7f5f.md), Service score (Council%206/Council%20Period%206/Service%20score%20c706e5a98e6c43c0b75f8ff1375b4177.md)",,1
WG Summary,"Document, Forum Post, Grade, Subscore",,,651600,1651984230000,,,,,,SUMMARY_SCORE,Forum,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,,,,,,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%2075ed452e94134129ab3efe4fe38feb3b.md),,,,,,,Yes,0,,Ready for review,,,No,,,,,,
WG Opportunities,"Grade, Spot Check, Subscore",,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,,,,,20%,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%200b306de549b5431e9ce42d7d2adf1e7d.md),,,,,,,No,1,,Ready for review,,,No,,,,,,
Forum Report,"Document, Forum Post, Grade, Subscore",,,651600,1651984230000,,,,,,REPORT_SCORE,Forum,,,,,,,,,,Forum Score (Council%206/Council%20Period%206/Forum%20Score%201e813832d399406cae5bc661d0fed782.md),,,,,,,No,0,,Ready for review,,,No,,,,,,
WG Summary,"Document, Forum Post, Grade, Subscore",,,651600,1651984230000,,https://dao.joystream.org/#/forum/thread/100,,https://dao.joystream.org/#/forum/category/12,,SUMMARY_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,,,,"👷🏽‍♂️Builders Term 6 (May1 - May 8, 2022) (https://www.notion.so/Builders-Term-6-May1-May-8-2022-366ffb03f65746a09552d74ad4a18203?pvs=21) ",,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%206caa3f7d533344aeb72a5c71c830c1d1.md),,,,,https://dao.joystream.org/#/proposals/preview/160,,Yes,1,,Ready for review,,,No,,653006,,,,
Content Report,Forum Post,,,651600,1651984230000,,https://dao.joystream.org/#/forum/thread/97,Yes,,,REPORT_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#report_score,,,,,,,,Content Score (Council%206/Council%20Period%206/Content%20Score%20c634a6221d584e519cb09f82dfd95a0a.md),,,,,,,Yes,0.2,,Ready for review,Subscore,,Yes,,633542,,,,
WG Period Plan,"Document, Forum Post, Grade, Subscore",,,571200,,,,,,,PLAN_SCORE,Forum,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,,,,,,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%2075ed452e94134129ab3efe4fe38feb3b.md),,,,,,,Yes,0,,Ready for review,,,No,,,,,,
Hero Score,,,,,,,,,,,HERO_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,,,,,,,Featuring Score (Council%206/Council%20Period%206/Featuring%20Score%20e5fdb9760821428b9d22101f632e5a00.md),,,,,,,No,0,,Ready for review,,,No,,,,,,
General WG Score,Composite Grade,,,,,,,,,,GENERAL_WG_SCORE,Distributors,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,,,,,,,,Distributor Score (Council%206/Council%20Period%206/Distributor%20Score%20998f4998e98247aab958933b3ca7bd9e.md),,,,,,,No,0.144,,Ready for review,Main Score,,No,,,,"WG Period Plan (Council%206/Council%20Period%206/WG%20Period%20Plan%207241843a3f954573a193c500791c1d40.md), WG Summary (Council%206/Council%20Period%206/WG%20Summary%20aa861084435b42eebadb13a0886e3a93.md), WG Opportunities (Council%206/Council%20Period%206/WG%20Opportunities%20ee54c95f56f24b0e9778d4aaf3d16c27.md)",,
Total $tJOY exceeds tJOY_BUDGET,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#total-tjoy-exceeds-tjoy_budget,,,,,,,,,,,,,,,No,0,,Ready for review,Subscore,,No,,,,,,
WG Summary,"Document, Forum Post, Grade, Subscore",,,651600,1651984230000,,Not Found,Yes,,,SUMMARY_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,,,,,,,General WG Score (Council%206/Council%20Period%206/General%20WG%20Score%206b48105ef7354c25bedd5816712f009c.md),,,,,,,No,0.1,,Ready for review,Subscore,,No,,,,,,
Member Faucet Empty,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#member-faucet-empty,,,,,,,,,,,,,,,No,0,,Ready for review,Subscore,,No,,,,,,
General WG Score,Composite Grade,,,,,,,,,,GENERAL_WG_SCORE,Forum,,,,,,,,,,Forum Score (Council%206/Council%20Period%206/Forum%20Score%201e813832d399406cae5bc661d0fed782.md),,,,,,,No,,,Ready for review,,,No,,,,"WG Period Plan (Council%206/Council%20Period%206/WG%20Period%20Plan%20a9ced0c3072b4fc9b0d46210900d7de6.md), WG Summary (Council%206/Council%20Period%206/WG%20Summary%20ac6b8630577a456d9a6bf074d4489f12.md), WG Opportunities (Council%206/Council%20Period%206/WG%20Opportunities%20e1d123db156744cebaafb38fb1ec346a.md)",,
General Development,"Grade, Spot Check, Subscore",,,,,,,,,,GENERAL_DEVELOPMENT_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#general_development_score,,,,,,,,Builder Score (Council%206/Council%20Period%206/Builder%20Score%20b1cb26ff0c95494298f594c5c9f29bbe.md),,,,,,,No,0.5,,Ready for review,,,No,,,,,,
