Name,Assignee,Last Updated,Last edited time,Parent item,Progress,Quarter,Roadmap,Status,Sub-item
KR-4.8 [Marketing] Achieve a 20% increase in total social media impressions compared to the previous quarter,Marketing WG,"March 8, 2024","June 18, 2024 6:11 PM",[2024 Q1] O-1-4 Enhance Joystream user adoption (OKRs/Joystream%20OKRs/%5B2024%20Q1%5D%20O-1-4%20Enhance%20Joystream%20user%20adoption%2075392c72ed28482d8332b627024d3776.md),◾️◾️◾️◾️◾️◾️◽️◽️◽️◽️60%,Q3 2023,,On track ✅,
KR 4.9 [Content] At least 5 gold+ tier creators have created a creator token,Content WG,"March 7, 2024","June 18, 2024 6:11 PM",[2024 Q1] O-1-4 Enhance Joystream user adoption (OKRs/Joystream%20OKRs/%5B2024%20Q1%5D%20O-1-4%20Enhance%20Joystream%20user%20adoption%2075392c72ed28482d8332b627024d3776.md),◽️◽️◽️◽️◽️◽️◽️◽️◽️◽️ 0%,Q3 2023,,Postponed,
[2024 Q2] DAO,,,"June 18, 2024 6:49 PM",,,,,,"O1: Grow market capitalisation (OKRs/Joystream%20OKRs/O1%20Grow%20market%20capitalisation%203c0ea4ec0a004d9fba56e42e7bf01c2d.md), O2: Strive for product-market fit (OKRs/Joystream%20OKRs/O2%20Strive%20for%20product-market%20fit%20fb4bb3d38df54276b62685691027393e.md)"
KR2.1: NPS ≥ 7,,,"June 18, 2024 6:48 PM",O2: Strive for product-market fit (OKRs/Joystream%20OKRs/O2%20Strive%20for%20product-market%20fit%20fb4bb3d38df54276b62685691027393e.md),,,,,
KR2.2: MAU and DAU to increase by 30%,,,"June 18, 2024 6:48 PM",O2: Strive for product-market fit (OKRs/Joystream%20OKRs/O2%20Strive%20for%20product-market%20fit%20fb4bb3d38df54276b62685691027393e.md),,,,,
KR2.3: Average session duration increase by 30%,,,"June 18, 2024 6:49 PM",O2: Strive for product-market fit (OKRs/Joystream%20OKRs/O2%20Strive%20for%20product-market%20fit%20fb4bb3d38df54276b62685691027393e.md),,,,,
KR2.4: Avg session number per user per month by 30%,,,"June 18, 2024 6:49 PM",O2: Strive for product-market fit (OKRs/Joystream%20OKRs/O2%20Strive%20for%20product-market%20fit%20fb4bb3d38df54276b62685691027393e.md),,,,,
KR2.5: 30D retention rate increased by 30%,,,"June 18, 2024 6:49 PM",O2: Strive for product-market fit (OKRs/Joystream%20OKRs/O2%20Strive%20for%20product-market%20fit%20fb4bb3d38df54276b62685691027393e.md),,,,,
[2024 Q2] Builders WG,,,"June 20, 2024 11:02 AM",,,,,,"O1: Grow market capitalisation (OKRs/Joystream%20OKRs/O1%20Grow%20market%20capitalisation%20a3f6a97899fb43f2914d14dd7ffd9d55.md), O2: Strive for product-market fit (OKRs/Joystream%20OKRs/O2%20Strive%20for%20product-market%20fit%20ff7ae9f91760474c82171a1515e2caac.md), O3: Efficiency (OKRs/Joystream%20OKRs/O3%20Efficiency%20adb00086721a42cbaa4abc9c6de5af42.md)"
[2024 Q2] Marketing WG,,,"June 20, 2024 10:07 AM",,,,,,"O1:  The MCAP vs Benchmark group grew by 50% by the end of the quarter (CMC). (OKRs/Joystream%20OKRs/O1%20The%20MCAP%20vs%20Benchmark%20group%20grew%20by%2050%25%20by%20the%20%20047e6ba1221644daa96fe013c933a922.md), O2: Get not less than 100 M JOY transaction volume on all CRTs. (OKRs/Joystream%20OKRs/O2%20Get%20not%20less%20than%20100%20M%20JOY%20transaction%20volume%20%20886a566ba4d4423aa8f47d2bffa63bbc.md), O3: MAU and DAU increased by 30%. (OKRs/Joystream%20OKRs/O3%20MAU%20and%20DAU%20increased%20by%2030%25%20f5d07ae46b4b4cbba55b946c9869593f.md)"
[2024 Q2] Distributors WG,Distributor WG,,"June 20, 2024 10:51 AM",,,,,,"O1: Provide quality values for bandwidth and latency (TTFB) accross geographical regions for which we are having sufficient traffic, keeping the cost of operation minimal. (OKRs/Joystream%20OKRs/O1%20Provide%20quality%20values%20for%20bandwidth%20and%20latenc%20a29a1fff7dd446a8b3c3a4cc0eb4f2c8.md)"
[2024 Q2] Storage WG,,,"June 18, 2024 6:41 PM",,,,,," KR1.1: Maintain percentage of lost objects 0% (OKRs/Joystream%20OKRs/KR1%201%20Maintain%20percentage%20of%20lost%20objects%200%25%20d5a4e434c2414105bcf648e9f1ea7011.md), KR1.2: Maintain percentage of unaccepted objects < 2% (OKRs/Joystream%20OKRs/KR1%202%20Maintain%20percentage%20of%20unaccepted%20objects%202%25%20380039a55eb84fe89657789ef8d84f55.md), KR1.3: Maintain a replication rate of not lower 2 for all objects (OKRs/Joystream%20OKRs/KR1%203%20Maintain%20a%20replication%20rate%20of%20not%20lower%202%20f%209e7d46d216174d58a3637d287220923b.md),  KR1.4: Maintain a storage objects availability of 100% (OKRs/Joystream%20OKRs/KR1%204%20Maintain%20a%20storage%20objects%20availability%20of%201%20cc09860cee47410584749d6e14871786.md)"
[2024 Q2] Content WG,,,"June 18, 2024 6:44 PM",,,,,,"O1: Grow market capitalisation (OKRs/Joystream%20OKRs/O1%20Grow%20market%20capitalisation%20b09e5272d90b41938a4d094f62a26e31.md), O2: Strive for product-market fit (OKRs/Joystream%20OKRs/O2%20Strive%20for%20product-market%20fit%20e11d276a3424466bb20f3542e3051eb6.md)"
O1: Grow market capitalisation,,,"June 18, 2024 6:40 PM",[2024 Q2] Builders WG (OKRs/Joystream%20OKRs/%5B2024%20Q2%5D%20Builders%20WG%205e131b2c0ded485b949cbbb943d7a0bd.md),,,,,KR1.1: Deliver Argo Ethereum bridge. (OKRs/Joystream%20OKRs/KR1%201%20Deliver%20Argo%20Ethereum%20bridge%207fb34c00391841318e4697277bf98f58.md)
O2: Strive for product-market fit,,,"June 18, 2024 6:40 PM",[2024 Q2] Builders WG (OKRs/Joystream%20OKRs/%5B2024%20Q2%5D%20Builders%20WG%205e131b2c0ded485b949cbbb943d7a0bd.md),,,,,KR2.1: Deliver Metamask support for Atlas and Pioneer. (OKRs/Joystream%20OKRs/KR2%201%20Deliver%20Metamask%20support%20for%20Atlas%20and%20Pione%207218b0ce9d394adca21a2e901310ff17.md)
O3: Efficiency,,,"June 18, 2024 6:49 PM",[2024 Q2] Builders WG (OKRs/Joystream%20OKRs/%5B2024%20Q2%5D%20Builders%20WG%205e131b2c0ded485b949cbbb943d7a0bd.md),,,,,"KR3.1: Deliver S3 support and archival mode support for storage node to drive costs down. (OKRs/Joystream%20OKRs/KR3%201%20Deliver%20S3%20support%20and%20archival%20mode%20support%209e1f425f4eba4bac969a4c3b1897be49.md), KR3.2: Deliver improvements to the report tool (CRT metrics) (OKRs/Joystream%20OKRs/KR3%202%20Deliver%20improvements%20to%20the%20report%20tool%20(CRT%2056993cfd197d49c190da806c392ee938.md)"
KR1.1: Deliver Argo Ethereum bridge.,"Builders WG, Council, Marketing WG",,"June 20, 2024 11:02 AM",O1: Grow market capitalisation (OKRs/Joystream%20OKRs/O1%20Grow%20market%20capitalisation%20a3f6a97899fb43f2914d14dd7ffd9d55.md),◾️◾️◾️◾️◾️◾️◾️◾️◽️◽️80%,,,At risk ⚠️,
KR2.1: Deliver Metamask support for Atlas and Pioneer.,Builders WG,,"June 20, 2024 11:02 AM",O2: Strive for product-market fit (OKRs/Joystream%20OKRs/O2%20Strive%20for%20product-market%20fit%20ff7ae9f91760474c82171a1515e2caac.md),◾️◾️◾️◾️◾️◾️◾️◾️◽️◽️80%,,,On track ✅,
KR3.1: Deliver S3 support and archival mode support for storage node to drive costs down.,Builders WG,,"June 20, 2024 11:05 AM",O3: Efficiency (OKRs/Joystream%20OKRs/O3%20Efficiency%20adb00086721a42cbaa4abc9c6de5af42.md),◾️◾️◾️◾️◾️◾️◾️◾️◽️◽️80%,,,At risk ⚠️,
KR3.2: Deliver improvements to the report tool (CRT metrics),Builders WG,,"June 20, 2024 11:07 AM",O3: Efficiency (OKRs/Joystream%20OKRs/O3%20Efficiency%20adb00086721a42cbaa4abc9c6de5af42.md),◾️◾️◾️◾️◾️◾️◾️◾️◾️◽️90%,,,On track ✅,
O1:  The MCAP vs Benchmark group grew by 50% by the end of the quarter (CMC).,,,"June 18, 2024 6:40 PM",[2024 Q2] Marketing WG (OKRs/Joystream%20OKRs/%5B2024%20Q2%5D%20Marketing%20WG%2028d1bcd324e540c7904c6d59f985fd03.md),,,,,"KR1.1: Not less than 40 new ambassadors were onboarded to the program. (OKRs/Joystream%20OKRs/KR1%201%20Not%20less%20than%2040%20new%20ambassadors%20were%20onboar%207c61bbae50bd453d946ec46ace2fc9e2.md), KR1.2: Not less than 3,000 users joined the Zealy campaign and completed not less than 30,000 quests. (OKRs/Joystream%20OKRs/KR1%202%20Not%20less%20than%203,000%20users%20joined%20the%20Zealy%20c%20a7b02f0a8eba4f22814ac91a2aa5067e.md), KR1.3: Average volume on all exchanges is not less than $100K/day. (OKRs/Joystream%20OKRs/KR1%203%20Average%20volume%20on%20all%20exchanges%20is%20not%20less%20%20cca39ec7eaad4a558c18250432fea12d.md), KR1.4: Not less than 100 Joystream x Tangem hardware wallets sold from the lending page within 4 weeks after start of sale. (OKRs/Joystream%20OKRs/KR1%204%20Not%20less%20than%20100%20Joystream%20x%20Tangem%20hardwar%209083f868c4fb4d6f828eba9aaa292fc8.md)"
O2: Get not less than 100 M JOY transaction volume on all CRTs.,Marketing WG,,"June 20, 2024 10:14 AM",[2024 Q2] Marketing WG (OKRs/Joystream%20OKRs/%5B2024%20Q2%5D%20Marketing%20WG%2028d1bcd324e540c7904c6d59f985fd03.md),,,,,"KR2.1: Not less than 10 detailed videos highlighting CRTs were uploaded on YouTube in not fewer than 5 different languages. (OKRs/Joystream%20OKRs/KR2%201%20Not%20less%20than%2010%20detailed%20videos%20highlightin%206e65f54e6dea4661a2f11b80ff08f8db.md), KR2.2: CRTs were promoted on not less than 5 popular YouTube channels (not less than 50K views per video). (OKRs/Joystream%20OKRs/KR2%202%20CRTs%20were%20promoted%20on%20not%20less%20than%205%20popula%208c8c1029b626493dbd097b548efdef35.md)"
O3: MAU and DAU increased by 30%.,,,"June 18, 2024 6:40 PM",[2024 Q2] Marketing WG (OKRs/Joystream%20OKRs/%5B2024%20Q2%5D%20Marketing%20WG%2028d1bcd324e540c7904c6d59f985fd03.md),,,,,KR3.1: MWG campaigns drove not less than 20% of new users to Joystream apps on average. (OKRs/Joystream%20OKRs/KR3%201%20MWG%20campaigns%20drove%20not%20less%20than%2020%25%20of%20new%2003aabd7d36514bd4805b8293307ddbc0.md)
KR1.1: Not less than 40 new ambassadors were onboarded to the program.,Marketing WG,,"June 20, 2024 10:10 AM",O1:  The MCAP vs Benchmark group grew by 50% by the end of the quarter (CMC). (OKRs/Joystream%20OKRs/O1%20The%20MCAP%20vs%20Benchmark%20group%20grew%20by%2050%25%20by%20the%20%20047e6ba1221644daa96fe013c933a922.md),◾️◾️◾️◾️◾️◾️◾️◾️◾️◽️90%,,,On track ✅,
"KR1.2: Not less than 3,000 users joined the Zealy campaign and completed not less than 30,000 quests.",Marketing WG,,"June 20, 2024 10:11 AM",O1:  The MCAP vs Benchmark group grew by 50% by the end of the quarter (CMC). (OKRs/Joystream%20OKRs/O1%20The%20MCAP%20vs%20Benchmark%20group%20grew%20by%2050%25%20by%20the%20%20047e6ba1221644daa96fe013c933a922.md),◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,,,Completed ⭐️,
KR1.3: Average volume on all exchanges is not less than $100K/day.,Marketing WG,,"June 20, 2024 10:11 AM",O1:  The MCAP vs Benchmark group grew by 50% by the end of the quarter (CMC). (OKRs/Joystream%20OKRs/O1%20The%20MCAP%20vs%20Benchmark%20group%20grew%20by%2050%25%20by%20the%20%20047e6ba1221644daa96fe013c933a922.md),,,,Excluded,
KR1.4: Not less than 100 Joystream x Tangem hardware wallets sold from the lending page within 4 weeks after start of sale.,Marketing WG,,"June 20, 2024 10:13 AM",O1:  The MCAP vs Benchmark group grew by 50% by the end of the quarter (CMC). (OKRs/Joystream%20OKRs/O1%20The%20MCAP%20vs%20Benchmark%20group%20grew%20by%2050%25%20by%20the%20%20047e6ba1221644daa96fe013c933a922.md),,,,At risk ⚠️,
KR2.1: Not less than 10 detailed videos highlighting CRTs were uploaded on YouTube in not fewer than 5 different languages.,Marketing WG,,"June 20, 2024 10:16 AM",O2: Get not less than 100 M JOY transaction volume on all CRTs. (OKRs/Joystream%20OKRs/O2%20Get%20not%20less%20than%20100%20M%20JOY%20transaction%20volume%20%20886a566ba4d4423aa8f47d2bffa63bbc.md),◾️◾️◾️◾️◾️◾️◾️◾️◾️◽️90%,,,On track ✅,
KR2.2: CRTs were promoted on not less than 5 popular YouTube channels (not less than 50K views per video).,Marketing WG,,"June 20, 2024 10:18 AM",O2: Get not less than 100 M JOY transaction volume on all CRTs. (OKRs/Joystream%20OKRs/O2%20Get%20not%20less%20than%20100%20M%20JOY%20transaction%20volume%20%20886a566ba4d4423aa8f47d2bffa63bbc.md),◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,,,Completed ⭐️,
KR3.1: MWG campaigns drove not less than 20% of new users to Joystream apps on average.,Marketing WG,,"June 20, 2024 10:20 AM",O3: MAU and DAU increased by 30%. (OKRs/Joystream%20OKRs/O3%20MAU%20and%20DAU%20increased%20by%2030%25%20f5d07ae46b4b4cbba55b946c9869593f.md),◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,,,Completed ⭐️,
— // — // —,,,"June 18, 2024 6:40 PM",,,,,,
"O1: Provide quality values for bandwidth and latency (TTFB) accross geographical regions for which we are having sufficient traffic, keeping the cost of operation minimal.",Distributor WG,,"June 20, 2024 10:51 AM",[2024 Q2] Distributors WG (OKRs/Joystream%20OKRs/%5B2024%20Q2%5D%20Distributors%20WG%20f7c2f80c874b48e3bfd87c345faf8d23.md),,,,,KR1.1: if the SpeedTest comparison is successful for t = 30 days time window then the OKR is reached at 100% (meaning: good values for Latency and Bandwidth for June 2024) (OKRs/Joystream%20OKRs/KR1%201%20if%20the%20SpeedTest%20comparison%20is%20successful%20fo%201ba588bed31142e39dc86248098e36e3.md)
KR1.1: https://www.notion.so/OKRs-Q2-2024-2e583262bea940009bb26799a55c832c?pvs=21,Distributor WG,,"June 20, 2024 10:54 AM","O1: Provide quality values for bandwidth and latency (TTFB) accross geographical regions for which we are having sufficient traffic, keeping the cost of operation minimal. (OKRs/Joystream%20OKRs/O1%20Provide%20quality%20values%20for%20bandwidth%20and%20latenc%20a29a1fff7dd446a8b3c3a4cc0eb4f2c8.md)",◾️◾️◽️◽️◽️◽️◽️◽️◽️◽️20%,,,At risk ⚠️,
" KR1.1: Maintain percentage of lost objects 0%",Storage WG,,"June 20, 2024 11:15 AM",[2024 Q2] Storage WG (OKRs/Joystream%20OKRs/%5B2024%20Q2%5D%20Storage%20WG%20ac1b380032ae49da8eda32a9735ca165.md),◾️◾️◾️◾️◾️◾️◾️◾️◽️◽️80%,,,On track ✅,
KR1.2: Maintain percentage of unaccepted objects < 2%,Storage WG,,"June 20, 2024 11:19 AM",[2024 Q2] Storage WG (OKRs/Joystream%20OKRs/%5B2024%20Q2%5D%20Storage%20WG%20ac1b380032ae49da8eda32a9735ca165.md),◽️◽️◽️◽️◽️◽️◽️◽️◽️◽️ 0%,,,At risk ⚠️,
KR1.3: Maintain a replication rate of not lower 2 for all objects,Storage WG,,"June 20, 2024 11:24 AM",[2024 Q2] Storage WG (OKRs/Joystream%20OKRs/%5B2024%20Q2%5D%20Storage%20WG%20ac1b380032ae49da8eda32a9735ca165.md),◾️◾️◾️◾️◾️◾️◾️◾️◾️◽️90%,,,On track ✅,
" KR1.4: Maintain a storage objects availability of 100%",Storage WG,,"June 20, 2024 11:24 AM",[2024 Q2] Storage WG (OKRs/Joystream%20OKRs/%5B2024%20Q2%5D%20Storage%20WG%20ac1b380032ae49da8eda32a9735ca165.md),◾️◾️◾️◾️◾️◾️◾️◾️◽️◽️80%,,,At risk ⚠️,
