Title,Topic,Status,Date,URL,Assigned,Related to JS DAO Workers sheet (Tasks),Related to JS DAO Workers sheet (Tasks) 1
https://pioneerapp.xyz/#/forum/thread/73,Workflows,Archived discussion,,https://pioneerapp.xyz/#/forum/thread/73,"Songoku (https://www.notion.so/Songoku-6301efa9bcee460b8ee79a27c9a84bce?pvs=21), jen (https://www.notion.so/jen-f3363d362cf0408ea54b84cc2d6671d2?pvs=21)","Songoku (https://www.notion.so/Songoku-491570b0e3e746908c95f89e94c46975?pvs=21), jen (https://www.notion.so/jen-ec8aebfd43134ad69d5deeb8c660d97e?pvs=21)","Untitled (https://www.notion.so/779373785903497c852d7332d7daa028?pvs=21), Untitled (https://www.notion.so/7986a3d88fe646a685368d1575c0d2dd?pvs=21)"
Council Term Report Template,Workflows,Approved,24/01/2023,https://pioneerapp.xyz/#/proposals/preview/82,,,
Council Term Plan Template,Workflows,Approved,24/01/2023,https://pioneerapp.xyz/#/proposals/preview/84,,,
Council Term 8 Plan,Plans,Implemented,07/04/2023,https://pioneerapp.xyz/#/proposals/preview/240,,,
Council Plan Term 7,Plans,Implemented,22/03/2023,https://pioneerapp.xyz/#/proposals/preview/207,,,
Council Plan Term 6,Plans,Approved,06/03/2023,https://pioneerapp.xyz/#/proposals/preview/182,,,
Council Plan For 5th Term,Plans,Approved,27/02/2023,https://pioneerapp.xyz/#/proposals/preview/159,,,
Council Plan For 5th Term,Plans,Failed,19/02/2023,https://pioneerapp.xyz/#/proposals/preview/143,,,
Council Election Process Breakdown,Workflows,Failed,19/02/2023,https://pioneerapp.xyz/#/proposals/preview/145,,,
Checkpoints,Workflows,Failed,04/04/2023,https://pioneerapp.xyz/#/proposals/preview/232,,,
Change In Reporting Cycle,Workflows,Approved,15/02/2023,https://pioneerapp.xyz/#/proposals/preview/132,,,
Approve Council Plan #10,Plans,Failed,07/05/2023,https://pioneerapp.xyz/#/proposals/preview/301,,,
Add OKR Table To The Working Group Plan,Workflows,Approved,10/04/2023,https://pioneerapp.xyz/#/proposals/preview/242,,,
