Property,Builders Task,Council Term,Council Terms,Date,Testnet / Mainnet
Council_Report - Term #25,,25,25 (https://www.notion.so/25-4af5650ec3ba4e028f485531f8fbba37?pvs=21),"December 14, 2023 → December 29, 2023",Mainnet
Council_Report - Term #26,,26,26 (https://www.notion.so/26-085a5e6d68d74bc4802005a2015cc707?pvs=21),"December 29, 2023 → January 14, 2024",Mainnet
Council_Report - Term #27,,27,27 (https://www.notion.so/27-05ba5f7b475c454589528c619199e2c6?pvs=21),"January 18, 2024 → January 28, 2024",Mainnet
Council_Report - Term #28,,28,28 (https://www.notion.so/28-d5ee72ad205d4b8c8aa52075d6bc2c23?pvs=21),"January 28, 2024 → February 13, 2024",Mainnet
Council_Report - Term #29,,29,29 (https://www.notion.so/29-0352b204090d4d82b75846e0f82d5082?pvs=21),"February 12, 2024 → February 27, 2024",Mainnet
Council Report Term 30,,30,30 (https://www.notion.so/30-97c2b77b521b4b8b85027db7b7813f1e?pvs=21),"March 13, 2024 → March 14, 2024",Mainnet
Council Report Term 31,,31,31 (https://www.notion.so/31-eacf25a989364cfc8b6c9fc43f737195?pvs=21),"March 14, 2024 → April 12, 2024",Mainnet
Council Report Term 32,,32,31 (https://www.notion.so/31-eacf25a989364cfc8b6c9fc43f737195?pvs=21),"March 14, 2024 → April 12, 2024",Mainnet
Council Report Term 33,,33,Untitled (https://www.notion.so/862d447fa11f492a8d74a3e824432265?pvs=21),"May 9, 2024 → June 6, 2024",Mainnet
Council Report Term 34,,34,Untitled (https://www.notion.so/61cb4ab0b0394a3889900849e0f7a41b?pvs=21),"June 6, 2024 → July 4, 2024",Mainnet
Council Report Term 33,,33,Untitled (https://www.notion.so/862d447fa11f492a8d74a3e824432265?pvs=21),"May 9, 2024 → June 6, 2024",Mainnet
Council Report Term 35,,35,,"July 4, 2024 → August 1, 2024",Mainnet
Council Report Term 36,,36,,"August 1, 2024 → August 29, 2024",Mainnet
Council Report Term 37,,37,,"August 29, 2024 → September 27, 2024",Mainnet
Council Report Term 38,,37,,"August 29, 2024 → September 27, 2024",Mainnet
Council Report Term 39,,39,,"August 29, 2024 → September 27, 2024",Mainnet
,,,,,Mainnet
Council Report Term 40,,40,,"August 29, 2024 → September 27, 2024",Mainnet
