Name,Agenda,Tags,Date,Forum Thread,Attendance,Duration,Facilitator,Moderator,Recording,Status,Transcript,Venue
Weekly Marketing Call,Agenda: Marketing Operations,"Council, MWG Lead, OKRs, marketing","June 18, 2024",,"Codefikeyz
Leet_joy
Tomato
0x2bc
Elevent studio
feya_oshikuu
Vikan",< 1 Hour,leet_joy,leet_joy,,Done,N/A,Community Voice 1 channel
34th Council Handover Meeting,"Agenda:
• Council summary
• WG status
• Council recommendations
• Discussions
• Q & A","Council, OKRs, Working Groups","June 10, 2024",,"0x2bc
Codefikeys
Genius
Ilich
Leet
Marikjudo
Spat
Tomato
Mrbovo
Vikan
Wizzybankz26
Decentralized world
Yasir",1 hour+,"Leetjoy, 0x2bc",Codefikeyz,,Done,N/A,Community Voice 1 channel
Joystream Strategy Meeting,Agenda: Joystream Strategy Meeting,"Community Call, Council, Gleev, OKRs, YPP, development, marketing","June 5, 2024",,"0x2bc
B$
Codefikeyz
Decentralized world
Dimitri
Dzidex
Genius
isItbathtime
Klaudius
Leet
Marikjudo
Mrbovo
Spat
Tomato
Vikan
Wizzybank
Yasir
Zeljko ",1 hour+,"0x2bc, Bedeho",0x2bc,,Done,N/A,Community Voice 1 channel
Weekly Marketing Call,Agenda: Marketing Operations,"Council, MWG Lead, OKRs, marketing","May 28, 2024",,"0x2bc
Codefikeys
Dimitri
Dzidex
Genius
Juchenbong
Leet
Marikjudo
Mrbovo
Spat
Tomato
vikan",< 1 Hour,leet_joy,leet_joy,,Done,N/A,Community Voice 1 channel
Weekly Gleev/YPP Call,Agenda: CWG Progress and Discussion Points,"Community Engagement, Council, Curators, Gleev, Plans, YPP","May 27, 2024",,"Dimitry
0x2bc
Igrex
Leet
Tomato
Codefikeys
wizzybanks26
Marikjudo
vikan",< 1 Hour,Dimitry,Dimitry,,Done,N/A,Community Voice 1 channel
Weekly Gleev/YPP Call,Agenda: CWG Progress and Discussion Points,"Community Engagement, Council, Curators, Gleev, Plans, YPP","May 22, 2024",,"0x2bc
Codefikeys
Dimitri
Marikjudo
Spat
Tomato
vikan",< 1 Hour,Dimitry,Dimitry,,Done,N/A,Community Voice 1 channel
33rd Council Handover Meeting,"Agenda:
- Council update
- Working group update
- Recommendations","Council, Governance, OKRs, WG Leads","May 13, 2024",,"0x2bc
Codefikeys
Klaudiusz
Leet
dimitri
Marikjudo
Mrbovo
Vikan
Yasir
songoku",1 hour+,0x2bc,Codefikeyz,,Done,N/A,Community Voice 1 channel
Weekly Gleev/YPP Call,Agenda: CWG Progress and Discussion Points,"Community Engagement, Council, Curators, Gleev, Plans, YPP","May 13, 2024",,"Dimitri
Marikjudo
Codefikeyz
Wizzybank",< 1 Hour,Dimitry,Dimitry,,Done,N/A,Community Voice 1 channel
Weekly Marketing Call,Agenda: Marketing Operations,"Council, MWG Lead, OKRs, marketing","April 30, 2024",,"Codefikeyz
Vikan
Genius
0x2bc
Genius
Marikjudo
Spatsochi",< 1 Hour,leet_joy,leet_joy,,Done,N/A,Community Voice 1 channel
32nd Council Midterm Meeting,"Agenda:
- Working group update
- Finalise Q1 OKR review
- Q2 OKR planning","Council, Governance, OKRs, WG Leads","April 30, 2024",,"0x2bc
Codefikeys
Dimitri
Genius
Jenny
Leet
Marikjudo
Mrbovo
Vikan
Omer\
Freakstatic",1 hour+,0x2bc,Codefikeyz,,Done,N/A,Community Voice 1 channel
Weekly Gleev/YPP Call,Agenda: CWG Progress and Discussion Points,"Community Engagement, Council, Curators, Gleev, Plans, YPP","April 29, 2024",,"0x2bc
Codefikeys
Dmtrmltsv
Genius
Leet
Richard 
Vikan",< 1 Hour,Dimitry,Dimitry,,Done,N/A,Community Voice 1 channel
Weekly Gleev/YPP Call,Agenda: CWG Operations Review,"Community Engagement, Council, Curators, Gleev, Plans, YPP","April 22, 2024",,"Dimitri
0x2bc
Agileangel112
Jenny
Leet
Nawaz.1228
Prontera
Richard
Spat
Tomato
Vikan
WRadoslaw",< 1 Hour,Dimitry,Dimitry,,Done,N/A,Community Voice 1 channel
Weekly Marketing Call,Agenda: Marketing Operations,"Council, MWG Lead, OKRs, marketing","April 16, 2024",,"Leet_joy
0x2bc
Bedeho
Codefikeys
Dimitri
Genius
Jenny
Marikjudo
Metmirr
Spat_sochi
Tomato
vikan",< 1 Hour,leet_joy,leet_joy,,Done,N/A,Community Voice 1 channel
32nd Council Handover Meeting,"Agenda:
- Council summary
- WG status update
- Council recommendations
- Discussions
- Q & A","Council, Governance, WG Leads, Working Groups","April 15, 2024",,"0x2bc
Codefikeyz
Dimitry
Dzidex
Genius
Jenny
Klaudius
Leet
Richard
Spat
Tomato
Vikan
Yasir",1 Hour+,Jenny,Codefikeyz,,Done,N/A,Community Voice 1 channel
Gleev YPP Call,"Agenda:
Discuss the latest developments, reports, share insights on the YPP progress and make improvements.","Council, Curators, Gleev, YPP","April 8, 2024",,"Tomato
Codefikeyz
Dimitry
Genius
Jenny
Klaudiusz
Leetjoy
Vikan
Bedeho",1 Hour+,Dimitry,Dimitry,,Done,N/A,Community Voice 1 channel
31st Council Midterm Meeting,"Agenda:
Restructure and update existing Joystream roadmap","Council, Governance, OKRs, WG Leads","April 3, 2024",,"0x2bc
Codefikeyz
Dimitry
Freakstatic
Genius
Jenny
Klaudiusz
Leet_joy
Marikjudo
Mrbovo
Tomato
Vikan
YYAGI",1 hour+,Jenny x 0x2bc,Codefikeyz,,Done,N/A,Community Voice 1 channel
,,,,,,,,,,Not started,,
Roadmap v3 Meeting,"Agenda:
Restructure and update existing Joystream roadmap","Council, Governance, WG Leads","March 27, 2024",,"0x2bc
Tomato
Codefikeys
Dimitry
Genius
Jenny
Klaudius
Leet
Marikjudo
Mrbovo
Thesan
Vikan
Yassir
Bedeho",2 hour+,Tomato,Tomato,,Done,N/A,Community Voice 1 channel
31st Council Handover Meeting,"Agenda:
- Council summary
- WG status
- Council recommendations
- Discussions
- Q & A","Council, Governance, WG Leads","March 8, 2024",,"0x2bc
Tomato
Codefikeys
Dimitry
Genius
Henryebuka
Jenny
Klaudius
Leet
Marikjudo
Mrbovo
Thesan
Vikan
Yasir
Mike: BuyTheDip",1 hour+,Tomato,"@Codefikeyz ",,Done,N/A,Community Voice 1 channel
30th Council Midterm Meeting,"Agenda:
- Update on Q1 2024 OKRs 
- KR-2.1 [Council] Average block time is less than 6.1s 
- Discussion on Non-Tech WGs workflow","Council, Governance, WG Leads","March 8, 2024",,"Tomato
0x2bc
Agilangel112
Bedeho
Bezy official
Codefikeys
Dimitry
Genius
Juchebong
Klaudiusz
Leet_joy
Songoku
Thesan
Vikan",1 hour+,Tomato,"@Codefikeyz ",,Done,N/A,Community Voice 1 channel
30th Council Midterm Meeting,"Agenda:
- Update on Q1 2024 OKRs 
- KR-2.1 [Council] Average block time is less than 6.1s 
- Discussion on Non-Tech WGs workflow","Council, Governance, WG Leads","March 8, 2024",,"Tomato
0x2bc
Agilangel112
Bedeho
Bezy official
Codefikeys
Dimitry
Genius
Juchebong
Klaudiusz
Leet_joy
Songoku
Thesan
Vikan",1 hour+,Tomato,"@Codefikeyz ",,Done,N/A,Community Voice 1 channel
30th Council Handover Meeting,"Agenda:
- Council summary
- WG status update
- Council recommendations
- Discussions
- Q & A","Council, Governance, WG Leads","February 29, 2024",,"0x2bc
Codefikeys
Dimitry
Genius
Klaudius
Leet
Marikjudo
Mrbovo
Thesan
Tomato
Vikan",1 hour+,LeetJoy,"@Codefikeyz ",,Done,N/A,Community Voice 1 channel
,,,,,,,,,,Not started,,
29th Council Midterm Meeting,"Agenda:
- Council & Revised WG plan update
- DAO WG restructuring/consolidation
- Q1 2024 OKRs
- New potential role(s) in the DAO
","Council, Governance, WG Leads","February 21, 2024",,"0x2bc
Codefikeys
Dimitry
Igrex
Juchebong
Klaudiusz
Leet
Marikjudo
Mrbovo
Richard
Thesan
Vikan
Yasir
Genius 
Freakstatic",2hours +,0x2bc,"@Codefikeyz ",,Done,N/A,Community Voice 1 channel
29th Council Handover Meeting,"Agenda:
• Council summary
• Working Group Status Update
• Council recommendations
• Questions/Comments
• Discussions
    ◦ Non-Technical WGs Ops Optimisation
• Q & A","Council, Governance, WG Leads","February 5, 2024",,"0x2bc
Codefikeys 
Dmtrmltsv
Igrex
Attemka
Klaudiuz 
Leet
Spat
Vikan
Yasir
Ilich
Jenny 
Freakstatic
Juchebong",44 mins,,"@Codefikeyz ",,Done,N/A,Community Voice 1 channel
28th Council Midterm Meeting,"Agenda:
• Council & WG Plan Review
• DAO structure","Council, Governance, WG Leads","February 5, 2024",,"Codefikeys
Duskfox
Genius
Igrex
Leetjoy
Marikjusdo
Mrbovo
Songoku
Spat
Thesan
Tomato
Vikan
Yasir
Junchebong
Dzidex
Klaudiuzs
Richard",44 mins,,"@Codefikeyz ",https://drive.google.com/file/d/14QC5cjge_J_dpcQi05Y0A9tZJDZMaKIs/view?usp=drive_link,Done,N/A,Community Voice 1 channel
28th Council Handover Meeting,"Agenda:
• Council summary
• WG status
• Council recommendations
• Discussions
    ◦ HRWG Consolidation
        ▪ Q1 2024 OKRs
• Q & A","Council, Governance, WG Leads","January 30, 2024",,"Codefikeyz
Eclipsingbinary
Genius
Igrex
Ivan
Jenny
Attemka
Klaudiuzs
Leet
Mrbovo
Songoku
Spat
Tomato
Vikan
Yasir
Songoku
Sienna
bezy official
Hanzo
The grim savage
Antoniobox
Polaris
Kyler_zm
junchborg",1 Hour+,,"@Codefikeyz ",https://drive.google.com/file/d/1oRs2T1uKB5aWXKd1w1WPrvcc6xxJKX2p/view?usp=drive_link,Done,N/A,Community Voice 1 channel
27th Council Midterm Meeting,"Agenda:
- Council Plan
- Working Group Plan
- Q & A","Council, Governance, WG Leads","January 22, 2024",,"Codefikeys
Dymitry
Eclipsingbinary
Genius
Jenny
Klaudius
Leet
Marikjudo
Ilich
Mrbovo
Songoku
Spat
Yasir
Hanzo
Igrex
Marikjudo
Oxbigwinxz
Councilor
Mayortee
Dzidex
Hypolithe
Vikan
Freakstatic
Bezzyofficial
siemma",1 Hour+,Tomato,"@Codefikeyz ",,Done,N/A,Community Voice 1 channel
27th Council Handover Meeting,"Agenda:
- Council summary
- WG status
- Council recommendations
- discussions/questions etc
- Q & A
","Council, Governance, WG Leads","January 16, 2024",,"0x2bc
Jenny
Counsellor
Hanzo Hazashi
Eclipsingbinary
Klauduisz
LeetJoy
Marikjudo
MrBovo
Songoku
Spat_sochi
Vikan
Yasir

",41mins,"0x2bc, Jenny","@Codefikeyz ",,Done,N/A,Community Voice 1 channel
OKR Strategic Meeting III,Q1 2024 OKRs Discussion,"Council, Governance, OKRs, WG Leads","January 9, 2024",,"Codefikeys
Jenny
Leet_Joy
Genius
klaudiusz
Marikjudo
Mrbovo
Spat_sochi
Tariqul
Tomato
Yasir
Vikan
Igrex
Songoku
0x2bc
Mayortee
eclipsingbinary",42mins,0x2bc,"@Codefikeyz ",,Done,N/A,Community Voice 1 channel
26th Council Midterm Meeting,"Agenda:
- Q4 OKR Review","Council, Governance, OKRs, Roadmap, WG Leads","January 8, 2024",,"Codefikeys
Spat
Genius
Klauduisz
Leet
Marikjudo
Jenny
Songoku
Tariqul
Tomato
Yasir
Vikan
Umar chike
0x2bc
eclipsingbinary
Mr.Bovo",1hour +,0x2bc,"@Codefikeyz ",,Done,N/A,Community Voice 1 channel
Discussion on CanaDAO Proposal,"Agenda:
Internal discussion on CanaDAO proposal on using our CDN","Council, Governance, WG Leads, development","January 5, 2024",,"0x2bc
Codefikeys 
Jenny
Leet
Klaudiusz
Igrex
Marikjudo 
Genius
Mrbovo 
Tomato 
Yasir",35 mins+,0x2bc,"@Codefikeyz ",N/A,Done,N/A,Community Voice 1 channel
26th Council Handover Meeting,"Agenda:
- Council Status Update
- WG Update
- Roadmap & 2023 Q4 OKR Update
- Recommendation
- Discussion
- Q1 2024
- Q & A","Council, Governance, OKRs, Roadmap, WG Leads","January 2, 2024",,"Jenny
Codefikeyz
Leet_joy
0x2bc
Mrbovo
Spat_sochi
Thesan
Klaudiusz
Vikan
MayorTee
Songoku
TheGrimSavage
Igrex",1hour +,"Jenny, 0x2bc","@Codefikeyz ",https://drive.google.com/file/d/11VNkrfbB6c-eh8lVpdAwjnMpiOgeFFlF/view?usp=drive_link,Done,N/A,Community Voice 1 channel
Q1 OKR Strategic Meeting Part 1 and 2,"Agenda:
- Q1 2024 OKR","Council, Governance, OKRs, Roadmap, WG Leads","December 28, 2023",,"0x2bc
$MayorTee
Alexander Sourwater
Codefikeyz
eclipsingbinary
Genius
I am Ars
Igrex
Ilich
Jemuel12
Jenny
klaudiusz.eth
leet_joy
mrbovo.eth
prontera.
Sazy
songoku
spat_sochi
Tariqul
thesan5119
tomato
vikan
YYAGI",3hours+,0x2bc,"@Codefikeyz ","Part 1 - https://drive.google.com/file/d/18Yw3Yz6RMF56bMta8s_HD0kyX48SK-nS/view?usp=drive_link

Part 2 - https://drive.google.com/file/d/194B4vU8jOr7sGwVVjxlE_OL9xDX_23VQ/view?usp=drive_link",Done,N/A,Community Voice 1 channel
25th Council Handover Meeting,"Agenda:
- Council Status Update
- WG Update
- Roadmap & Q4 OKR Update
- Recommendation
- Discussion
- Joystream Website Translation
- HR Workers salary structure
- Q & A","Council, Governance, OKRs, Roadmap, WG Leads","December 18, 2023",,"Jenny
Codefikeyz
Leet_joy
0x2bc
Mrbovo
Spat_sochi
Thesan
Klaudiusz
Vikan
MayorTee
Songoku
TheGrimSavage","1hour ","Jenny, 0x2bc","@Codefikeyz ",https://drive.google.com/file/d/1j1-7aNToHk_tOmLi5g6RPSONSYActumz/view?usp=drive_link,Done,N/A,Community Voice 1 channel
24th Council Midterm Meeting,"Agenda:
- Working Group Plan Review
- Roadmap and OKRs Review
- Q & A","Council, Governance, OKRs, Roadmap, WG Leads","December 7, 2023",,"Jenny
Marikjudo
Codefikeyz
Leet_joy
0x2bc
Mrbovo
Spat_sochi
Thesan
Klaudiusz
Vikan
Alexander sourwater
MayorTee
Songoku
Mikael eprain
TheGrimSavage",1hour +,Jenny,"@Codefikeyz ",,Done,N/A,Community Voice 1 channel
24th Council Handover Meeting,"Agenda:
• Council Status Update
• WG Update
• Roadmap & Q4 OKR Update
• Recommendation
• Discussion
    ◦ Presentation of Content Creators Survey for NPS
• Q & A","Council, Governance, OKRs, Reports, Roadmap, WG Leads, Working Groups","December 1, 2023",,"Mayortee
0x2bc
Chaos77
Codefikeyz
Eclipsingbinary
Genius
Jenny
Klauduisz
KratistOS
Leet_Joy
Songoku
Spat_sochi
Tomato
Vikan
Yasir",1hour +,Jenny,"@Codefikeyz ",,Done,N/A,Community Voice 1 channel
23rd Council Mid-term Meeting,"Agenda:
• Reviewing the Roadmap
• Evaluating OKRs
• Council Plan
• Working Group Plan","Council, Governance, OKRs, Reports, Roadmap, WG Leads, Working Groups","November 23, 2023",,"Mayortee
0x2bc
Bezy Official
Chaos77
Codefikeyz
Eclipsingbinary
Genius
Igrex
Jenny
Klauduisz
Leet_Joy
Polaris
Songoku
Spat_sochi
Thegrimsavage
Tomato
Vikan",1hour +,@0x2bc,"@Codefikeyz ",,Done,N/A,Community Voice 1 channel
23rd Council Handover Meeting,"Agenda:
Council #22
- Summary 
Working groups
- Term 22 reports
Council #22
- Recommendation
Topics for Discussion
- Liquidity Provision
- Use of humming bot in USDT acquisition for DAO treasury
- How to access the OKRs/Roadmap page on Notion (postponed)","Council, Governance, OKRs, Reports, WG Leads, Working Groups","November 16, 2023",,"Mayor Tee
0x2bc
12hk21
arsi44
Bedeho
Codefikeys
eclipsingbinary
Freakstatic
Genuis
Igrex
Jenny
Klaudiusz.eth
Leet_joy
Songoku
Spat_sochi
Vikan
Yasir",1hour +,"@0x2bc,@Jen4ph,@leet_joy","@Codefikeyz ",https://drive.google.com/file/d/1JeVRoPk6zQyjHpi44x0qDZYee2lraJMX/view?usp=drive_link,Done,N/A,Community Voice 1 channel
23rd Council Candidates Fireside chat,,"Council, Council Candidates, Fireside Chat, Governance","November 9, 2023",,"Mayor Tee
Vikan
Klaudiusz
Tariqul
Chaos77
Leet_joy
Songoku
Spat_ Sochi
Yasir
Igrex
Eclipsingbinary",43mins,,"@Codefikeyz ",N/A,Done,N/A,Community Voice 1 channel
Storage operations and Content Distribution Network,Storage operations and Content Distribution Network,"Storage Operations, Training, Workshops","November 10, 2023",,"vikan
codefikeyz
0x2bc
igrex
mayortee
genius
spat_sochi",54mins,@Yasir,Codefikeyz,N/A,Done,N/A,Community Voice 1 channel
22nd Council Midterm Meeting,"Agenda:
• Evaluating OKRs
• Reviewing the Roadmap
• Project Management Software","Council, Governance, OKRs, WG Leads, Working Groups","November 7, 2023",,"Mayor Tee
Codefikeys
Vikan
Khlaudiusz
Tariqul
Chaos77
0x2bc
Leet_joy
Songoku
Spat_ Sochi
Hanzo hazashi
Igrex
Yasir
Bedeho
Eclipsingbinary
Jermaine_222
Arsi
Beyonddahorizon
Prontera
Genius",1hour +,@0x2bc,"@Codefikeyz ",N/A,Done,N/A,Community Voice 1 channel
22nd Council Handover Meeting,"Agenda:
Council #21
- summary
- recommendations
Working groups
- Term 21 reports
Discussion
- DAO treasury
- Q4 OKR Status
- Query Node Issue impact","Council, Governance, OKRs, WG Leads, Working Groups","October 31, 2023",,"Mayor Tee
Codefikeys
Vikan
Jemuel
Khlaudiusz
Siemma
Tariqul
Chaos77
0x2bc
Leet_joy
Songoku
Spat_ Sochi
Hanzo hazashi
Igrex
Yasir
Xandrell",1hour +,,"@Codefikeyz ",N/A,Done,N/A,Community Voice 1 channel
Friday Fireside Chat,"Agenda:
- Traction
- Update from Council & Leads
- Roadmap Review
- YouTube Partner Program Update
- Joystream Improvement Proposals","Community Engagement, OKRs, WG Leads","November 3, 2023",,,1hour +,,"@bedeho ",N/A,Done,N/A,https://x.com/JoystreamDAO/status/1720410337776644466?s=20
21st Council Mid-term Meeting,"Agenda:
An assessment of progress on the term plans is up for discussion
• WG lead assessment
• Worker Condition Survey by HR
• Atlas playback problem and solutions
• Including USD valuation of budgets in reports and plans.","Council, Governance, OKRs, Plans, WG Leads, Working Groups","October 23, 2023",,"Mayor Tee
Codefikeys
Vikan
0x2bc
Bezy official
Leet_joy
Boarderless
Jamaican prop trader
Songoku
Spat_ Sochi
Hanzo hazashi
Igrex
Yasir
Tariqul",1hour +,,"@Codefikeyz ",N/A,Done,N/A,Community Voice 1 channel
21st Council Handover Meeting,"Agenda:
- Council #20 Summary
- Recommendations
- Q4 OKRs Status
- WG Budget Planning (CWG, HR, MWG)","Council, Governance, OKRs, Plans, WG Leads, Working Groups","October 17, 2023",,"Codefikeyz
Genius
MayorTee
Songoku
Tomato
Vikan
Igrex
Klauduisz
0x2bc
Spat_sochi
Leet_Joy
Yasir
Jamaicanproptrader",1hour +,,"@Codefikeyz ",N/A,Done,N/A,Community Voice 1 channel
20th Term Council Mid-tern meeting,"Agenda:
- Progress on working group plans
- Review of Q4 OKRs","Council, Governance, OKRs, Plans, WG Leads, Working Groups","October 9, 2023",https://pioneerapp.xyz/#/proposals/preview/552,"Codefikeyz
Genius
MayorTee
Songoku
Tomato
Vikan
Igrex
Klauduisz
0x2bc
Spat_sochi
Beyonddahorizon
Leet_Joy
ARS
Tariqul","3hours ",,"@Codefikeyz ",N/A,Done,N/A,Community Voice 1 channel
