Name,Agenda,Attendance,Date,Duration,Facilitator,Forum Thread,Moderator,Recording,Status,Tags,Transcript,Venue
28th Council Handover Meeting,"Agenda:
• Council summary
• WG status
• Council recommendations
• Discussions
    ◦ HRWG Consolidation
        ▪ Q1 2024 OKRs
• Q & A","Codefikeyz
Eclipsingbinary
Genius
Igrex
Ivan
Jenny
Attemka
Klaudiuzs
Leet
Mrbovo
Songoku
Spat
Tomato
Vikan
Yasir
Songoku
Sienna
bezy official
Hanzo
The grim savage
Antoniobox
Polaris
Kyler_zm
junchborg","January 30, 2024",1 Hour+,,,"@Codefikeyz ",https://drive.google.com/file/d/1oRs2T1uKB5aWXKd1w1WPrvcc6xxJKX2p/view?usp=drive_link,Done,"Council, Governance, WG Leads",N/A,Community Voice 1 channel
28th Council Midterm Meeting,"Agenda:
• Council & WG Plan Review
• DAO structure","Codefikeys
Duskfox
Genius
Igrex
Leetjoy
Marikjusdo
Mrbovo
Songoku
Spat
Thesan
Tomato
Vikan
Yasir
Junchebong
Dzidex
Klaudiuzs
Richard","February 5, 2024",44 mins,,,"@Codefikeyz ",https://drive.google.com/file/d/14QC5cjge_J_dpcQi05Y0A9tZJDZMaKIs/view?usp=drive_link,Done,"Council, Governance, WG Leads",N/A,Community Voice 1 channel
Weekly Gleev/YPP Call,Agenda: CWG Progress and Discussion Points,"0x2bc
Codefikeyz
Dimitry
Jenny
Leet
Yasir
freya_Oshikuu
Altaf
Vikan","July 10, 2024",< 1 Hour,Dimitry,,Dimitry,,Done,"Community Engagement, Council, Curators, Gleev, Plans, YPP",N/A,Community Voice 1 channel
29th Council Handover Meeting,"Agenda:
• Council summary
• Working Group Status Update
• Council recommendations
• Questions/Comments
• Discussions
    ◦ Non-Technical WGs Ops Optimisation
• Q & A","0x2bc
Codefikeys 
Dmtrmltsv
Igrex
Attemka
Klaudiuz 
Leet
Spat
Vikan
Yasir
Ilich
Jenny 
Freakstatic
Juchebong","February 5, 2024",44 mins,,,"@Codefikeyz ",,Done,"Council, Governance, WG Leads",N/A,Community Voice 1 channel
30th Council Handover Meeting,"Agenda:
- Council summary
- WG status update
- Council recommendations
- Discussions
- Q & A","0x2bc
Codefikeys
Dimitry
Genius
Klaudius
Leet
Marikjudo
Mrbovo
Thesan
Tomato
Vikan","February 29, 2024",1 hour+,LeetJoy,,"@Codefikeyz ",,Done,"Council, Governance, WG Leads",N/A,Community Voice 1 channel
30th Council Midterm Meeting,"Agenda:
- Update on Q1 2024 OKRs 
- KR-2.1 [Council] Average block time is less than 6.1s 
- Discussion on Non-Tech WGs workflow","Tomato
0x2bc
Agilangel112
Bedeho
Bezy official
Codefikeys
Dimitry
Genius
Juchebong
Klaudiusz
Leet_joy
Songoku
Thesan
Vikan","March 8, 2024",1 hour+,Tomato,,"@Codefikeyz ",,Done,"Council, Governance, WG Leads",N/A,Community Voice 1 channel
30th Council Midterm Meeting,"Agenda:
- Update on Q1 2024 OKRs 
- KR-2.1 [Council] Average block time is less than 6.1s 
- Discussion on Non-Tech WGs workflow","Tomato
0x2bc
Agilangel112
Bedeho
Bezy official
Codefikeys
Dimitry
Genius
Juchebong
Klaudiusz
Leet_joy
Songoku
Thesan
Vikan","March 8, 2024",1 hour+,Tomato,,"@Codefikeyz ",,Done,"Council, Governance, WG Leads",N/A,Community Voice 1 channel
31st Council Handover Meeting,"Agenda:
- Council summary
- WG status
- Council recommendations
- Discussions
- Q & A","0x2bc
Tomato
Codefikeys
Dimitry
Genius
Henryebuka
Jenny
Klaudius
Leet
Marikjudo
Mrbovo
Thesan
Vikan
Yasir
Mike: BuyTheDip","March 8, 2024",1 hour+,Tomato,,"@Codefikeyz ",,Done,"Council, Governance, WG Leads",N/A,Community Voice 1 channel
33rd Council Handover Meeting,"Agenda:
- Council update
- Working group update
- Recommendations","0x2bc
Codefikeys
Klaudiusz
Leet
dimitri
Marikjudo
Mrbovo
Vikan
Yasir
songoku","May 13, 2024",1 hour+,0x2bc,,Codefikeyz,,Done,"Council, Governance, OKRs, WG Leads",N/A,Community Voice 1 channel
Roadmap v3 Meeting,"Agenda:
Restructure and update existing Joystream roadmap","0x2bc
Tomato
Codefikeys
Dimitry
Genius
Jenny
Klaudius
Leet
Marikjudo
Mrbovo
Thesan
Vikan
Yassir
Bedeho","March 27, 2024",2 hour+,Tomato,,Tomato,,Done,"Council, Governance, WG Leads",N/A,Community Voice 1 channel
,,,,,,,,,Not started,,,
Gleev YPP Call,"Agenda:
Discuss the latest developments, reports, share insights on the YPP progress and make improvements.","Tomato
Codefikeyz
Dimitry
Genius
Jenny
Klaudiusz
Leetjoy
Vikan
Bedeho","April 8, 2024",1 Hour+,Dimitry,,Dimitry,,Done,"Council, Curators, Gleev, YPP",N/A,Community Voice 1 channel
32nd Council Handover Meeting,"Agenda:
- Council summary
- WG status update
- Council recommendations
- Discussions
- Q & A","0x2bc
Codefikeyz
Dimitry
Dzidex
Genius
Jenny
Klaudius
Leet
Richard
Spat
Tomato
Vikan
Yasir","April 15, 2024",1 Hour+,Jenny,,Codefikeyz,,Done,"Council, Governance, WG Leads, Working Groups",N/A,Community Voice 1 channel
39th Council Handover Meeting,"Agenda:
- Term highlights
- Updates","Codefikeyz
Leetjoy
Marikjudo
Lezek
Vikan","October 28, 2024",< 15mins,Leetjoy,,Codefikeyz,,Done,"Council, OKRs, WG Leads, development",N/A,Community Voice 1 channel
Weekly Gleev/YPP Call,Agenda: CWG Operations Review,"Dimitri
0x2bc
Agileangel112
Jenny
Leet
Nawaz.1228
Prontera
Richard
Spat
Tomato
Vikan
WRadoslaw","April 22, 2024",< 1 Hour,Dimitry,,Dimitry,,Done,"Community Engagement, Council, Curators, Gleev, Plans, YPP",N/A,Community Voice 1 channel
Weekly Marketing Call,Agenda: Marketing Operations,"Leet_joy
0x2bc
Bedeho
Codefikeys
Dimitri
Genius
Jenny
Marikjudo
Metmirr
Spat_sochi
Tomato
vikan","April 16, 2024",< 1 Hour,leet_joy,,leet_joy,,Done,"Council, MWG Lead, OKRs, marketing",N/A,Community Voice 1 channel
Weekly Marketing Call,Agenda: Marketing Operations,"Codefikeyz
Vikan
Genius
0x2bc
Genius
Marikjudo
Spatsochi","April 30, 2024",< 1 Hour,leet_joy,,leet_joy,,Done,"Council, MWG Lead, OKRs, marketing",N/A,Community Voice 1 channel
