Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
WG Period Plan,HR,PLAN_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20722835ea84824ffa8cee22c02e94a6a0.md),"Document, Forum Post, General WG Score, Plan, Proposal",Completed
WG Period Plan,Builders,PLAN_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%2066dd10fb9208439586139f01f462082d.md),"Document, Forum Post, General WG Score, Grade, Plan, Proposal, Subscore",Completed
WG Period Plan,Content,PLAN_SCORE,0.8,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20e6d810f18c2c443db74b2e4aa8afb281.md),"Document, Forum Post, General WG Score, Plan, Proposal",Completed
WG Summary,HR,SUMMARY_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20722835ea84824ffa8cee22c02e94a6a0.md),"Document, Forum Post, General WG Score, Grade, Proposal, Summary",Completed
Council Period Summary,Council,SUMMARY_SCORE,0.9,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#council-period-summary,,Network Performance Score (Council%2011/Council%20Period%2011/Network%20Performance%20Score%20db78fbeb45634d608012158a1465abbd.md),"Document, Forum Post, Grade, Master Score, Proposal",Completed
WG Summary,Marketing,SUMMARY_SCORE,0.8,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20cf7fd270f2224d96a61ab6cb8eb7e159.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",Completed
WG Summary,Content,SUMMARY_SCORE,0.35,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20e6d810f18c2c443db74b2e4aa8afb281.md),"Document, Forum Post, General WG Score, Grade, Subscore, Summary",Completed
WG Summary,Forum,SUMMARY_SCORE,0.7,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,"General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20dff7837737a142b7ac485a34cfb3944d.md), General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20cf7fd270f2224d96a61ab6cb8eb7e159.md)","Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",Completed
WG Summary,Builders,SUMMARY_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%2066dd10fb9208439586139f01f462082d.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",Completed
WG Summary,Storage,SUMMARY_SCORE,0.8,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20bd8fc0e6d40c4ad49bd055e5ccd08c52.md),"Document, Forum Post, General WG Score, Grade, Subscore",Completed
WG Summary,Distributors,SUMMARY_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%2028ddd6b219f3487e8a5f322cd0133089.md),"Document, Forum Post, General WG Score, Grade, Subscore, Summary",Completed
Lead Opportunities,Council,LEAD_OPPORTUNITIES_SCORE,0.167,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#lead-opportunities,,Network Performance Score (Council%2011/Council%20Period%2011/Network%20Performance%20Score%20db78fbeb45634d608012158a1465abbd.md),"Grade, Master Score",Completed
WG Opportunities,HR,WORKER_OPPORTUNITIES_SCORE,0.5,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%2011/Council%20Period%2011/General%20WG%20Score%20722835ea84824ffa8cee22c02e94a6a0.md),"General WG Score, Grade, Spot Check, Subscore",Completed
