Name,Attributes,Builder Weight,Content Weight,Deadline (Local Time),Deadline [block],Deadline timestamp,Distributor Weight,Effective Deadline,Forum Link,Forum Post Required?,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Proposal Link,Proposal Required?,Reports Gathered,Score,Score Notes,Score Status,Score Type,Scoring Weights,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores,Summary Weight,Summary Weight link
WG Opportunities,"Grade, Spot Check, Subscore",4,2,,,,3,,,,,1,WORKER_OPPORTUNITIES_SCORE,Builders,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,1,1,0,0,,,,,1,,2,4,,,No,1,,Calculation,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
Violation of Content Policy,Catastrophic Errors,4,2,,,,3,,,,,1,,Forum,4,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#catastrophic-errors,1,1,0,0,,,,,1,,2,4,,,No,,,Not Completed,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
WG Opportunities,"Grade, Spot Check, Subscore",4,2,,,,3,,,,,1,WORKER_OPPORTUNITIES_SCORE,Content,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,1,1,0,0,,,20%,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%20d822d7ac5c04432686f5870800f8f116.md),1,,2,4,,,No,0.167,,Calculation,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
Forum Score,Composite Grade,4,2,,,,3,,,,,1,FORUM_SCORE,Forum,4,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,1,1,0,0,,,,,1,,2,4,,,No,0.633,,Calculation,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,"General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%209110e709cb3e4e2893cb4704c40481f6.md), Forum Report (Council%207/Council%20Period%207/Forum%20Report%2021dd1d64f7cd47768b40eefb42ffdb36.md), Moderation Score (Council%207/Council%20Period%207/Moderation%20Score%2056bbe3dc288b4e22ae3f56bd7bd25014.md), Notification Score (Council%207/Council%20Period%207/Notification%20Score%20d89c963b703246a0923ae88f89c9a7d4.md)",,1
General WG Score,Composite Grade,,,,,,,,,,,,GENERAL_WG_SCORE,Builders,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,,,,,,,,Builder Score (Council%207/Council%20Period%207/Builder%20Score%207f23de81598942558b91be6c52c1f4af.md),,,,,,,No,0.667,,Calculation,Main Score,,No,,,,,"WG Period Plan (Council%207/Council%20Period%207/WG%20Period%20Plan%207b4a339900064935a9aec8616ae9428f.md), WG Summary (Council%207/Council%20Period%207/WG%20Summary%204c8a6c8ad0544ec291bb6d3ae42c1af4.md), WG Opportunities (Council%207/Council%20Period%207/WG%20Opportunities%20ca9828ae79c04dcca7601de97346a59f.md)",,
Storage Score,Composite Grade,4,2,,,,3,,,,,1,STORAGE_SCORE,Storage,4,,1,1,0,0,,,,Network Performance Score (Council%207/Council%20Period%207/Network%20Performance%20Score%20a1bd8a1f2a1d47608d8fe7b2fda9a696.md),1,,2,4,,,No,0.556,,Calculation,Main Score,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,"General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%201f4037cc3e69488cb9663a1e0036dcda.md), Storage Report (Council%207/Council%20Period%207/Storage%20Report%203780f9a6e5104e39929b5714d5f1391c.md), Maintena (Council%207/Council%20Period%207/Maintena%2093456fb42ae74179b4fb857b1e06dffa.md), Uploads (Council%207/Council%20Period%207/Uploads%2001e2e0e1aaa84f97af8e050012068b13.md)",,1
Thumbnails,"Grade, Spot Check, Subscore",4,2,,,,3,,,,,1,THUMBNAIL_SCORE,Distributors,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#thumbnail_score,1,1,0,0,,,,Distributor Score (Council%207/Council%20Period%207/Distributor%20Score%2076c92f0fbe3e4590bd3e26d8c30de8bd.md),1,,2,4,,,No,0.518,,Calculation,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
Storage Report,"Document, Forum Post, Grade",4,2,,,,3,,,Yes,https://dao.joystream.org/#/forum/category/13,1,REPORT_SCORE,Storage,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#report_score,1,1,0,0,"Storage WG Status Report 6 (https://www.notion.so/Storage-WG-Status-Report-6-a90c996abf4249128648912f910363be?pvs=21) ",,,Storage Score (Council%207/Council%20Period%207/Storage%20Score%20bdef29f3ae2143378688c425c8a12f94.md),1,,2,4,,,No,0.9,Forum post did not include markdown,Data input - grading req,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,"May 15, 2022 9:46 AM (GMT+1)",,,1
General WG Score,Composite Grade,4,2,,,,3,,,,,1,GENERAL_WG_SCORE,HR,4,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,1,1,0,0,,,,HR Score (Council%207/Council%20Period%207/HR%20Score%20d203f1ecbf2549489aac1d675ced3ea2.md),1,,2,4,,,No,0.8,,Calculation,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,"WG Period Plan (Council%207/Council%20Period%207/WG%20Period%20Plan%209bac77b24dd04f849b3eda87ff8de061.md), WG Summary (Council%207/Council%20Period%207/WG%20Summary%202b5b001d3d574228b4e391fbcd9d828b.md), WG Opportunities (Council%207/Council%20Period%207/WG%20Opportunities%20ba6109baa358478ba151c3b6005c76f3.md)",,1
Missed runtime upgrade,"Catastrophic Errors, Grade, Spot Check",4,2,,,,3,,,,,1,,Council,4,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#missed-runtime-upgrade,1,1,0,0,,,,,1,,2,4,,,No,0,,Ready for review,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
