Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,Score Type,Deadline [block],Proposal Required?,Score Status
WG Period Plan,Forum,PLAN_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%209110e709cb3e4e2893cb4704c40481f6.md),"Document, Forum Post, Grade, Subscore",,675000,,Ready for review
Maintena,Storage,MAINTENANCE_SCORE,0.75,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#maintenance_score,,Storage Score (Council%207/Council%20Period%207/Storage%20Score%20bdef29f3ae2143378688c425c8a12f94.md),Grade,Subscore,,,Not Completed
Lead Opportunities,Council,LEAD_OPPORTUNITIES_SCORE,0.2,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#lead-opportunities,,Network Performance Score (Council%207/Council%20Period%207/Network%20Performance%20Score%20a1bd8a1f2a1d47608d8fe7b2fda9a696.md),Grade,Main Score,,,Calculation
Builder Score,Builders,BUILDER_SCORE,0.533,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,"General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%20a0b5b885479b42d6aff4584a8d840789.md), Builders Report (Council%207/Council%20Period%207/Builders%20Report%20012807751b93492ea076d87caa78b624.md), Testing (Council%207/Council%20Period%207/Testing%2048fe09f70fae4da1a8f8196649a2fe68.md), Pioneer Development (Council%207/Council%20Period%207/Pioneer%20Development%205939ed92680d42f6a6a6848a5b6a4eac.md), General Development (Council%207/Council%20Period%207/General%20Development%20060b1035137c463e9fcbb7b1cf6a714d.md)",Network Performance Score (Council%207/Council%20Period%207/Network%20Performance%20Score%20a1bd8a1f2a1d47608d8fe7b2fda9a696.md),"Composite Grade, Master Group Score",Main Score,752400,,Calculation
Content Score,Content,CONTENT_SCORE,0.452,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,"General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%20d822d7ac5c04432686f5870800f8f116.md), Content Report (Council%207/Council%20Period%207/Content%20Report%2043826a3f84eb4f41b51f4f60f5822be9.md), Featuring Score (Council%207/Council%20Period%207/Featuring%20Score%20e4d7bba642a840cda15d21c3b9624108.md), Moderation Score (Council%207/Council%20Period%207/Moderation%20Score%20d55db66c8293410ba0c831d487794e93.md), Logging does not occur (Council%207/Council%20Period%207/Logging%20does%20not%20occur%2023d21a9a85ca4de782e4616dadf73d7c.md), Featured Content Unplayable (Council%207/Council%20Period%207/Featured%20Content%20Unplayable%203fef43d260a7442ebb950623e175faf8.md), Failure to apply moderation rules (Council%207/Council%20Period%207/Failure%20to%20apply%20moderation%20rules%20a92dca699e624b68a417be406aa07861.md)",Network Performance Score (Council%207/Council%20Period%207/Network%20Performance%20Score%20a1bd8a1f2a1d47608d8fe7b2fda9a696.md),Composite Grade,,,,Calculation
General WG Score,HR,GENERAL_WG_SCORE,0.8,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%207/Council%20Period%207/WG%20Period%20Plan%209bac77b24dd04f849b3eda87ff8de061.md), WG Summary (Council%207/Council%20Period%207/WG%20Summary%202b5b001d3d574228b4e391fbcd9d828b.md), WG Opportunities (Council%207/Council%20Period%207/WG%20Opportunities%20ba6109baa358478ba151c3b6005c76f3.md)",HR Score (Council%207/Council%20Period%207/HR%20Score%20d203f1ecbf2549489aac1d675ced3ea2.md),Composite Grade,,,,Calculation
Forum Score,Forum,FORUM_SCORE,0.633,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,"General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%209110e709cb3e4e2893cb4704c40481f6.md), Forum Report (Council%207/Council%20Period%207/Forum%20Report%2021dd1d64f7cd47768b40eefb42ffdb36.md), Moderation Score (Council%207/Council%20Period%207/Moderation%20Score%2056bbe3dc288b4e22ae3f56bd7bd25014.md), Notification Score (Council%207/Council%20Period%207/Notification%20Score%20d89c963b703246a0923ae88f89c9a7d4.md)",,Composite Grade,,,,Calculation
General WG Score,Builders,GENERAL_WG_SCORE,0.667,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,"WG Period Plan (Council%207/Council%20Period%207/WG%20Period%20Plan%207b4a339900064935a9aec8616ae9428f.md), WG Summary (Council%207/Council%20Period%207/WG%20Summary%204c8a6c8ad0544ec291bb6d3ae42c1af4.md), WG Opportunities (Council%207/Council%20Period%207/WG%20Opportunities%20ca9828ae79c04dcca7601de97346a59f.md)",Builder Score (Council%207/Council%20Period%207/Builder%20Score%207f23de81598942558b91be6c52c1f4af.md),Composite Grade,Main Score,,,Calculation
Storage Score,Storage,STORAGE_SCORE,0.556,,"General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%201f4037cc3e69488cb9663a1e0036dcda.md), Storage Report (Council%207/Council%20Period%207/Storage%20Report%203780f9a6e5104e39929b5714d5f1391c.md), Maintena (Council%207/Council%20Period%207/Maintena%2093456fb42ae74179b4fb857b1e06dffa.md), Uploads (Council%207/Council%20Period%207/Uploads%2001e2e0e1aaa84f97af8e050012068b13.md)",Network Performance Score (Council%207/Council%20Period%207/Network%20Performance%20Score%20a1bd8a1f2a1d47608d8fe7b2fda9a696.md),Composite Grade,Main Score,,,Calculation
Distributor Score,Distributors,DISTRIBUTOR_SCORE,0.35,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,"Distributors Report (Council%207/Council%20Period%207/Distributors%20Report%20c25de10dae2444388d84a45abf23ea9b.md), General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%203a5e8ade60d846f48c9f99feaed17f56.md), Thumbnails (Council%207/Council%20Period%207/Thumbnails%20029b932264d24c5589580eb37b5c3824.md), Upgrade Score (Council%207/Council%20Period%207/Upgrade%20Score%20280d8d8c8c14475e8c5599ad85378696.md)",Network Performance Score (Council%207/Council%20Period%207/Network%20Performance%20Score%20a1bd8a1f2a1d47608d8fe7b2fda9a696.md),Composite Grade,Main Score,,,Calculation
General WG Score,Forum,GENERAL_WG_SCORE,0.733,,"WG Period Plan (Council%207/Council%20Period%207/WG%20Period%20Plan%206556f06829a7459a959e679eeada6e2d.md), WG Summary (Council%207/Council%20Period%207/WG%20Summary%20bc3095fc854d4184b9156237f6178715.md), WG Opportunities (Council%207/Council%20Period%207/WG%20Opportunities%2047591fdf0860437b961b67dc0f0f662f.md)",Forum Score (Council%207/Council%20Period%207/Forum%20Score%2078bf7c7d83c745689ed17c18cbd1df3d.md),Composite Grade,,,,Calculation
HR Score,HR,HR_SCORE,0.829,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,"General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%204cc96e8d350741f3ba90d47b7fe40188.md), HR Report (Council%207/Council%20Period%207/HR%20Report%20065329194d6740729e0020c528e7c5e4.md), Response Time (Council%207/Council%20Period%207/Response%20Time%20d948a15bfc4143adb4450707f6123db2.md), Person Logging Score (Council%207/Council%20Period%207/Person%20Logging%20Score%20f7809bdd2d224f7ca05384178a86c747.md), Interaction Logging Score (Council%207/Council%20Period%207/Interaction%20Logging%20Score%2001b8f1f0a658482c913f689c392a34da.md), Bounty Score (Council%207/Council%20Period%207/Bounty%20Score%20309fc3bc689f4f1abdf5a0da7b7daf17.md)",Network Performance Score (Council%207/Council%20Period%207/Network%20Performance%20Score%20a1bd8a1f2a1d47608d8fe7b2fda9a696.md),Composite Grade,,,,Calculation
General WG Score,Storage,GENERAL_WG_SCORE,0.217,,"WG Summary (Council%207/Council%20Period%207/WG%20Summary%20bf9ae7112ac84cb0809fada5260a5d4f.md), WG Period Plan (Council%207/Council%20Period%207/WG%20Period%20Plan%202fbbc5ca30b744f787ef3da73eab3cbb.md), WG Opportunities (Council%207/Council%20Period%207/WG%20Opportunities%20ca9828ae79c04dcca7601de97346a59f.md)",Storage Score (Council%207/Council%20Period%207/Storage%20Score%20bdef29f3ae2143378688c425c8a12f94.md),Composite Grade,Main Score,,,Calculation
Network Performance Score,Network,NETWORK_PERFORMANCE_SCORE,0.514,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,"Builder Score (Council%207/Council%20Period%207/Builder%20Score%207f23de81598942558b91be6c52c1f4af.md), Content Score (Council%207/Council%20Period%207/Content%20Score%20509cf368d57b4c37aaad9e7f377ee1c3.md), Distributor Score (Council%207/Council%20Period%207/Distributor%20Score%2076c92f0fbe3e4590bd3e26d8c30de8bd.md), Storage Score (Council%207/Council%20Period%207/Storage%20Score%20bdef29f3ae2143378688c425c8a12f94.md), HR Score (Council%207/Council%20Period%207/HR%20Score%20d203f1ecbf2549489aac1d675ced3ea2.md), Council Period Summary (Council%207/Council%20Period%207/Council%20Period%20Summary%209cff81e3b5434b0b97ab3307746e23d4.md), Council Period Plan (Council%207/Council%20Period%207/Council%20Period%20Plan%200eb5242202d04046ac74648aee53c961.md), Lead Opportunities (Council%207/Council%20Period%207/Lead%20Opportunities%2089f34dced98549cb912eb55b32d1259c.md)",,"Composite Grade, Overall Grade",,,,Calculation
General WG Score,Content,GENERAL_WG_SCORE,0.456,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Opportunities (Council%207/Council%20Period%207/WG%20Opportunities%20686680faab224456bc28d55bda5ff11e.md), WG Summary (Council%207/Council%20Period%207/WG%20Summary%200695caf8b58a436db60ac72c967088a9.md), WG Period Plan (Council%207/Council%20Period%207/WG%20Period%20Plan%20a2953373d97c4ead8bc42a75adde1040.md)",Content Score (Council%207/Council%20Period%207/Content%20Score%20509cf368d57b4c37aaad9e7f377ee1c3.md),Composite Grade,,,,Calculation
General WG Score,Distributors,GENERAL_WG_SCORE,0.083,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%207/Council%20Period%207/WG%20Period%20Plan%200d920b2168034722ae9a7207322ff5f6.md), WG Summary (Council%207/Council%20Period%207/WG%20Summary%20f759cf8d5d6748d5ad0ef0bc3034df88.md), WG Opportunities (Council%207/Council%20Period%207/WG%20Opportunities%20040c8e0c8a274560a69b76263a1439eb.md)",Distributor Score (Council%207/Council%20Period%207/Distributor%20Score%2076c92f0fbe3e4590bd3e26d8c30de8bd.md),Composite Grade,Main Score,,,Calculation
Marketing Score,Marketing,MARKETER_SCORE,,,,,Composite Grade,,,,Calculation
WG Opportunities,HR,WORKER_OPPORTUNITIES_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%204cc96e8d350741f3ba90d47b7fe40188.md),"Grade, Spot Check, Subscore",,,,Calculation
WG Opportunities,Storage,WORKER_OPPORTUNITIES_SCORE,0.25,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,"General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%201f4037cc3e69488cb9663a1e0036dcda.md), General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%20a0b5b885479b42d6aff4584a8d840789.md)","Grade, Spot Check, Subscore",Subscore,,,Calculation
Moderation Score,Forum,MODERATION_SCORE,1,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#moderation_score,,Forum Score (Council%207/Council%20Period%207/Forum%20Score%2078bf7c7d83c745689ed17c18cbd1df3d.md),"Grade, Spot Check",,,,Not Completed
Permanent Data Object Loss,Storage,,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#permanent-data-object-loss,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,,Not Completed
Pioneer Development,Builders,PIONEER_DEVELOPMENT_SCORE,0.5,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#pioneer_development_score,,Builder Score (Council%207/Council%20Period%207/Builder%20Score%207f23de81598942558b91be6c52c1f4af.md),"Grade, Spot Check, Subscore",Subscore,,,Calculation
Incorrect Reporting,Storage,,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#incorrect-reporting,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,,Not Completed
General Development,Builders,GENERAL_DEVELOPMENT_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#general_development_score,,Builder Score (Council%207/Council%20Period%207/Builder%20Score%207f23de81598942558b91be6c52c1f4af.md),"Grade, Spot Check, Subscore",Subscore,,,Calculation
Testing,Builders,TESTING_SCORE,0.6,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#testing_score,,Builder Score (Council%207/Council%20Period%207/Builder%20Score%207f23de81598942558b91be6c52c1f4af.md),"Grade, Spot Check, Subscore",Subscore,,,Calculation
Notification Score,Forum,NOTIFICATION_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#notification_score,,Forum Score (Council%207/Council%20Period%207/Forum%20Score%2078bf7c7d83c745689ed17c18cbd1df3d.md),"Grade, Spot Check",,,,Not Completed
Featured Content Unplayable,Content,,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#featured-content-unplayable,,Content Score (Council%207/Council%20Period%207/Content%20Score%20509cf368d57b4c37aaad9e7f377ee1c3.md),"Catastrophic Errors, Grade, Spot Check",,,,Not Completed
Missing Judgement,HR,,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#catastrophic-errors,,,"Catastrophic Errors, Grade, Spot Check",,,,Not Completed
Total Breaches of Policy,Content,TOTAL_BREACHES_OF_POLICY,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,,Moderation Score (Council%207/Council%20Period%207/Moderation%20Score%20d55db66c8293410ba0c831d487794e93.md),"Catastrophic Errors, Grade, Spot Check",,,,Not Completed
Missed runtime upgrade,Council,,0,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#missed-runtime-upgrade,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,,Ready for review
Violation of Content Policy,Forum,,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#catastrophic-errors,,,Catastrophic Errors,,,,Not Completed
Failure to apply moderation rules,Content,,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#failure-to-apply-moderation-rules,,Content Score (Council%207/Council%20Period%207/Content%20Score%20509cf368d57b4c37aaad9e7f377ee1c3.md),"Catastrophic Errors, Grade, Spot Check",,,,Not Completed
Upgrading non-Jsgesnesis runtime,Council,,0,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#upgrading-non-jsgenesis-runtime,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,,Ready for review
Member Faucet Empty,Council,,0,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#member-faucet-empty,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,,Ready for review
Logging does not occur,Content,,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#catastrophic-errors,,Content Score (Council%207/Council%20Period%207/Content%20Score%20509cf368d57b4c37aaad9e7f377ee1c3.md),"Catastrophic Errors, Grade, Spot Check",,,,Not Completed
On chain Budget and Opening proposals without JOY equivalent,Council,,1,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#on-chain-budget-and-opening-proposals-without-joy-equivalent,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,,Ready for review
Total $tJOY exceeds tJOY_BUDGET,Council,,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#total-tjoy-exceeds-tjoy_budget,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,,Not Completed
No available sources for data object,Distributors,,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/distributors-score.md#catastrophic-errors,,,"Catastrophic Errors, Grade, Spot Check, Subscore",Subscore,,,Not Completed
Inadequate Report,HR,,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#inadequate-report,,,"Catastrophic Errors, Grade, Spot Check",,,,Not Completed
Block time too low,Council,,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#block-time-too-low,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,,Not Completed
Council Parameters,JSG,,,,,,,,672000,,Ready for review
Category Score,Forum,CATEGORY_SCORE,0,,,,,,,,Not Completed
Upgrade Score,Distributors,UPGRADE_SCORE,0,,,Distributor Score (Council%207/Council%20Period%207/Distributor%20Score%2076c92f0fbe3e4590bd3e26d8c30de8bd.md),,Subscore,,,Not Completed
Upgrade Score,Storage,UPGRADE_SCORE,0,,,,,Subscore,,,Not Completed
Person Logging Score,HR,PERSON_LOGGING_SCORE,0.5,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#person_logging_score,,HR Score (Council%207/Council%20Period%207/HR%20Score%20d203f1ecbf2549489aac1d675ced3ea2.md),,Subscore,,,Not Completed
Categories Score,Content,CATEGORIES_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,Featuring Score (Council%207/Council%20Period%207/Featuring%20Score%20e4d7bba642a840cda15d21c3b9624108.md),,,,,Not Completed
HR Report,HR,REPORT_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#report_score,,HR Score (Council%207/Council%20Period%207/HR%20Score%20d203f1ecbf2549489aac1d675ced3ea2.md),,Subscore,,,Data input - grading req
Interaction Logging Score,HR,INTERACTION_LOGGING_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#interaction_logging_score,,HR Score (Council%207/Council%20Period%207/HR%20Score%20d203f1ecbf2549489aac1d675ced3ea2.md),,Subscore,,,Not Completed
Response Score,Content,RESPONSE_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,,Moderation Score (Council%207/Council%20Period%207/Moderation%20Score%20d55db66c8293410ba0c831d487794e93.md),,,,,Not Completed
Moderation Score,Content,MODERATION_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#moderation_score,"Response Score (Council%207/Council%20Period%207/Response%20Score%202c04c69d3cdc4da69c0b63025ac179dd.md), Total Breaches of Policy (Council%207/Council%20Period%207/Total%20Breaches%20of%20Policy%2094c23382a9ae49ae9fab9205699b7936.md)",Content Score (Council%207/Council%20Period%207/Content%20Score%20509cf368d57b4c37aaad9e7f377ee1c3.md),,,,,Not Completed
Featuring Score,Content,FEATURING_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#featuring_score,"Logging Score (Council%207/Council%20Period%207/Logging%20Score%200293290d29b74b00971020e684b294a4.md), Hero Score (Council%207/Council%20Period%207/Hero%20Score%2020567c324cef40ccb6ba0d067462f8ef.md), Categories Score (Council%207/Council%20Period%207/Categories%20Score%20ac14a6f5d02f4e65b02e192e9a54514e.md)",Content Score (Council%207/Council%20Period%207/Content%20Score%20509cf368d57b4c37aaad9e7f377ee1c3.md),,Subscore,,,Not Completed
WG Summary,Content,SUMMARY_SCORE,0.7,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%20d822d7ac5c04432686f5870800f8f116.md),,,752400,,Ready for review
Hero Score,Content,HERO_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,Featuring Score (Council%207/Council%20Period%207/Featuring%20Score%20e4d7bba642a840cda15d21c3b9624108.md),,,,,Not Completed
